Armenian Word,Part of Speech,Definition,New Etymology (English),Relation,Source Language,Cognates,PIE Root
քամահրանք,noun,"""['contempt, scorn, disdain.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
քաչալություն,noun,"['baldness.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
քաքնեմ աչքդ,,"['vulgar fuck you! fuck off! go fuck yourself!'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
քաքնեմ բերանդ,,"['vulgar fuck you! fuck off! go fuck yourself!'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
քիմմաքրում,noun,"""[': dry cleaning.', 'acronym of քիմիական մաքրում (kʻimiakan makʻrum): dry cleaning.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
քյանդրբազ,noun,"""['dialectal, colloquial ropedancer, tightrope walker, ropewalker.', '(dialectal, colloquial) ropedan"",",Borrowed from Ottoman Turkish.,loanword,Ottoman Turkish,--,unknown
քննադատել,verb,"['to criticize.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
քունեմ աչքդ,,"['vulgar fuck you! fuck off! go fuck yourself!'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
քունեմ բերանդ,,"['vulgar fuck you! fuck off! go fuck yourself!'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
քրեակատարողական,adj,"""['correctional, penitentiary, penal.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
օգտակար մոդել,,"['patent law utility model.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
օդատիեզերական,adj,"['aerospace.'],",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
օժանդակ բայ,,"['grammar auxiliary verb.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
օմբուդսմեն,noun,"['ombudsman.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
օրենքով գող,,"['thief in law.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ֆակուլտետ,noun,"""['faculty, department, school, college division of a university.', 'faculty, department, school, col"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ֆիզիոլոգիա,noun,"['physiology.'],",From Russian via international vocabulary.,loanword,Russian,--,unknown
ֆիզկուլտուրա,noun,"""['physical education, physical culture, gymnastics, sport.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ֆոկուսնիկ,noun,"""['magician, illusionist, conjurer.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ֆունտ ստեռլինգ,,"['pound sterling.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ֆրամպուազ,noun,"""['raspberry fruit.', 'raspberry (fruit).']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ագահութիւն,noun,"""['The state or quality of being greedy; greed, avarice, covetousness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազատագրական,adjective,"""['liberational, liberatory, emancipationist, relating to, or aiding, liberation.']"",",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատագրութիւն,noun,"""['manumission, emancipation.']"",",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատագրուիլ,verb,"""['to be emancipated, to be set free, to be freed, to be liberated.']"",",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատագրումն,noun,"['liberation.'],",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատականութիւն,noun,"['liberalism.'],",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատատենչ,adjective,"""['thirsty after liberty, freedom-loving, liberty-loving.']"",",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազգագրութիւն,noun,"['ethnography.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազգամիջեան,adjective,"""['occurring between different nations or ethnic groups, interethnic.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազգայնականութիւն,noun,"['nationalism.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազգայնանալ,verb,"""['to become national; to acquire national characteristics or identity; to nationalize (culturally), "",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազգայնաշունչ,adjective,"""['nationalistic, patriotic, containing a patriotic spirit.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազգայնացնել,verb,"['to nationalize.'],",From Russian via international vocabulary.,loanword,Russian,--,unknown
ազգայնացումն,noun,"['nationalization.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազգայնութիւն,noun,"['nation; nationalistic spirit; nationality.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազգանուէր,adjective,"""['dedicated to the nation, working for the benefit of the people, patriotic, devoted to the nation.'"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազգապահպանումն,noun,"['protection of national identity.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազգասիրութիւն,noun,"['patriotism.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազգութիւն,noun,"['nation; nationality.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազդարարութիւն,noun,"""['notice, summation, monition, denunciation, advice, warning.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազդեցութիւն,noun,"""['influence, impression.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազնուազարմ,adjective,"""['high-born, noble, illustrious, of a noble family.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազնուական,adjective,"""['noble, aristocratic, genteel, gentle; high, grand, excellent, beautiful; nobleman, aristocrat.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
ազնուականութիւն,noun,"['Nobility; the state or quality of being noble; Noble rank or title; The noble class as a social gr,",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ազնուանալ,verb,"""['to be ennobled, exalted, to grow better, to become noble, to mend, to refine.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազնուասիրտ,adjective,"""['who has a noble heart, noble-hearted, high-hearted.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազնուացնել,verb,"""['to ennoble, to improve, to ameliorate, to refine, to elevate.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
ազնուացումն,noun,"""['nobilitation, ennoblement, elevation.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազնուութիւն,noun,"""['gentleness, nobleness, fineness, civility, kindness, courtesy, dignity, nobility.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ալեկոծութիւն,noun,"""['storm, tempest, agitation, tempestuousness, waviness.']"",",Borrowed from Arabic (often via Persian or Turkish).,loanword,Arabic,--,unknown
ախոյեանութիւն,noun,"""['championship; competition, rivalry.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ախորժաբեր,adjective,"""['appetizing, attractive; appetizer.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ախտաճանաչումն,noun,"['diagnosis.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ածանցումն,noun,"['derivation.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ակնարկութիւն,noun,"""['allusion, reference, remark, sign, mark, meaning.']"",",Modern Armenian compound.,compound,,--,unknown
ակնկալութիւն,noun,"""['expectation, pretention, hope.']"",",Modern Armenian compound.,compound,,--,unknown
ակնկալուիլ,verb,"""['to be expected, to be hoped for.']"",",Modern Armenian compound.,compound,,--,unknown
ահագնութիւն,noun,"""['horror, enormity, dreadfulness, terribleness, hugeness, tremendousness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ահեղութիւն,noun,"""['dreadfulness, formidableness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
աղանդաւոր,noun,"""['Sectarian, heretic, follower of a sect; Magical, sorcerous.']"",",Derived from Old Armenian with -ավոր (-awor).,derivation,Old Armenian,--,unknown
աղաւաղուիլ,verb,"""['to be distorted, deformed, corrupted, misrepresented; to be altered, misstated, or disfigured — wh"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղաւաղումն,noun,"""['corruption, deterioration, alteration.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղբերաբար,adverb,"""['like a fountain, abundantly, copiously, plentifully.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղմկայարոյց,adjective,"""['causing or creating noise or uproar; scandalous, sensational, controversial.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղուորութիւն,noun,"""['beauty, fineness, prettiness, niceness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
աղտոտութիւն,noun,"""['dirtiness, filthiness; filth; indecency, a detestable act.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
աղտոտուիլ,verb,"""['to get dirty, to become dirty.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղքատացումն,noun,"""['the process of becoming poor or causing poverty; impoverishment, destitution, becoming poor.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղքատութիւն,noun,"""['poverty, indigency, want, necessity, penury, meanness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
աճապարանք,noun,"""['haste, hurry.']"",",Modern Armenian compound.,compound,,--,unknown
ամայութիւն,noun,"""['physical desolation; absence of population; a desolate, uninhabited place; solitude; isolation fro"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամառնային,adjective,"['pertaining to or occurring in summertime.'],",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
ամբաստանութիւն,noun,"""['accusation, indictment, impeachment, crimination.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամբարշտութիւն,noun,"""['impiety, want of reverence toward God, ungodliness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամբողջական,noun,"""['integral, total, complete, gross.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
ամբողջականութիւն,noun,"""['entirety, integrity, integrality.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամբողջանալ,verb,"""['to become complete, perfect, to round, to total.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամբողջապէս,adverb,"""['entirely, completely.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամբողջատիրական,adjective,"['totalitarian.'],",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
ամբողջացնել,verb,"""['to complete, to totalize.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
ամբողջացումն,noun,"""['completion, the act of completing.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամբողջութիւն,noun,"['completion; totality.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամերիկեան,noun,"""['American, related to America; something from or related to America.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամէնուրեք,adverb,"""['everywhere, anywhere, whither you will.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամէնօրեայ,adjective,"['daily.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամլութիւն,noun,"""['infecundity, sterility.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամուսնական,adjective,"""['pertaining to the husband, the spouse, or to spouses; pertaining to marriage, marital.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
ամուսնութիւն,noun,"""['marriage, wedding, nuptials.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամրապնդել,verb,"""['to strengthen, to tighten, to confirm, to consolidate.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամրապնդումն,noun,"['strengthening.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամրութիւն,noun,"""['fortification, fort, stronghold; firmness, solidity, durability, confirmation.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամփոփուիլ,verb,"""['to contract, to recollect, to be compressed, to assemble, to become tighter.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամփոփումն,noun,"""['recollection, condensation, concentration, contraction, cramping, restriction, shrinking, summary,"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այբբենական,adjective,"['alphabetic; elementary.'],",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
այբուբենական,adjective,"['alphabetic; elementary.'],",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
այժմէական,noun,"""['modern, actual, contemporary, up-to-date, modernistic, new, corresponding to the present time.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
այժմէականութիւն,noun,"""['actuality, topicality, modernism, contemporariness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
այժմէութիւն,noun,"""['actuality, event of the moment, modernness, recentness, timeliness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
այլազանութիւն,noun,"""['diversity, variety, difference, variation.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
այլայլումն,noun,"""['Alteration, distortion, corruption, deformation; Difference, variation; Agitation, disturbance, co"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այլանդակութիւն,noun,"""['extravagancy, oddness, fantasticalness, strangeness, eccentricity.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
այլասերիլ,verb,"""['to degenerate, to degrade, to retrogress.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այլասերումն,noun,"['degeneration.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այլափոխել,verb,"""['to transform, to alter, to change, to deform, to transmute, to disguise, to travesty, to diversify"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այցելութիւն,noun,"""['visit, visiting, visitation.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անագորոյն,adjective,"""['cruel, merciless, savage, unmerciful, faithless, pitiless, ruthless.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անանձնական,adjective,"""['selfless, impersonal; not personal; lacking a personal life or interest; self-sacrificing; devoted"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
անաչառութիւն,noun,"""['rigidness, severeness, strictness, unselfishness, impartiality, severity.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անապահովութիւն,noun,"""['insecurity, unsafeness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անառարկելի,adjective,"""['irreproachable, unobjectionable, beyond criticism; faultless.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անասնային,adjective,"""['animal, animalish.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
անարգական,adjective,"""['contemptuous, insulting.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
անարդարութիւն,noun,"""['injustice, wrong, iniquity, unjustness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անբաղդատելի,adjective,"""['incomparable, disproportionate.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անբաղձալի,adjective,"""['undesirable, not desirable, unenviable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անբարեխիղճ,adjective,"""['unscrupulous, unconscientious.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անբացատրելի,adjective,"""['inexplicable, inexpressible, undefinable, unaccountable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անբաւականութիւն,noun,"""['insufficiency, inadequateness, incapacity, inability, inaptitude.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անբաւարար,adjective,"""['insufficient, inadequate, unsatisfactory; something that is not sufficient, does not provide satis"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անբաւարարութիւն,noun,"['insufficiency.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անբեկանելի,adjective,"['Unbreakable; not subject to breaking; (Legal) Not subject to annulment or reversal; irrevocable; f,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անգիտակից,adjective,"""['unconscious, unaware, unknowing, ignorant.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անգիտակցաբար,adverb,"['unwittingly.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անգիտակցութիւն,noun,"['unconsciousness; ignorance.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անգիտանալ,verb,"""['to be ignorant of; to ignore, to pass off.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անգիտութիւն,noun,"""['ignorance, inexperience.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անգլիախօս,adjective,"['English-speaking.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անգործադրելի,adjective,"""['impracticable, infeasable, unworkable, unrealizable, inexecutable, impossible.']"",",Modern Armenian compound.,compound,,--,unknown
անգործութիւն,noun,"""['inaction, inactivity, unemployment, indolence.']"",",Modern Armenian compound.,compound,,--,unknown
անգրագիտութիւն,noun,"['illiteracy.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անդադրում,adverb,"""['unceasingly, without interruption, continuously, or constantly; unceasing, uninterrupted, continuo"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդամագրել,verb,"""['to enroll, to register (someone) as a member (To register someone as a member of an organization; "",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդամագրութիւն,noun,"['The act of registering as a member; the process of entering someone’s name into a list of members;,",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անդամակցիլ,verb,"""['to become a member or associate of an organization, to associate, to combine with.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդամակցութիւն,noun,"""['association, membership.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անդարմանելի,adjective,"""['irremediable, irreparable, incurable, irrecoverable, irrecuperable, remediless.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդիմադրելի,adjective,"""['irresistible, not to be resisted, inevitable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդորրութիւն,noun,"""['peace, calmness, tranquility, ease, comfort.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անդրադարձ,adjective,"""['reflexive; answer, reply, response, return, exchange, reflection.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդրադարձումն,noun,"""['reflection, reverberation, repercussion, returning back, returning.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդրդուելի,adjective,"""['immovable, imperturbable, inflexible, firm, hard-set, stoic, inflexible, immutable; unshaken, unmo"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աներեւակայելի,adjective,"""['unimaginable, inconceivable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աներեւութանալ,verb,"""['to disappear, to become invisible.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աներեւութացնել,verb,"""['to cause to disappear, to make invisible.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
աներեւութացումն,noun,"['disappearance; causing to disappear; disappearing or being made to disappear.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աներկբայօրէն,adverb,"""['doubtlessly, certainly, confidingly, incontestably, indubitably.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անզգալաբար,adverb,"""['imperceptibly, insensibly.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անզգամութիւն,noun,"""['shrewdness, felony, knavery, malignity, wickedness, wretchedness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անզգուշութիւն,noun,"""['carelessness, imprudence, unadvisedness, heedlessness, indiscretion, incautiousness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անզուգական,adjective,"""['unequalled, incomparable, nonpareil, unique, matchless, unparalleled, unrivalled.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
անզօրութիւն,noun,"""['impotence, powerlessness, debility, nullity, inefficacy.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անէացումն,noun,"""['annihilation, annihilating, destruction.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անըմբռնելի,adjective,"""['impossible to catch, unseizable; impossible to understand, incomprehensible, inconceivable, imperc"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անժամանցելի,noun,"""['that which is not lost with time, inalienable, imperishable, everlasting, or eternal (especially i"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անժխտելիօրէն,adverb,"""['in a manner that cannot be denied or disputed, undeniably, indisputably, irrefutably, incontestabl"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անիմանալի,adjective,"""['unknowable, incomprehensible, unfathomable, something that cannot be known, grasped, or understood"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անիշխանութիւն,noun,"""['disorder, anarchy.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անիրագործելի,adjective,"""['unrealizable, infeasible.']"",",Modern Armenian compound.,compound,,--,unknown
անիրաւութիւն,noun,"""['injustice, wrong, iniquity, injury, affront, trespass.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անիրաւուիլ,verb,"""['To be refused of justice, to be wronged.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անխելքութիւն,noun,"""['foolishness, unintelligence, imprudence, imbecility.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անխղճութիւն,noun,"""['unscrupulousness, unconsciousness, indelicacy.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անխոհեմութիւն,noun,"""['inconsiderateness, imprudence; unwariness, indiscretion, rashness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անխորտակելի,adjective,"""['unbreakable, inconsumable, impenetrable, secure, stable, safe, firm, unshakable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անխուսափելի,noun,"""['inevitable, unavoidable, inescapable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անխուսափելիօրէն,adverb,"['inevitably.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկազմակերպ,adjective,"""['unorganized, disorganized, confused.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկախաբար,adverb,"['independently.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկախացնել,verb,"""['to cause to be free, independent; to cause to gain freedom, independence.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
անկախութիւն,noun,"""['independence, autonomy, freedom.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անկայունութիւն,noun,"""['instability, instableness, restlessness, unfirmness, disequilibrium.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անկապտելի,adjective,"""['inviolable, unbroken, that cannot be plundered.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկարգութիւն,noun,"""['irregularity, disorder, disturbance.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անկարելիութիւն,noun,"['impossibility.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անկարողութիւն,noun,"""['impotency, impuissance, inability, disability, incapability.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անկեղծութիւն,noun,"""['sincerity, ingenuousness, frankness, candour, fidelity.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անկեղծօրէն,adverb,"""['sincerely, ingenuously.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկիւնադարձ,noun,"['turn of a road; turning point.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկիւնադարձային,adjective,"""['relating to or characteristic of a turning point; pivotal, critical, or defining.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
անկողմնակալութիւն,noun,"""['impartiality, indiscrimination, neutrality, disinterestedness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անկրկնելի,adjective,"""[""""irrepeatable, unrepeatable; extraordinary, unusual, singular, unique; which won't happen again, pa"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհամաձայնութիւն,noun,"""['disagreement, dissension, incompatibility; discordance.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անհամաչափութիւն,noun,"""['asymmetry, disproportion; the state of being asymmetrical; lack of symmetry or proportion; incomme"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անհամապատասխան,adjective,"""['inappropriate, unsuited, disproportionate; not corresponding to, not matching; incompatible or uns"",",Borrowed from Ottoman Turkish.,loanword,Ottoman Turkish,--,unknown
անհամեմատ,adjective,"""['unlike; disproportionate, incomparable; disproportionately, incomparably.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհամեմատելի,adjective,"['incomparable.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհամեմատօրէն,adverb,"['incomparably.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհամեստութիւն,noun,"['Immodesty; lack of modesty; the quality of being immodest; an immodest act.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անհանգստութիւն,noun,"""['discomfort, restlessness, uneasiness, disquietness.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անհանդուրժելի,adjective,"""['intolerable, insupportable, insufferable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհանդուրժողութիւն,noun,"['intolerance.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անհաշուելի,adjective,"""['incalculable, numberless, incomputable, inestimable, innumerable, unknown.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհաշտութիւն,noun,"['The state of being irreconcilable; unwillingness to reconcile; a contentious or uncompromising cha,",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
