title,part_of_speech,definition,priority,suggested_etymology,source
հեթանոս,noun,"['heathen, pagan.']",2,,
հեծեծել,verb,"['to moan, to groan, to bewail, to mourn.']",2,,
հեծնել,verb,"['to mount, to ride a horse, a pack animal.', 'to mount, to ride (a horse, a pack animal).']",2,,
հեշթեգ,noun,"['Internet hashtag.', '(Internet) hashtag.']",2,,
հեռագիր,noun,"['telegraph.', 'telegram, wire, cable.']",2,,
հեռանալ,verb,"['intransitive to move off, move away (from).', '(intransitive) to move off, move away (from).', '(intransitive) to depart, leave.']",2,,
հեռացնել,verb,"['to remove.', 'causative of հեռանալ (heṙanal).']",2,,
հեռել,verb,"['transitive, archaic to set, to mount, to enchase, to stud; to fit in.', '(transitive, archaic) to set, to mount, to enchase, to stud; to fit in.']",1,,
հետնորդ,noun,"['successor, descendant, scion.']",2,,
հետույք,noun,"['buttocks, butt, ass.']",2,,
հետևանք,noun,['consequence.'],2,,
հետևորդ,noun,"['follower one who adheres to the opinions, teachings, or ideas of another, a movement, etc.', 'follower (one who adheres to the opinions, teachings, or ideas of another, a movement, etc.).', '(archaic) companion, one who accompanies another.', '(Internet) follower on social media.']",2,,
հերթ,noun,"[', derives from.', 'turn.', '(games) turn, move.', 'queue, line.']",1,,
հերիքել,verb,"['to suffice, last.']",2,,
հերկ,noun,"['ploughing, tillage, tilth.', 'ploughed land left fallow.']",1,,
հերքել,verb,"['to deny, to repudiate, to refute, to disclaim (to deny accusations, to counter inaccuracies or untruths).']",2,,
հեց,noun,['felloe.'],1,,
հիանալ,verb,"['to admire, to marvel at.']",2,,
հիմք,noun,"['Kurdish:.', 'base; basis; foundation.', 'grounds, reason.', '(construction) foundation, base.', '(chemistry) base.', '(geometry) base.', '(linguistics) stem.']",1,,
հիշեցնել,verb,"['to remind.', 'causative of հիշել (hišel).']",2,,
հիստերիա,noun,"['hysteria behavior exhibiting excessive or uncontrollable emotion.', 'hysteria (behavior exhibiting excessive or uncontrollable emotion).']",2,,
հիրել,verb,"['archaic to join together.', '(archaic) to join together.', '(archaic) to stretch out, to hold out.']",1,,
հմայել,verb,"['to charm, to put or cast a spell on.', '(figuratively) to attract, to fascinate, to charm.']",2,,
հյուլե,noun,"['obsolete, physics atom.', '(obsolete, physics) atom.', '(figuratively) the smallest part of something, element.']",2,,
հյուսել,verb,"['to plait, to braid.']",2,,
հյուսիս,noun,['north.'],2,,
հյուր,noun,"['guest, visitor.']",1,,
հնանալ,verb,"['to grow old, age of inanimate objects.', 'to grow old, age (of inanimate objects).', 'to go out of date; to become obsolete.']",2,,
հնացնել,verb,"['to age, mature, season.', 'causative of հնանալ (hnanal).']",2,,
հնոց,noun,['furnace.'],1,,
հոգալ,verb,['to take care (of).'],1,,
հոգնել,verb,"['intransitive to become tired, exhausted.', '(intransitive) to become tired, exhausted.']",2,,
հոդված,noun,"['article.', '(law) article; clause; paragraph; section.', '(accounting) item.']",2,,
հոժարել,verb,"['to agree, to like.']",2,,
հողաթափ,noun,['slipper (shoe).'],2,,
հոպնակ,noun,"['wheelbarrow, barrow.']",2,,
հոսանք,noun,"['current, stream.', 'flow.', '(electricity) current.']",2,,
հոսել,verb,"['intransitive to flow.', '(intransitive) to flow.']",1,,
հոսք,noun,"['flow, stream.']",1,,
հովազ,noun,"['leopard.', 'leopard, Panthera pardus.']",1,,
հոտ,noun,"['smell, odor; scent good or bad.', 'smell, odor; scent (good or bad).', 'flock of sheep.', 'flock or herd of other animals.', '(Christianity) flock, parishioners.']",1,,
հոտոտել,verb,"['transitive to smell, to sniff at something/someone repeatedly.', '(transitive) to smell, to sniff at something/someone repeatedly.']",2,,
հորդել,verb,"['of water to overflow, to abound.', '(of water) to overflow, to abound.']",2,,
հորդորակ,noun,"['rare exhortation.', '(rare) exhortation.']",2,,
հորդորել,verb,"['to admonish, exhort, persuade, convince.', 'to encourage.']",2,,
հորթ,noun,['calf.'],1,,
հորթուկ,noun,['diminutive of հորթ (hortʻ).'],2,,
հորջորջ,noun,['synonym of հորջորջանք (horǰorǰankʻ).'],2,,
հու,noun,"['rare purulent blood.', '(rare) purulent blood.']",1,,
հուզել,verb,"['to move, to affect, to touch (of the emotions).', 'to bewilder, to confuse, to fluster.', 'to excite, to stir, to agitate.']",2,,
հուշարար,noun,"['theater prompter.', '(theater) prompter.']",2,,
հուռութ,noun,"['magic, charm, enchantment.', 'charm, talisman, amulet.']",2,,
հուսալ,verb,['to hope.'],2,,
հրաձգել,verb,"['transitive, rare to shoot a firearm.', '(transitive, rare) to shoot a firearm.']",2,,
հրապույր,noun,"['charm, enticement, attraction.']",2,,
հրասախ,noun,['parasang.'],2,,
հրավառել,verb,"['transitive to illuminate.', '(transitive) to illuminate.']",2,,
հրավիրել,verb,"['transitive to invite.', '(transitive) to invite.']",2,,
հրկիզել,verb,"['transitive to set on fire, to burn, to incinerate.', '(transitive) to set on fire, to burn, to incinerate.']",2,,
հրճվանք,noun,"['joy, delight, exultation.', 'pleasure, enjoyment.']",2,,
հրճվել,verb,"['to rejoice, to delight, to revel.']",2,,
ձաղ,noun,"['archaic derision, mockery.', '(archaic) derision, mockery.']",1,,
ձայնորդ,noun,"['phonetics sonorant.', '(phonetics) sonorant.']",2,,
ձավար,noun,"['Kurdish:.', 'cracked wheat groats (raw or cooked).']",1,,
ձարխոտ,noun,"['lady fern <ref name=""Bus""></ref><ref name=""Ghandilyan""></ref>.', 'lady fern (Athyrium).']",2,,
ձեթ,noun,['vegetable oil.'],1,,
ձեռնածու,noun,"['juggler, conjurer.']",2,,
ձեռնարկ,noun,"['manual, handbook, guide.', 'enterprise.']",2,,
ձեռնոց,noun,['glove.'],2,,
ձիագող,noun,['horse thief.'],2,,
ձիաուժ,noun,['horsepower.'],2,,
ձիաստաց,noun,"['hornet.', 'hornet, Vespa crabro.']",2,,
ձիթայուղ,noun,['olive oil.'],2,,
ձկնկուլ,noun,"['cormorant.', 'cormorant, Phalacrocorax.']",2,,
ձկնորս,noun,"['fisher, fisherman.']",2,,
ձմեռ,noun,['winter.'],1,,
ձմեռել,verb,"['to winter, to spend the winter.']",2,,
ձմերուկ,noun,"['watermelon, plant and fruit.', 'watermelon, Citrullus lanatus (plant and fruit).']",2,,
ձյութ,noun,"['pitch a dark, extremely viscous material remaining in still after distilling crude oil and tar.', 'pitch (a dark, extremely viscous material remaining in still after distilling crude oil and tar).', '(Hamshen) pitch, sap, resin (sticky, gummy substance secreted by trees).', '(dialectal) chewing gum.']",1,,
ձոր,noun,"['gorge, ravine; canyon.']",1,,
ձուլել,verb,"['to cast, to mould, to found, to smelt.', '(figuratively, transitive) to assimilate.']",2,,
ձուկ,noun,"['fish.', '(anatomy) calf muscle (triceps surae).', '(dialectal) a lightning flashing far on the horizon.']",1,,
ձվածեղ,noun,"['omelette.', 'fried egg.']",2,,
ձևավորել,verb,"['transitive to form, mould, shape.', '(transitive) to form, mould, shape.']",2,,
ղալմաղալ,noun,"['noise, confusion, tumult, uproar.']",2,,
ղանձիլ,noun,"['In the territory of the Republic of Armenia encountered in Lori and Tavush provinces.', 'ramsons, Allium ursinum.']",2,,
ղեկավար,noun,"['leader; manager; chief; head; director.', '(nautical, rare) steersman, helmsman.']",2,,
ղզլբաշ,noun,['Qizilbash.'],2,,
ճախրել,verb,"['to hover in the air as of a bird or plane: to soar, to glide, to drift.', 'to hover in the air (as of a bird or plane): to soar, to glide, to drift.', 'to go around in circles in the air: to circle, to wheel, to gyrate.', 'to fly without an engine: to glide, to skim, to float.', '(figuratively) to take wing, to rise, to fly.', '(figuratively) to flutter, to glow, and to vanish: to vanish, to disappear, to evanesce.']",2,,
ճահիճ,noun,"['swamp, marsh.', '(figuratively) stagnation.']",1,,
ճահուկ,noun,"['archaic group, pack, flock of animals.', '(archaic) group, pack, flock (of animals).']",2,,
ճամպրուկ,noun,['suitcase; trunk.'],2,,
ճամփել,verb,"['to send, to dispatch.', 'to see off, to send off.', '(figuratively) to set free, to liberate.']",2,,
ճայ,noun,"['Eurasian jay.', 'Eurasian jay (Garrulus glandarius).', 'seagull, gull (Larus).']",1,,
ճանաչել,verb,"['to know someone, to be acquainted with.', 'to be aware (of something).', 'to become acquainted with, to get to know.', 'to recognize, to know.', 'to admit, to acknowledge.']",2,,
ճառագայթ,noun,"['ray, beam.', '(geometry) ray.', '(physics) ray, beam.', '(botany) ray.', '(zoology) ray.', '(figuratively) ray.']",2,,
ճարել,verb,"['to procure, obtain, get usually with difficulty.', 'to procure, obtain, get (usually with difficulty).']",1,,
ճարմանդ,noun,"['buckle, clasp.', 'cufflink.']",2,,
ճաքել,verb,"['intransitive to crack, to split.', '(intransitive) to crack, to split.', '(intransitive, slang) to crack up, to laugh.']",1,,
ճգնավոր,noun,"['hermit, anchorite, ascetic.']",2,,
ճեղքել,verb,"['to crack.', 'to split, to divide.', 'to cut through, to pass through, to break through.', '(figuratively) to split up, to disunite, to disjoin.']",2,,
ճեմել,verb,"['to stroll, to saunter.']",1,,
ճիգ,noun,"['effort.', 'endeavour.']",1,,
ճիչ,noun,"['screech, scream, cry.']",1,,
ճկույթ,noun,"['anatomy little finger, little toe.', '(anatomy) little finger, little toe.']",2,,
ճնճղուկ,noun,['sparrow.'],2,,
ճողոպրել,verb,"['to escape, to run away, to flee.', 'to dodge, to evade, to slip away.']",2,,
ճոճանակ,noun,"['pendulum.', 'swing.']",2,,
ճռճռալ,verb,"['to squeak, creak.']",2,,
մագլցել,verb,"['to climb as with claws or talons, like birds and cats.', 'to climb (as with claws or talons, like birds and cats).', 'to climb (as of plants).', '(figuratively) to slide up, to glide up.', '(figuratively) to climb, to scale (often carrying something).', '(figuratively) to ascend, to reach.']",2,,
մագնիս,noun,['magnet.'],2,,
մազկապ,noun,"['hair tie, hairband.']",2,,
մալ,noun,"['dialectal property, possession.', '(dialectal) property, possession.', '(dialectal) cattle, livestock.']",1,,
մալուխ,noun,['cable.'],2,,
մածվել,verb,"['intransitive to be glued, to stick or cling to, to adhere.', '(intransitive) to be glued, to stick or cling to, to adhere.', '(intransitive) to curdle, to coagulate, to clot, to congeal.']",2,,
մակույկ,noun,['boat.'],2,,
մահ,noun,['death.'],1,,
մահանալ,verb,['to die.'],2,,
մահջոնգ,noun,['mahjong.'],2,,
մաղ,noun,['sieve.'],1,,
մաղթանք,noun,"['wish, desire.', '(ecclesiastical) prayer.']",2,,
մաղթել,verb,['to wish something to someone.'],2,,
մամ,noun,"['dialectal grandmother.', '(dialectal) grandmother.', '(dialectal) mother.']",1,,
մամուռ,noun,['moss.'],2,,
մայրեհավ,noun,"['grouse bird of the subfamily<ref></ref>.', 'grouse (bird of the subfamily Tetraoninae).']",2,,
մանաթ,noun,"['manat currency of Azerbaijan.', 'manat (currency of Azerbaijan).']",1,,
մանանա,noun,['manna.'],2,,
մանկանալ,verb,"['to become young.', 'to regress to childhood.']",2,,
մանուկ,noun,"['baby, infant; child.']",2,,
մաշարա,noun,"['archaic.', '(archaic) synonym of թոքախտ (tʻokʻaxt).']",2,,
մառախուղ,noun,"['fog, mist.']",2,,
մաս,noun,"['part, piece; bit, morsel.', 'share, lot, portion.', '(Christianity) holy or hallowed bread, communion bread.']",1,,
մասնիկ,noun,"['particle, small part.', '(physics) particle.', '(grammar) affix.']",2,,
մասուր,noun,"[', comparing to ; comparing also to , dialectal , , for the sense development comparing , recalling that rosehip is used as haemorrhoids cure in folk medicine and also noting.', 'rose, Rosa, especially dog rose, Rosa canina (the plant and especially its fruit – the rosehip).']",2,,
մատնել,verb,"['to inform on, to report, to denounce.', 'to betray, to sell.', 'to expose, to disclose, to reveal.', 'to subject, to expose, to subjugate.', 'used to form verb phrases with abstract nouns.']",2,,
մատնոց,noun,['thimble.'],2,,
մատույց,noun,"['approach, access.', 'environs.']",2,,
մատուտակ,noun,"['licorice, gen. et spp.', 'licorice, Glycyrrhiza gen. et spp.']",2,,
մատուցել,verb,"['to give.', 'to serve.']",2,,
մատչել,verb,"['archaic to approach, to draw near.', '(archaic) to approach, to draw near.', '(computing) to access.']",2,,
մար,noun,"['Mede, inhabitant of historical Media.', '(obsolete, nonstandard) Kurd.']",1,,
մարաջախտ,noun,"['historical marshal, chief commander.', '(historical) marshal, chief commander.']",2,,
մարգ,noun,"['meadow, field.', 'plot, bed (in a garden).']",1,,
մարգարե,noun,['prophet.'],2,,
մարզիկ,noun,"['sportsman, athlete.']",2,,
մարզիչ,noun,"['coach, trainer.']",2,,
մարթել,verb,"['archaic, poetic to be able to.', '(archaic, poetic) to be able to.']",2,,
մարտիրոս,noun,['martyr.'],2,,
մարտկոց,noun,"['military battery coordinated group of artillery.', '(military) battery (coordinated group of artillery).', '(electricity) battery (device for storing electricity).']",2,,
մաքառել,verb,"['somewhat, formal to fight, to struggle, to clash.', '(somewhat formal) to fight, to struggle, to clash.', '(somewhat formal) to oppose, to withstand, to resist.']",2,,
մաքոք,noun,"[""weaver's shuttle.""]",1,,
մաքրել,verb,"['to clean.', 'to brush.', 'to scrub.', 'to peel.']",2,,
մեգ,noun,"['fog, haze.']",1,,
մեխ,noun,['nail.'],1,,
մեծանալ,verb,"['intransitive to grow, to rise, to increase in stature, size, age, etc.', '(intransitive) to grow, to rise, to increase (in stature, size, age, etc.).']",2,,
մեծարանք,noun,"['homage, honouring.']",2,,
մեծացնել,verb,"['to increase, to enlarge, to amplify, to magnify.', 'to raise, to rear.', 'causative of մեծանալ (mecanal).']",2,,
մեկնարկ,noun,"['start, starting point beginning point of a distance race or a process.', 'start, starting point (beginning point of a distance race or a process).']",2,,
մեղ,noun,"['sin, crime.', 'rare form of մեղք (meġkʻ).']",1,,
մեղադրել,verb,"['to accuse.', 'to blame.']",2,,
մեղանչել,verb,"['to sin, to transgress.']",2,,
մեղեխ,noun,"['archaic, literary handle of an axe, adze or a similar tool.', '(archaic, literary) handle of an axe, adze or a similar tool.', '(archaic, literary) mace (weapon).']",1,,
մեղու,noun,['bee.'],1,,
մեղր,noun,['honey.'],1,,
մենամարտ,noun,['duel.'],2,,
մեջ,noun,"['in, inside.', 'among, amid.', 'the inside.']",1,,
մեռնել,verb,['to die.'],2,,
մերկանալ,verb,"['intransitive to undress oneself, to strip, to strip naked.', '(intransitive) to undress oneself, to strip, to strip naked.']",2,,
մեքսիկ,noun,"['non-standard, informal Latino, Hispanic.', '(nonstandard, informal) Latino, Hispanic.']",2,,
մըշըղուլ,noun,"[', without an etymology and glossing as “mouse-like animal”.', 'weasel.']",2,,
մթերանոց,noun,"['pantry, shed, storeroom.']",2,,
մժղուկ,noun,['diminutive of մժեղ (mžeġ).'],2,,
միանալ,verb,"['intransitive to unite.', '(intransitive) to unite.', '(intransitive) to connect to, to join.', '(intransitive) to be turned on, to go on (about appliances).']",2,,
միացնել,verb,"['transitive to join, to unite, to connect.', 'causative of միանալ (mianal).', '(transitive) to join, to unite, to connect.', '(transitive) to switch on, to power up, to enable (to put a device, system or mechanism into operation).']",2,,
միզուկ,noun,"['anatomy urethra.', '(anatomy) urethra.']",2,,
մինարեթ,noun,['minaret.'],2,,
միջամտել,verb,"['transitive to interfere, intervene, meddle.', '(transitive) to interfere, intervene, meddle.']",2,,
միջուկ,noun,"['nucleus.', 'kernel, core.', '(figuratively) essence, core.']",2,,
միս,noun,"['meat; flesh.', '(figuratively) pulp (of the fruits).']",1,,
միրգ,noun,['fruit.'],1,,
մլաղաց,noun,"['archaic miller.', '(archaic) miller.']",2,,
մխալ,verb,"['intransitive to give off smoke, to emit smoke.', '(intransitive) to give off smoke, to emit smoke.']",1,,
մխել,verb,"['transitive to drive in, thrust, force into.', '(transitive) to drive in, thrust, force into.', '(transitive, metallurgy) to quench (to dip metal in water for hardening).', '(transitive, dialectal) to hurt, to cause emotional pain.', '(transitive, dialectal) to hit.']",1,,
մխիթար,noun,"['rare comfort, consolation, solace.', '(rare) comfort, consolation, solace.']",2,,
մխիթարել,verb,"['to console, to comfort, to soothe.', 'to encourage, to hearten.', 'to cheer, to uplift, to make happy.']",2,,
մխրճել,verb,"['transitive to bury, to thrust.', '(transitive) to bury, to thrust.', '(transitive, figuratively) to shove, to squeeze in, to push in.']",2,,
մկնականջ,noun,"['pimpernel, <ref name=Busanun></ref>.', 'pimpernel, Anagallis.', 'forget-me-not, Myosotis.']",2,,
մկնաքիս,noun,['an unclean animal variously translated as field mouse or shrewmouse.'],2,,
մշակել,verb,"['to treat, process, develop.', 'to cultivate, farm, till.']",2,,
մոլախոտ,noun,"['weed any plant unwanted at the place where and at the time when it is growing.', 'weed (any plant unwanted at the place where and at the time when it is growing).']",2,,
մոլեգնել,verb,"['intransitive to be angered, enraged, infuriated.', '(intransitive) to be angered, enraged, infuriated.', '(intransitive, figuratively) to be exacerbate, aggravated, exasperated.', '(intransitive, figuratively) to be irritated, annoyed, bothered.', '(intransitive, dated) to be overcome by compulsion or obsession.']",2,,
մոլորակ,noun,"['astronomy planet.', '(astronomy) planet.']",2,,
մոլորվել,verb,"[""to become lost, to get lost, to lose one's way."", 'to become confused, to get confused.', '(figuratively) to go the wrong way, to follow the wrong path.']",2,,
մոմ,noun,"['wax.', 'candle.']",1,,
մոշ,noun,"[', recorded as masch.', 'blackberry, dewberry, bramble, Rubus gen. et spp. (berry and shrub).']",1,,
մորթել,verb,"['to slaughter, butcher.']",2,,
մորմոք,noun,"['grief, sorrow.', 'bitterness, grief.', 'sharp pain.']",2,,
մորուք,noun,['beard.'],2,,
մուծել,verb,"['transitive to put in.', '(transitive) to put in.', '(transitive) to pay.']",2,,
մուկ,noun,"['dialectal forms recorded in dialectological notation.', 'mouse.']",1,,
մուղամ,noun,['mugham.'],2,,
մուրալ,verb,"['to beg, to mendicate, to ask alms.']",2,,
մսագործ,noun,['butcher.'],2,,
մտագրոհ,noun,"['neologism brainstorming.', '(neologism) brainstorming.']",2,,
մտադրել,verb,"['to be intent on doing, to have the intention of doing.']",2,,
մտածել,verb,"['to think.', 'to contemplate, to reflect upon.', 'to think, to believe.', 'to intend, to plan.', 'to worry, to be anxious.', 'to have an idea.']",2,,
մտահոգել,verb,"['transitive to cause anxiety, to disquiet, to worry.', '(transitive) to cause anxiety, to disquiet, to worry.']",2,,
մտապահել,verb,"['to remember, to memorize.']",2,,
մտրուկ,noun,"['colt, young male horse.', 'male horse in general.']",2,,
մտցնել,verb,"['to introduce, bring.', 'causative of մտնել (mtnel).', 'to include/insert (in).', 'to put/fix (into, in).', 'to poke, thrust, shove, squeeze into.']",2,,
մրմունջ,noun,"['low utterance, whisper.', 'whispered lamentation.']",2,,
մրջնոց,noun,['anthill.'],2,,
մրրկել,verb,"['to storm.', '(figuratively) to worry, to be moved, to be agitated.']",2,,
յաղութ,noun,['ruby.'],2,,
յասախ,noun,"['dialectal prohibition, ban; attributively prohibited.', '(dialectal) prohibition, ban; (attributively) prohibited.', '(dialectal, attributively) smuggled.', '(dialectal) smuggler.']",1,,
յուղ,noun,['oil.'],1,,
նաժիշտ,noun,"['archaic maidservant, housemaid.', '(archaic) maidservant, housemaid.', ""(archaic) lady's maid.""]",2,,
նախագահ,noun,"['president.', 'chairman.']",2,,
նախագիծ,noun,"['plan, design, blueprint.', '(architecture) plan, design, blueprint.', 'project, plan.']",2,,
նախագծել,verb,"['transitive to design, to plan.', '(transitive) to design, to plan.']",2,,
նախամարդ,noun,"['human-like species preceding anatomically modern humans.', 'prehistoric human, primitive man.', '(Christianity) Adam, the first man.', '(figuratively) savage.']",2,,
նախանձել,verb,"['to envy, be envious (of), be jealous (of).']",2,,
նախդիր,noun,"['grammar preposition.', '(grammar) preposition.']",2,,
նահանջել,verb,"['intransitive to retreat, to fall back, to recede, to withdraw especially militarily.', '(intransitive) to retreat, to fall back, to recede, to withdraw (especially militarily).']",2,,
նահապետ,noun,['patriarch.'],2,,
նայել,verb,"['intransitive to look.', '(intransitive) to look (at).']",1,,
նավ,noun,"['ship.', '(dialectal) mill race.', '(dialectal) gutter.', '(dialectal) tube.', '(dialectal) basin or drain of a fountain.', '(dialectal) trough.']",1,,
նաֆար,noun,"['soul, person in counting people.', 'soul, person (in counting people).']",1,,
նեխուր,noun,"['celery, <ref></ref>.', 'celery, Apium.']",2,,
նեղանալ,verb,"['to become narrow.', 'to become sullenly silent out of anger or offence, to start sulking.', 'to take offence / umbrage, to be / feel hurt.']",2,,
նետաձիգ,noun,"['archer, bowman.']",2,,
նետել,verb,"['transitive to throw, to cast.', '(transitive) to throw, to cast.']",1,,
նետընկեց,noun,"['bowshot distance that the arrow can travel.', 'bowshot (distance that the arrow can travel).']",2,,
ներարկել,verb,['to inject.'],2,,
ներբող,noun,"['eulogy, praise, encomium, panegyric.']",2,,
ներգաղթ,noun,['immigration.'],2,,
ներկ,noun,['paint; dye.'],1,,
ներց,noun,"['rare European mink.', '(rare) European mink, Mustela lutreola.']",1,,
նեցուկ,noun,"['support, rest, prop.']",2,,
նժույգ,noun,"['a quality horse used for riding: riding horse, saddle horse, steed, thoroughbred.', '(poetic) steed.', '(gymnastics) vault, vaulting horse, horse.']",2,,
նինջ,noun,"['light sleep, slumber, dozing.', 'sleep.']",1,,
նիրհել,verb,"['to sleep lightly, nap, doze, slumber.', 'to sleep.']",2,,
նկարել,verb,"['to draw, to depict, to paint.', 'to photograph.', 'to shoot (a video).']",2,,
նկրտել,verb,"['literary to strive for, endeavour.', '(literary) to strive for, endeavour.']",2,,
նյարդ,noun,['nerve.'],1,,
ննջել,verb,"['to slumber, doze.', 'to sleep.']",1,,
նշանակել,verb,"['transitive to mean, signify, denote.', '(transitive) to mean, signify, denote.', '(transitive) to appoint, nominate, install, designate.', '(transitive) to designate, denote, call, label.', '(transitive) to appoint, assign, fix, set.', '(transitive) to grade, give a mark.', '(transitive) to prescribe.']",2,,
նշանել,verb,"['transitive to engage, betroth.', '(transitive) to engage, betroth.', '(transitive, rare) to mark.']",2,,
նշմարել,verb,"['to notice; to glimpse.', 'to identify; to detect.']",2,,
նշույլ,noun,"['flash, ray.', '(figuratively) small part, grain, gleam, flicker.']",2,,
նողկալ,verb,"['to be disgusted; to loathe, to detest.']",2,,
նոպա,noun,"['medicine fit, attack.', '(medicine) fit, attack.']",1,,
նորոգել,verb,"['transitive to repair, to mend.', '(transitive) to repair, to mend.', '(transitive) to put in a better condition; to regenerate, to reform.']",2,,
նուռ,noun,"['pomegranate fruit.', 'pomegranate (fruit).']",1,,
նպաստել,verb,"['to help, to assist, to contribute.', 'to be helpful, useful, beneficial.']",2,,
նպատակ,noun,"['aim point intended to be hit.', 'aim (point intended to be hit).', 'aim (intention or purpose).']",2,,
նպար,noun,"['victuals, groceries.']",1,,
նռնակ,noun,"['grenade, hand grenade.']",1,,
նվագ,noun,"['the playing of a musical instrument.', 'melody, tune.', 'an instance or occurrence, time.']",1,,
նվագել,verb,['to play an instrument.'],2,,
նվաճել,verb,"['transitive to conquer.', '(transitive) to conquer.', '(transitive) to achieve; to gain; to win.']",2,,
նվիրակ,noun,"['legate of the catholicos.', 'nuncio of the pope.', 'envoy of a monastery sent to collect gifts or first fruits.', '(historical, Ancient Rome) legate.']",2,,
նվիրել,verb,"['transitive to present, donate, gift.', '(transitive) to present, donate, gift.', '(transitive) to dedicate, devote.']",2,,
նքողել,verb,"['rare.', '(rare) synonym of նքթել (nkʻtʻel).', '(rare) synonym of չորանալ (čʻoranal).']",2,,
շահ,noun,"['benefit, profit, gain.', 'interest.', 'shah.']",1,,
շաղկապ,noun,"['rare that which binds together, bond.', '(rare) that which binds together, bond.', '(grammar) conjunction.']",2,,
շառաչել,verb,"['intransitive to ring, to chime, to clink.', '(intransitive) to ring, to chime, to clink.', '(intransitive) to crash, to roll, to thunder.', '(intransitive) to whistle, to swoosh, to whoosh.']",2,,
շառավիղ,noun,"['geometry radius.', '(geometry) radius.', 'spoke (of a wheel).', 'shoot, twig (of a tree).', '(figuratively) offspring, scion, descendant.', 'ray, beam (e.g., of light or heat).']",2,,
շատանալ,verb,"['intransitive to increase, multiply, become numerous.', '(intransitive) to increase, multiply, become numerous.']",2,,
շարել,verb,"['transitive to arrange, place in order; to line up.', '(transitive) to arrange, place (in order); to line up.']",1,,
շարժել,verb,"['transitive to move.', '(transitive) to move.', '(transitive) to set in motion, set going.', '(transitive) to drive, guide, make act (in some way); to be the motive force (behind).']",2,,
շեյրել,verb,"['transitive, informal, Internet to share something with other people via social media.', '(transitive, informal, Internet) to share something with other people via social media.']",2,,
շեշտել,verb,"['linguistics to accent, to accentuate, to stress.', '(linguistics) to accent, to accentuate, to stress.', '(figuratively) to emphasize, to underline, to lay stress on.']",2,,
շեռ,noun,"['dialectal, colloquial, mildly, vulgar piss, urine.', '(dialectal, colloquial, mildly vulgar) piss, urine.']",1,,
շերտ,noun,"['In the Bible, translates .', 'slice; stripe, strip, streak.', 'layer.', 'coat, coating (of paint, etc.).', '(geology) stratum, bed.']",1,,
շիթ,noun,"['stream, jet.', 'drop, droplet.']",1,,
շիկնել,verb,"['to blush, to turn red, to flush as of shame, embarrassment, or fever.', 'to blush, to turn red, to flush (as of shame, embarrassment, or fever).']",2,,
շիջել,verb,"['intransitive to go out, to be extinguished or quenched.', '(intransitive) to go out, to be extinguished or quenched.']",1,,
շիվ,noun,"['twig, sprig.', 'sapling, seedling.', '(figurative) son, heir.']",1,,
շլինք,noun,"['neck.', '(dialectal) neck.']",1,,
շղթա,noun,"['chain.', 'fetters, shackles.', '(figuratively) series, succession.']",1,,
շնավարդ,noun,"['rare dog rose, shrub.', '(rare) dog rose, Rosa canina (shrub).']",2,,
շնորհել,verb,"['transitive to grant.', '(transitive) to grant.', '(transitive) to bestow, give a gift.']",2,,
շշնջալ,verb,"['to whisper, to murmur.', 'to say, to express.']",2,,
շող,noun,"['beam, sheen, gleam, flash.']",1,,
շողալ,verb,['to shine.'],1,,
շողշողալ,verb,"['intransitive to shine, to flicker, to scintillate, to twinkle.', '(intransitive) to shine, to flicker, to scintillate, to twinkle.']",2,,
շոշափել,verb,"['transitive to touch, feel.', '(transitive) to touch, feel.', '(transitive) to touch on (cursorily discuss).']",2,,
շոր,noun,"['dress.', 'cloth.']",1,,
շորթել,verb,"['transitive to extort.', '(transitive) to extort.']",2,,
շուլուխ,noun,['synonym of կատակ (katak).'],2,,
շուկա,noun,"['market.', 'bazaar.']",1,,
շուշմա,noun,"['sesame plant.', 'sesame (plant).', 'sesame (seed).']",2,,
շուրթ,noun,"['lip.', '(in the plural, figuratively) mouth, lips.', '(figuratively) rim, edge.']",1,,
շտապել,verb,"['intransitive to hurry.', '(intransitive) to hurry.']",2,,
շտկել,verb,"['to straighten, to put in order, to arrange.', 'to correct, to rectify, to remedy.', 'to turn right side out (with the outer side on the outside).']",1,,
շրջանակ,noun,"['frame.', 'frame, framework, scope.']",2,,
շրվանդ,noun,"['empty bunch of grapes, empty grape stem.']",2,,
շփշփել,verb,"['transitive to rub against.', '(transitive) to rub against.']",2,,
ոգեշնչել,verb,"['to inspire, to motivate, to stimulate.']",2,,
ոգորել,verb,"['to fight, to contend with, to struggle.']",2,,
ոգևորել,verb,"['transitive to inspire, animate, hearten.', '(transitive) to inspire, animate, hearten.']",2,,
ոլորակ,noun,['modulation (of the voice).'],2,,
ոլորակել,verb,['to modulate (of the voice).'],2,,
ոլորել,verb,"['to twist, to wind, to twirl.', 'to twist, to weave, to braid (of hair).', 'to twist (in order to hurt or kill, e.g., an arm or neck).', '(rare) to cover, to surround.', 'to modulate (of the voice).', '(figuratively) to convolute, to complicate, to muddle.']",2,,
ողբ,noun,"['lamentation, wail, bewailing.']",1,,
