title,part_of_speech,definition,current_etymology,suggested_action
հոնք,noun,['eyebrow.'],Etymology needs research - no usable data found,check wikitext
հոտ,noun,"['smell, odor; scent good or bad.', 'smell, odor; scent (good or bad).', 'flock of sheep.', 'flock or herd of other animals.', '(Christianity) flock, parishioners.']",Etymology needs research - no usable data found,check wikitext
հորիզոն,noun,['horizon.'],Etymology needs research - no usable data found,check wikitext
ձայնավոր,noun,"['phonetics, phonology vowel.', '(phonetics, phonology) vowel.']",Etymology needs research - no usable data found,check wikitext
ձկնկուլ,noun,"['cormorant.', 'cormorant, Phalacrocorax.']",Etymology needs research - no usable data found,check wikitext
ձմերուկ,noun,"['watermelon, plant and fruit.', 'watermelon, Citrullus lanatus (plant and fruit).']",Etymology needs research - no usable data found,check wikitext
ղազ,noun,"['goose.', '(figuratively, offensive) chump, loser.']",Etymology needs research - no usable data found,check wikitext
ղալաթ,noun,"['dialectal mistake.', '(dialectal) mistake.']",Etymology needs research - no usable data found,check wikitext
ղասաբ,noun,"['dialectal butcher.', '(dialectal) butcher.', '(dialectal, figuratively) butcher, brutal or indiscriminate killer.']",Etymology needs research - no usable data found,check wikitext
ղարավաշ,noun,['maidservant.'],Etymology needs research - no usable data found,check wikitext
ղզօղլան,noun,"['sissy, hermaphrodite.']",Etymology needs research - no usable data found,check wikitext
ղոզ,noun,"['dialectal, card games trump.', '(dialectal, card games) trump.']",Etymology needs research - no usable data found,check wikitext
ղուսուր,adj,"['faulty, deficient, flawed.', 'fault, defect, flaw.', 'offence.', 'remainder.']",Etymology needs research - no usable data found,check wikitext
ղսմաթ,noun,"['dialectal good luck, good fortune, success.', '(dialectal) good luck, good fortune, success.']",Etymology needs research - no usable data found,check wikitext
ճանդար,noun,"['dialectal, Mush log.', '(dialectal, Mush) log.']",Etymology needs research - no usable data found,check wikitext
ճղել,verb,"['transitive to tear, rend, rip (open).', '(transitive) to tear, rend, rip (open).']",Etymology needs research - no usable data found,check wikitext
ճոկան,noun,"['dated stick, staff.', '(dated) stick, staff.', 'crosier.', ""(dialectal) shepherd's crook."", '(dialectal) polo-stick.']",Etymology needs research - no usable data found,check wikitext
մադիան,noun,"['dialectal mare.', '(dialectal) mare.']",Etymology needs research - no usable data found,check wikitext
մազկապ,noun,"['hair tie, hairband.']",Etymology needs research - no usable data found,check wikitext
մալ,noun,"['dialectal property, possession.', '(dialectal) property, possession.', '(dialectal) cattle, livestock.']",Etymology needs research - no usable data found,check wikitext
մախտ,noun,"dialectal, Hamshen resin of the march tree.",Etymology needs research - no usable data found,check wikitext
մախր,noun,alternative form of March.,Etymology needs research - no usable data found,check wikitext
մասուր,noun,"[', comparing to ; comparing also to , dialectal , , for the sense development comparing , recalling that rosehip is used as haemorrhoids cure in folk medicine and also noting.', 'rose, Rosa, especially dog rose, Rosa canina (the plant and especially its fruit – the rosehip).']",Etymology needs research - no usable data found,check wikitext
մավի,adj,"['dialectal light blue, sky blue.', '(dialectal) light blue, sky blue.']",Etymology needs research - no usable data found,check wikitext
մատ,noun,"['finger; toe.', '(chess) checkmate, mate.', 'hill.', 'slope.']",Etymology needs research - no usable data found,check wikitext
մատուտակ,noun,"['licorice, gen. et spp.', 'licorice, Glycyrrhiza gen. et spp.']",Etymology needs research - no usable data found,check wikitext
մարագ,noun,"['Kurdish:.', 'hayloft.']",Etymology needs research - no usable data found,check wikitext
մարխ,noun,"['dialectal resinous wood that ignites easily.', '(dialectal) resinous wood that ignites easily.']",Etymology needs research - no usable data found,check wikitext
մարշրուտ,noun,"['route, itinerary, path, course.']",Etymology needs research - no usable data found,check wikitext
մարտ,noun,"['battle, fight, action, combat.', 'struggle, fight.', 'March.']",Etymology needs research - no usable data found,check wikitext
մեզ,noun,"['us.', '(formal) urine.']",Etymology needs research - no usable data found,check wikitext
մեխ,noun,['nail.'],Etymology needs research - no usable data found,check wikitext
մեխակ,noun,"['carnation flower.', 'carnation (flower).', 'clove (spice).']",Etymology needs research - no usable data found,check wikitext
մեյմուն,noun,"['monkey.', '(derogatory) clown.', '(derogatory) actor.']",Etymology needs research - no usable data found,check wikitext
մեշին,noun,['a kind of leather used in shoemaking.'],Etymology needs research - no usable data found,check wikitext
մետաղ,noun,['metal.'],Etymology needs research - no usable data found,check wikitext
միասնաբար,adv,"['together; as one, in unison.']",Etymology needs research - no usable data found,check wikitext
մինետ,noun,"['vulgar, colloquial fellatio, blowjob.', '(vulgar, colloquial) fellatio, blowjob.']",Etymology needs research - no usable data found,check wikitext
մկրատ,noun,['scissors.'],Etymology needs research - no usable data found,check wikitext
մոծակ,noun,"['gnat, mosquito.']",Etymology needs research - no usable data found,check wikitext
մոշ,noun,"[', recorded as masch.', 'blackberry, dewberry, bramble, Rubus gen. et spp. (berry and shrub).']",Etymology needs research - no usable data found,check wikitext
մոշի,noun,"['blackberry, dewberry, bramble, gen. et spp. shrub.', 'blackberry, dewberry, bramble, Rubus gen. et spp. (shrub).']",Etymology needs research - no usable data found,check wikitext
մոռ,adj,violet.,Etymology needs research - no usable data found,check wikitext
մորմ,noun,"['nightshade.', 'wolf spider, tarantula, Lycosa.']",Etymology needs research - no usable data found,check wikitext
մուշտակ,noun,"['fur, pelt of an animal.', 'fur, pelt (of an animal).', 'fur coat.']",Etymology needs research - no usable data found,check wikitext
մուշտարի,noun,"['dialectal client, customer, buyer.', '(dialectal) client, customer, buyer.']",Etymology needs research - no usable data found,check wikitext
մուսուլման,noun,"['Muslim.', '(figuratively) cruel, savage person.']",Etymology needs research - no usable data found,check wikitext
մուրաբա,noun,"['jam, murabba.']",Etymology needs research - no usable data found,check wikitext
յաթաղան,noun,['yataghan.'],Etymology needs research - no usable data found,check wikitext
յաղութ,noun,['ruby.'],Etymology needs research - no usable data found,check wikitext
յար,noun,"['dear, lover, beloved.']",Etymology needs research - no usable data found,check wikitext
յարա,noun,['wound.'],Etymology needs research - no usable data found,check wikitext
նազ,noun,"['grace, gracefulness.', 'mincing manners; coquetry.']",Etymology needs research - no usable data found,check wikitext
նալբանդ,noun,"['dialectal farrier.', '(dialectal) farrier.']",Etymology needs research - no usable data found,check wikitext
նախա-,,alternative form of first.,Etymology needs research - no usable data found,check wikitext
նաջար,noun,"['dialectal carpenter.', '(dialectal) carpenter.']",Etymology needs research - no usable data found,check wikitext
նարգիզ,noun,['narcissus.'],Etymology needs research - no usable data found,check wikitext
նարտ,noun,"['Western Armenian backgammon.', '(Western Armenian) backgammon.', '(Western Armenian) backgammon board.']",Etymology needs research - no usable data found,check wikitext
նորահարս,noun,['the bride during the wedding and shortly after that.'],Etymology needs research - no usable data found,check wikitext
նու,noun,the name of the Armenian letter n.,Etymology needs research - no usable data found,check wikitext
շահնշահ,noun,"['historical shahanshah title given to the rulers of ancient Persia and sometimes of Armenia.', '(historical) shahanshah (title given to the rulers of ancient Persia and sometimes of Armenia).']",Etymology needs research - no usable data found,check wikitext
շամամ,noun,"['poetic breast.', 'apple melon (Cucumis melo var. dudaim).', '(poetic) breast.']",Etymology needs research - no usable data found,check wikitext
շամանտուրա,noun,"['Istanbul buoy, barrel swimming in the water fixed to an anchor so ships can be moored to it.', '(Istanbul) buoy, barrel swimming in the water fixed to an anchor so ships can be moored to it.']",Etymology needs research - no usable data found,check wikitext
շանսոնյե,noun,"['chansonnier singer of chansons.', 'chansonnier (singer of chansons).']",Etymology needs research - no usable data found,check wikitext
շատրվան,noun,['fountain.'],Etymology needs research - no usable data found,check wikitext
շեղբ,noun,"['blade of a knife or weapon.', 'blade (of a knife or weapon).', 'a knife-like tool for picking greens and vegetables.']",Etymology needs research - no usable data found,check wikitext
շեյթան,noun,"['Islam shaitan.', '(Islam) shaitan.']",Etymology needs research - no usable data found,check wikitext
շեռ,noun,"['dialectal, colloquial, mildly, vulgar piss, urine.', '(dialectal, colloquial, mildly vulgar) piss, urine.']",Etymology needs research - no usable data found,check wikitext
շիվան,noun,"['dialectal lamentation.', '(dialectal) lamentation.']",Etymology needs research - no usable data found,check wikitext
շլագբաում,noun,"['boom barrier, boom gate.']",Etymology needs research - no usable data found,check wikitext
շռել,verb,"['dialectal, colloquial, mildly, vulgar to piss, pee, take a leak.', '(dialectal, colloquial, mildly vulgar) to piss, pee, take a leak.']",Etymology needs research - no usable data found,check wikitext
շրջարկ,noun,"['rare context.', '(rare) context.']",Etymology needs research - no usable data found,check wikitext
շփոթել,verb,"['to confuse, to mix up, to confound.']",Etymology needs research - no usable data found,check wikitext
ոտնաման,noun,"['footwear, shoe.']",Etymology needs research - no usable data found,check wikitext
որձակ,noun,"['rooster, cock.']",Etymology needs research - no usable data found,check wikitext
ուդ,noun,['oud.'],Etymology needs research - no usable data found,check wikitext
ուդմուրտ,noun,['Udmurt.'],Etymology needs research - no usable data found,check wikitext
ուսանող,noun,['university student.'],Etymology needs research - no usable data found,check wikitext
չագուչ,noun,"['dialectal, colloquial hammer.', '(dialectal, colloquial) hammer.']",Etymology needs research - no usable data found,check wikitext
չախմախ,noun,"['firestriker piece of steel used for striking a spark.', 'firestriker (piece of steel used for striking a spark).']",Etymology needs research - no usable data found,check wikitext
չախու,noun,"['pocketknife, penknife.']",Etymology needs research - no usable data found,check wikitext
չայլախ,noun,"['kite bird.', 'kite (bird).']",Etymology needs research - no usable data found,check wikitext
չատ,noun,"['Internet chat.', '(Internet) chat.']",Etymology needs research - no usable data found,check wikitext
չեյնջ,noun,"['bureau de change, currency exchange place where foreign currency can be exchanged.', 'bureau de change, currency exchange (place where foreign currency can be exchanged).']",Etymology needs research - no usable data found,check wikitext
չէթէլէ,noun,['tally stick.'],Etymology needs research - no usable data found,check wikitext
չիբուխ,noun,"['dialectal chibouk, tobacco pipe.', '(dialectal) chibouk, tobacco pipe.', '(dialectal, dated) switch, cane, stick (slender woody plant stem used as a whip).']",Etymology needs research - no usable data found,check wikitext
չինար,adj,"['<ref name=""Ačaṙean:1902""></ref> , Turkish }}.', 'plane tree (Platanus), especially the oriental plane (Platanus orientalis).', '(figuratively) tall and slender (like a plane tree).']",Etymology needs research - no usable data found,check wikitext
չիրքին,adj,"['ugly, unsightly.']",Etymology needs research - no usable data found,check wikitext
չոբան,noun,"['shepherd.', '(figuratively) redneck, boor; bumpkin.']",Etymology needs research - no usable data found,check wikitext
չուլ,noun,"['type of coarse fabric.', 'horse-covering, saddlecloth.', 'old clothes, rags, tatters.']",Etymology needs research - no usable data found,check wikitext
չոքել,verb,['to kneel.'],Etymology needs research - no usable data found,check wikitext
պալմոմի,noun,['beeswax.'],Etymology needs research - no usable data found,check wikitext
պաշճի,noun,"[""a seller of ready-cooked sheep's heads.""]",Etymology needs research - no usable data found,check wikitext
պապ,noun,"['grandfather.', '(chiefly in the plural) forefather, ancestor.', '(colloquial) father, dad.', ""a form of address for a familiar elderly man, usually following the person's name."", 'pope.']",Etymology needs research - no usable data found,check wikitext
պառկել,verb,"['to lie, lie down.']",Etymology needs research - no usable data found,check wikitext
պարսկական,adj,['Persian.'],Etymology needs research - no usable data found,check wikitext
պեչենի,noun,"['cookie, biscuit.']",Etymology needs research - no usable data found,check wikitext
պլան,noun,"['plan set of intended actions.', 'plan (set of intended actions).', 'aspect, level.', 'marijuana, hash, dope.']",Etymology needs research - no usable data found,check wikitext
պլոկել,verb,"['transitive to strip, peel, skin.', '(transitive) to strip, peel, skin.', '(transitive, figurative) to rip off, swindle.']",Etymology needs research - no usable data found,check wikitext
պող,noun,"['dialectal, Karabakh, Havarik, Karadagh, Shamakhi ember glowing piece of coal or wood<ref></ref><ref></ref><ref></ref><ref></ref><ref></ref>.', '(dialectal, Karabakh, Havarik, Karadagh, Shamakhi) ember (glowing piece of coal or wood).']",Etymology needs research - no usable data found,check wikitext
պոյաճի,noun,"['Nor Nakhichevan, Van dyer.', '(Nor Nakhichevan, Van) dyer.']",Etymology needs research - no usable data found,check wikitext
պտեր,noun,['fern.'],Etymology needs research - no usable data found,check wikitext
պրակրիտ,noun,['Prakrit.'],Etymology needs research - no usable data found,check wikitext
պրինտեր,noun,"['colloquial printer device that prints images and text on paper.', '(colloquial) printer (device that prints images and text on paper).']",Etymology needs research - no usable data found,check wikitext
պրոսպեկտ,noun,"['colloquial avenue.', '(colloquial) avenue.', '(colloquial, capitalized) specifically, the Mashtots Avenue in Yerevan.']",Etymology needs research - no usable data found,check wikitext
ջազ,noun,['jazz.'],Etymology needs research - no usable data found,check wikitext
ջահել,adj,"['informal young.', '(informal) young.', '(informal) inexperienced.', 'young person.', 'inexperienced person.']",Etymology needs research - no usable data found,check wikitext
ջահիլ,adj,dialectal alternative form of young man.,Etymology needs research - no usable data found,check wikitext
ջայլամ,noun,['ostrich.'],Etymology needs research - no usable data found,check wikitext
ջան,intj,"['colloquial body.', '(colloquial) body.', '(colloquial) life, existence.', '(colloquial) spirit, soul.', '(colloquial) vigour, physical might.', '(colloquial, endearing) an affectionate term of address, put after the word that identifies the addressee, dear, darling.', 'exclamation of joy, pleasure.']",Etymology needs research - no usable data found,check wikitext
ջանեջան,intj,a response word to the call Habrban in folk songs or dances.,Etymology needs research - no usable data found,check wikitext
ջեմ,noun,"['jam food.', 'jam (food).']",Etymology needs research - no usable data found,check wikitext
ջենտլմեն,noun,['gentleman.'],Etymology needs research - no usable data found,check wikitext
ջիգյար,noun,"['liver.', 'liver and lungs of a slaughtered animal.', 'heart.', '(figuratively) kin, kinsman.', '(colloquial) a term of endearment; dear, darling.']",Etymology needs research - no usable data found,check wikitext
ջիհադ,noun,"['Islam jihad.', '(Islam) jihad.']",Etymology needs research - no usable data found,check wikitext
ջիպ,noun,"['colloquial jeep, sport utility vehicle, SUV.', '(colloquial) jeep, sport utility vehicle, SUV.']",Etymology needs research - no usable data found,check wikitext
ջհուդ,noun,"['now, offensive, ethnic slur yid, kike.', '(now offensive, ethnic slur) yid, kike.']",Etymology needs research - no usable data found,check wikitext
ջուլհակ,noun,['weaver.'],Etymology needs research - no usable data found,check wikitext
ջունգլի,noun,['jungle.'],Etymology needs research - no usable data found,check wikitext
ջուր,noun,['water.'],Etymology needs research - no usable data found,check wikitext
ջրաղաց,noun,['watermill.'],Etymology needs research - no usable data found,check wikitext
ջրել,verb,"['transitive to water; to irrigate.', '(transitive) to water; to irrigate.', '(transitive) to confute, disprove.', '(transitive) to cancel.']",Etymology needs research - no usable data found,check wikitext
ռակ,noun,"['Armenia and CIS, colloquial crawfish, crayfish.', '(Armenia and CIS, colloquial) crawfish, crayfish.', '(Armenia and CIS, colloquial, pathology) cancer.']",Etymology needs research - no usable data found,check wikitext
ռավենտ,noun,['rhubarb.'],Etymology needs research - no usable data found,check wikitext
ռեհան,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'Ocimum.']",Etymology needs research - no usable data found,check wikitext
սազ,noun,"['musical instruments saz.', '(music) saz.']",Etymology needs research - no usable data found,check wikitext
սալամանդր,noun,['salamander.'],Etymology needs research - no usable data found,check wikitext
սալոր,noun,"['Kurdish:.', 'plum (fruit).']",Etymology needs research - no usable data found,check wikitext
սահաթչի,noun,"['clockmaker, watchmaker.']",Etymology needs research - no usable data found,check wikitext
սաղ,adj,"['dialectal, colloquial alive, living, not dead.', '(dialectal, colloquial) alive, living, not dead.', '(dialectal, colloquial) unscathed, unhurt, harmless.', '(dialectal, colloquial) all; whole, entire.']",Etymology needs research - no usable data found,check wikitext
սաղլամ,adj,"['unscathed, unharmed.', 'whole, complete, without deficit.']",Etymology needs research - no usable data found,check wikitext
սամսար,noun,"['Istanbul beech marten.', '(Istanbul) beech marten.']",Etymology needs research - no usable data found,check wikitext
սենդվիչ,noun,['sandwich.'],Etymology needs research - no usable data found,check wikitext
սեր,noun,"['love.', 'affection, caring.', 'cream.']",Etymology needs research - no usable data found,check wikitext
սերենդեր,noun,"['a square-shaped, roofed, wooden larder, which is built away from the ground on four tree trunks and used to store and dry foodstuffs.']",Etymology needs research - no usable data found,check wikitext
սեֆերբերլիք,noun,"['historical the Seferberlik the mobilization effected by the late Ottoman Empire in 1913–1918.', '(historical) the Seferberlik (the mobilization effected by the late Ottoman Empire in 1913–1918).']",Etymology needs research - no usable data found,check wikitext
սզնի,noun,['hawthorn.'],Etymology needs research - no usable data found,check wikitext
սիվրիսինէկ,noun,['mosquito.'],Etymology needs research - no usable data found,check wikitext
սկյութ,noun,"['Scythian person.', 'Scythian (person).']",Etymology needs research - no usable data found,check wikitext
սմբուլ,adj,"['spikenard (flower).', '(dialectal, Sasun) polished, smooth.']",Etymology needs research - no usable data found,check wikitext
սոլախ,adj,"['dialectal left-handed.', '(dialectal) left-handed.']",Etymology needs research - no usable data found,check wikitext
սպամ,noun,"['Internet spam.', '(Internet) spam.']",Etymology needs research - no usable data found,check wikitext
սպանախ,noun,"['spinach plant.', 'spinach (plant).']",Etymology needs research - no usable data found,check wikitext
սպասել,verb,"['to wait; to expect, await.']",Etymology needs research - no usable data found,check wikitext
ստեպղին,noun,"['chiefly, Western Armenian carrot.', '(chiefly Western Armenian) carrot.']",Etymology needs research - no usable data found,check wikitext
սրբագրել,verb,"['transitive to proofread.', '(transitive) to proofread.']",Etymology needs research - no usable data found,check wikitext
սրել,verb,to sharpen.,Etymology needs research - no usable data found,check wikitext
սրմա,noun,['silver or gold thread or lace.'],Etymology needs research - no usable data found,check wikitext
վայիս,adj,"['of a person mischievous, troublesome.', '(of a person) mischievous, troublesome.']",Etymology needs research - no usable data found,check wikitext
վառեկ,noun,"['pullet, chick.', '(Vozm, slang) bride.']",Etymology needs research - no usable data found,check wikitext
վերա-,,alternative form of above.,Etymology needs research - no usable data found,check wikitext
վերև,adv,"['up, upward.', 'upper part.']",Etymology needs research - no usable data found,check wikitext
վռազել,verb,['to hurry.'],Etymology needs research - no usable data found,check wikitext
տակռի,noun,"['root of plants.', 'root (of plants).']",Etymology needs research - no usable data found,check wikitext
տառեխ,noun,"['tarek, pearl mullet, , especially in a dried and salted form.', 'tarek, pearl mullet, Van fish, Alburnus tarichi (especially in a dried and salted form).']",Etymology needs research - no usable data found,check wikitext
տաքդեղ,noun,"['pepper plant of the family.', 'pepper (plant of the family Piperaceae).', 'pepper (plant of the genus Capsicum).']",Etymology needs research - no usable data found,check wikitext
տեղ,noun,"['place, location, locality, position.', '(dialectal, usually in the plural) sleeping-place, bed.', '(archaic) abundant rain.', '(archaic, figuratively) anything falling abundantly from above, shower.']",Etymology needs research - no usable data found,check wikitext
տողրամաճի,noun,['joiner.'],Etymology needs research - no usable data found,check wikitext
տոստ,noun,"['toast toasted bread.', 'toast (toasted bread).']",Etymology needs research - no usable data found,check wikitext
տորոն,noun,"['<ref></ref>.', 'madder, Rubia tinctorum (plant and dye).']",Etymology needs research - no usable data found,check wikitext
տուկան,noun,['toucan.'],Etymology needs research - no usable data found,check wikitext
տրամվայ,noun,"['tram , streetcar.', 'tram (UK), streetcar (US).']",Etymology needs research - no usable data found,check wikitext
տրանսգենդեր,noun,"['transgender a transgender person.', 'transgender (a transgender person).']",Etymology needs research - no usable data found,check wikitext
տրոլեյբուս,noun,['trolley bus.'],Etymology needs research - no usable data found,check wikitext
տրցակել,verb,"['to bundle, to cluster.', '(rare) to bundle, to cluster.', '(figuratively) to gather, to collect.']",Etymology needs research - no usable data found,check wikitext
ցել,noun,"['agriculture fallow land.', '(agriculture) fallow (land).']",Etymology needs research - no usable data found,check wikitext
ցեմենտ,noun,['cement.'],Etymology needs research - no usable data found,check wikitext
փալազ,noun,"['gosling baby goose.', 'gosling (baby goose).']",Etymology needs research - no usable data found,check wikitext
փալաս,noun,"['rag (old scrap of cloth).', '(dialectal) old carpet or rug.', '(in the plural) rags (old, tattered clothing).', '(colloquial) swaddle (for babies).', '(figuratively) a weak, helpless person.']",Etymology needs research - no usable data found,check wikitext
փալասկա,noun,"['Istanbul cartridge box, cartridge belt, cartouchière, giberne.', '(Istanbul) cartridge box, cartridge belt, cartouchière, giberne.']",Etymology needs research - no usable data found,check wikitext
փահլևան,noun,"['dialectal ropedancer, tightrope walker, ropewalker.', '(dialectal) ropedancer, tightrope walker, ropewalker.', '(dialectal) wrestler.', '(dialectal) big strong brave man.']",Etymology needs research - no usable data found,check wikitext
փայտօս,noun,"['cessation of work, intermission, recess, respite.']",Etymology needs research - no usable data found,check wikitext
փաչա,noun,trotters of sheep.,Etymology needs research - no usable data found,check wikitext
փարաջա,noun,"['cassock, soutane, habit, cowl, frock worn by the clergy.', 'cassock, soutane, habit, cowl, frock (worn by the clergy).']",Etymology needs research - no usable data found,check wikitext
փարչ,noun,"['dialectal forms recorded in dialectological notation.', '(dialectal) waterpot.']",Etymology needs research - no usable data found,check wikitext
փափախ,noun,['papakha.'],Etymology needs research - no usable data found,check wikitext
փեշթախթա,noun,"['desk, counter in a shop.', 'cash box.']",Etymology needs research - no usable data found,check wikitext
փեշքեշ,noun,"['gift, present.']",Etymology needs research - no usable data found,check wikitext
փետրվար,noun,['February.'],Etymology needs research - no usable data found,check wikitext
փիճի,noun,"[', derives the Armenian and the Kartvelian from , comparing.', 'pine, Pinus, perhaps specifically stone pine, Pinus pinea.']",Etymology needs research - no usable data found,check wikitext
փնթի,adj,"['Kurdish:.', 'slovenly, untidy.']",Etymology needs research - no usable data found,check wikitext
փնտրել,verb,"['to look for, to search, to seek.', '(Western Armenian) to phone, to telephone, to ring.']",Etymology needs research - no usable data found,check wikitext
փշատ,noun,"['oleaster.', 'oleaster, Elaeagnus angustifolia.', 'fruit of oleaster.']",Etymology needs research - no usable data found,check wikitext
փոկ,noun,"['belt, strap, thong.', 'seal (the animal).']",Etymology needs research - no usable data found,check wikitext
փող,noun,"['money.', 'tubular part of various objects.']",Etymology needs research - no usable data found,check wikitext
փորսուղ,noun,['badger.'],Etymology needs research - no usable data found,check wikitext
փուչ,adj,"['hollow; empty; void.', '(figuratively) vain, futile; idle.', '(figuratively) worthless, bad, good-for-nothing.']",Etymology needs research - no usable data found,check wikitext
փրփրեմ,noun,"['purslane, ; especially the common purslane.', 'purslane, Portulaca; especially the common purslane, Portulaca oleracea.']",Etymology needs research - no usable data found,check wikitext
քամանչա,noun,"['musical instruments kamancheh.', '(music) kamancheh.']",Etymology needs research - no usable data found,check wikitext
քաչալ,adj,"['bald, hairless.']",Etymology needs research - no usable data found,check wikitext
քառա-,,alternative form of square.,Etymology needs research - no usable data found,check wikitext
քարճիկ,noun,"['gizzard.', '(Bulanık) kidney.']",Etymology needs research - no usable data found,check wikitext
քէսիմ,noun,"['cut, figure.', 'fashionable air, fashionable appearance, toilet.']",Etymology needs research - no usable data found,check wikitext
քէօլէ,noun,['slave.'],Etymology needs research - no usable data found,check wikitext
քթոց,noun,"['basket.', 'container for holding flour.', 'beehive made with sticks and twigs.']",Etymology needs research - no usable data found,check wikitext
քիբրիթ,noun,"['match device to make fire.', 'match (device to make fire).']",Etymology needs research - no usable data found,check wikitext
քիլիմ,noun,['kilim.'],Etymology needs research - no usable data found,check wikitext
քիչ,adj,"['few.', 'small, little.', 'little.', 'the little.']",Etymology needs research - no usable data found,check wikitext
քլունգ,noun,"['pickaxe, pick.']",Etymology needs research - no usable data found,check wikitext
քյար,noun,"['colloquial, dialectal gain, profit.', '(colloquial, dialectal) gain, profit.']",Etymology needs research - no usable data found,check wikitext
քյոմուր,noun,"['dialectal coal.', '(dialectal) coal.']",Etymology needs research - no usable data found,check wikitext
քյուֆթա,noun,['kofta.'],Etymology needs research - no usable data found,check wikitext
քննարկել,verb,"['to discuss, consider.']",Etymology needs research - no usable data found,check wikitext
քորուք,noun,['bellows.'],Etymology needs research - no usable data found,check wikitext
քուռակ,noun,"['young of a horse or a donkey, colt, foal.', '(derogatory) a generic mild insult.']",Etymology needs research - no usable data found,check wikitext
քուրջ,noun,"['dialectal forms recorded in dialectological notation.', '(dialectal) old cloth, rag.']",Etymology needs research - no usable data found,check wikitext
քջջել,verb,"['of fowl to rummage, dig in search of food.', '(of fowl) to rummage, dig (in search of food).']",Etymology needs research - no usable data found,check wikitext
օթաղ,noun,"['room, chamber.']",Etymology needs research - no usable data found,check wikitext
օյին,noun,"['trick; prank.', '(games) turn, move.']",Etymology needs research - no usable data found,check wikitext
ֆարյորերեն,adj,alternative form of Faroese.,Etymology needs research - no usable data found,check wikitext
ֆաքս,noun,"['fax document.', 'fax (document).', 'fax machine.']",Etymology needs research - no usable data found,check wikitext
ֆեն,noun,['hairdryer.'],Etymology needs research - no usable data found,check wikitext
ֆոյե,noun,"['foyer, lobby.']",Etymology needs research - no usable data found,check wikitext
ՔՈՒՇԱՏ,,"""to become close to someone, to be close to someone"" Kost. 159. He does not know the bad news, he takes some people with him.",Etymology needs research - no usable data found,mark as abbreviation
