title,part_of_speech,definition,suggested_etymology,notes
ուտեիք,verb,['second-person plural future perfect subjunctive/optative of ուտել (utel).'],Etymology needs research,
ուտեստ,noun,"['food, nourishment, victuals.', 'dish.']",Etymology needs research,
չակերտ,noun,"['quotation mark, guillemet.']",Etymology needs research,
չաղ,adj,"['fat, full, portly.', 'blazing, alight (of fire).', 'rich, affluent, prosperous.']",Etymology needs research,
չարքաշ,adjective,"['hardworking, resilient, enduring, tough; one who has endured hardships, capable of withstanding difficulties and hard work; clever, skillful, experienced.']",Etymology needs research,
չափածո,adj,"['in verse, metrical.', '(rare) rhythmic, measured.', 'verse; poetry.']",Etymology needs research,
չեղանք,verb,['negative form of եղանք (eġankʻ).'],Etymology needs research,
չէր,verb,['negative form of էր (ēr).'],Etymology needs research,
չլինել,verb,['negative form of լինել (linel).'],Etymology needs research,
չլինող,verb,['negative form of լինող (linoġ).'],Etymology needs research,
չխրթմա,noun,['chikhirtma.'],Etymology needs research,
չկա,verb,['negative form of կա (ka).'],Etymology needs research,
չկայիր,verb,['negative form of կայիր (kayir).'],Etymology needs research,
չմուշկ,noun,['ice skate.'],Etymology needs research,
չոր,adj,"['dry.', 'arid.', 'waterless, rainless.', 'parched, desiccated, dehydrated.', 'dried-up, withered.', 'hard, firm, tough.', 'thin, lean, slender.', 'poor, impoverished.', 'hoarse, husky, grating.', 'rude, coarse.']",Etymology needs research,
չսիրած,verb,['negative conjugation of սիրած (sirac).'],Etymology needs research,
չսիրել,verb,['negative form of սիրել (sirel).'],Etymology needs research,
չսիրող,verb,['negative conjugation of սիրող (siroġ).'],Etymology needs research,
չքանալ,verb,"['to vanish, disappear.']",Etymology needs research,
չքավոր,adj,"['poor, indigent, poverty-stricken.', 'poor man.']",Etymology needs research,
չքսեիր,verb,['second-person singular future perfect subjunctive negative of քսել (kʻsel).'],Etymology needs research,
չքսեիք,verb,['second-person plural future perfect subjunctive negative of քսել (kʻsel).'],Etymology needs research,
պակսիլ,verb,"['to lessen, to decrease, to diminish; to be wanting; to run short, to lack, to fall short.']",Etymology needs research,
պահ,intj,"['moment, instant.', 'time (in general).', 'guarding, watching, keeping.', 'oh! (expression of surprise or disbelief).']",Etymology needs research,
պահանջ,noun,"['demand, claim.']",Etymology needs research,
պահեստ,noun,"['storehouse; warehouse.', 'stock, supply, store; reserve.']",Etymology needs research,
պաղ,adj,"['cold.', 'coldly.', 'coldness.', '(archaic) ice.']",Etymology needs research,
պայթիլ,verb,"['to burst, to explode, to crack, to rend, to break open.']",Etymology needs research,
պայծառ,adj,"['bright, radiant, lustrous.', 'clear, limpid, lucid.', '(figuratively) clean, pure, honest (of the mind).', 'happy, joyful, gleeful.', 'glowing, fiery.', 'brightly, radiantly; happily, joyfully.']",Etymology needs research,
պանդոկ,noun,"['tavern.', '(Western Armenian) hotel.']",Etymology needs research,
պանծալ,verb,['to be proud.'],Etymology needs research,
պաչ,noun,"['colloquial kiss.', '(colloquial) kiss.']",Etymology needs research,
պառկիլ,verb,"['to lie, to lie down; to sleep; to rest.']",Etymology needs research,
պատանդ,noun,['hostage.'],Etymology needs research,
պատգամ,noun,"['decree, edict.', 'request, demand.', 'advice, counsel.', '(religion) commandment.']",Etymology needs research,
պատժել,verb,"['to punish, to sentence.', 'to discipline.', 'to penalize, to fine.', 'to castigate, to torture.', 'to scourge.']",Etymology needs research,
պատճառ,noun,"['reason, cause.']",Etymology needs research,
պատմել,verb,"['to relate, tell, narrate, recount.']",Etymology needs research,
պատնեշ,noun,"['dam; dyke.', 'barrier, barricade.']",Etymology needs research,
պատվար,noun,"['wall, bulwark.']",Etymology needs research,
պարագա,noun,"['circumstance; case.', '(in the plural) accessories.', '(grammar) adverbial modifier.']",Etymology needs research,
պարգեւ,noun,"['gift, present.']",Etymology needs research,
պարիսպ,noun,"['wall structure built for defense surrounding a city, castle etc.', 'wall (structure built for defense surrounding a city, castle etc.).']",Etymology needs research,
պարպել,verb,"['to empty, to unload, to unlade; to pour out; to fire off, to discharge.']",Etymology needs research,
պարսիկ,noun,"['Persian.', '(colloquial) any Iranian.']",Etymology needs research,
պարտեզ,noun,['garden.'],Etymology needs research,
պարտիլ,verb,"['To owe a debt or obligation; To be bound or obliged to someone; (With an infinitive): to need to, to be necessary, to be required; To be obligated (to do something for someone).']",Etymology needs research,
պիտոյք,noun,"['Need, necessity; the things a person requires for living; What is required for doing or making something; necessary items, supplies.']",Etymology needs research,
պիւտճէ,noun,['A budget; a preliminary accounting of income and expenditure for a specified period of time.'],Etymology needs research,
պող,noun,"['dialectal, Karabakh, Havarik, Karadagh, Shamakhi ember glowing piece of coal or wood<ref></ref><ref></ref><ref></ref><ref></ref><ref></ref>.', '(dialectal, Karabakh, Havarik, Karadagh, Shamakhi) ember (glowing piece of coal or wood).']",Etymology needs research,
պողպատ,noun,['steel.'],Etymology needs research,
պուրակ,noun,"['orchard, grove.', 'small wood, woodlet, bosk.', 'brake, copse.', 'public garden, park.']",Etymology needs research,
պսակել,verb,"['to crown, to adorn with a crown, to decree a crown, to wreath, to award a prize; to give the nuptial blessing, to marry; to perform the ceremony of marriage.']",Etymology needs research,
պտըտիլ,verb,"['to turn about oneself; to complete a circle, to go around in a circle; to walk, to take a walk, to promenade, to stroll, to wander.']",Etymology needs research,
պտտվել,verb,"['inflection of պտտել.', 'mediopassive of պտտել (pttel).', '(intransitive) to rotate, spin, revolve.', '(intransitive) to turn, turn round, turn over.', '(intransitive) to stroll, wander, roam, ramble.']",Etymology needs research,
պրծնել,verb,"['intransitive to be relieved, freed, to be released from or of a difficulty, unwanted task, responsibility etc.', '(intransitive) to be relieved, freed, to be released from or of a difficulty, unwanted task, responsibility etc.', '(intransitive) to finish, to end, to be over.', '(transitive) to finish, to end; to complete (work, lessons, etc.).', '(slang, vulgar) to come, to cum, to achieve orgasm.']",Etymology needs research,
պրպտել,verb,"['to scour, to look through, to research for, to examine, to scrutinize.']",Etymology needs research,
ջազ,noun,['jazz.'],Etymology needs research,
ջանդամ,intj,"['hell.', 'angry exclamation of displeasure, disregard or indifference, to hell with.']",Etymology needs research,
ջարդել,verb,"['to break into pieces.', 'to cut up into pieces.', 'to cut, to destroy by cutting (i.e. a forest).', 'to defeat severely.', 'to massacre.', 'to destroy, to annihilate.', 'to break open (i.e. a door, gates).', 'to kill by stamping or striking.', 'to break and make unusable (i.e. a machine).', '(colloquial) to beat (someone) severely.', '(figuratively) to excoriate, to criticize severely.', ""(figuratively) to completely refute (someone's arguments)."", 'to speak a language poorly.', 'to make excessive effort to do something.', 'to agonize, to suffer, to feel sorrow.']",Etymology needs research,
ջիղ,noun,"['nerve.', 'tendon, sinew.', 'muscle.', '(figuratively) talent for something.', '(figuratively) power, might.']",Etymology needs research,
ջլատել,verb,"['to enervate, to unnerve, to enfeeble, to weaken, to cripple, to paralyse.']",Etymology needs research,
ջնարակ,noun,"[', without a basis glosses the word as ""cinnabar"" and derives from , a supposed cognate of the words discussed at.', 'glaze (coating on pottery).', 'glaze (edible coating applied to food).']",Etymology needs research,
ջոկ,adj,"['herd of horses.', 'herd (of horses).', '(military) squad, section.', 'separate.', 'separately, severally.']",Etymology needs research,
ջուղաբ,noun,"['answer, reply.', 'news, tidings.']",Etymology needs research,
ջրաղաց,noun,['watermill.'],Etymology needs research,
ռանդոմ,adj,['random.'],Etymology needs research,
ռեփ,noun,"['rap music.', '(music) rap music.', 'rap song.']",Etymology needs research,
սագ,noun,['goose.'],Etymology needs research,
սադրել,verb,"['to instigate, to incite, to provoke.']",Etymology needs research,
սադրիչ,adj,"['instigator, inciter, provoker.', 'inciting, provoking.']",Etymology needs research,
սաղարթ,noun,"[', with doubt lists under the root , following Scheftelowitz linking the word with such cognates as , , , , ; / then would be a suffix.', 'foliage, leafage.']",Etymology needs research,
սանձել,verb,"['to bridle.', '(figuratively) to restrain.']",Etymology needs research,
սանրել,verb,"['transitive to comb, to brush.', '(transitive) to comb, to brush.']",Etymology needs research,
սաստել,verb,"['to scold, to reprimand, to rebuke.']",Etymology needs research,
սաստիկ,adj,"['severe, intense, terrible.', 'strong, powerful, fierce.', 'great, extreme, excessive.', 'severely, intensely, terribly, extremely.']",Etymology needs research,
սատանա,noun,"['Satan, devil.']",Etymology needs research,
սար,noun,['mountain.'],Etymology needs research,
սարդար,noun,"['historical a commander of a Persian army.', '(historical) a commander of a Persian army.', '(historical) the governor of the province of Yerevan under Persian rule.']",Etymology needs research,
սարսափ,noun,"['terror, horror.']",Etymology needs research,
սարքել,verb,"['to repair.', 'to make, to create.']",Etymology needs research,
սափրիչ,noun,"['dated barber, hairdresser.', '(dated) barber, hairdresser.']",Etymology needs research,
սգո,noun,"['(literary, poetic) dative singular of սուգ (sug).']",Etymology needs research,
սեզ,noun,['couch grass.'],Etymology needs research,
սենեակ,noun,"['chamber, room.']",Etymology needs research,
սեպ,adj,"['wedge.', 'stake, spike.', '(figuratively) rock, cliff (resembling a wedge).', '(military) wedge (V-shaped breach in a formation).', '(figuratively) tooth.', 'wedgelike, wedgy.']",Etymology needs research,
սեպուհ,adj,"['sepuh a title of Armenian nobility.', 'sepuh (a title of Armenian nobility).', 'main, primary.']",Etymology needs research,
սեռ,noun,"['sex, gender.', 'class, sort, kind, genus, variety.', '(grammar) gender.', '(grammar) voice, gender of verbs.']",Etymology needs research,
սերտել,verb,['To harden; to solidify; to make firm; to stiffen; To master thoroughly through practice or repeated reading; to learn well; to memorize.'],Etymology needs research,
սիեստա,noun,['siesta.'],Etymology needs research,
սիրեիր,verb,['second-person singular future perfect optative of սիրել (sirel).'],Etymology needs research,
սիրեիք,verb,['second-person plural future perfect optative of սիրել (sirel).'],Etymology needs research,
սիրված,verb,['resultative participle of սիրվել (sirvel).'],Etymology needs research,
սիրվել,verb,['mediopassive of սիրել (sirel).'],Etymology needs research,
սիւնակ,noun,"['column in books; little column, baluster.']",Etymology needs research,
սխալիլ,verb,"['to make a mistake, to err, to miss, to fail, to mistake, to be mistaken, to transgress, to blunder.']",Etymology needs research,
սկա,noun,"['archaic, poetic giant.', '(archaic, poetic) giant.']",Etymology needs research,
սկաուտ,noun,['scout.'],Etymology needs research,
սկսեալ,adposition,"['starting from, since, from.']",Etymology needs research,
սկսնակ,noun,"['beginner, novice.']",Etymology needs research,
սմբուլ,adj,"['spikenard (flower).', '(dialectal, Sasun) polished, smooth.']",Etymology needs research,
սմեգմա,noun,['smegma.'],Etymology needs research,
սնունդ,noun,"['food.', 'nutrition, nourishment.', '(figuratively) education, upbringing.']",Etymology needs research,
սնտուկ,noun,"['box, case; trunk, chest, coffer.']",Etymology needs research,
սոսինձ,noun,['glue.'],Etymology needs research,
սոսկալ,verb,"['to fear, to dread, to be horrified, to be afraid, to tremble, to be frightened, to be terrified.']",Etymology needs research,
սուզել,verb,"['transitive to plunge, to sink, to immerge.', '(transitive) to plunge, to sink, to immerge.']",Etymology needs research,
սուլել,verb,"['somewhat, formal to whistle.', '(somewhat formal) to whistle.']",Etymology needs research,
սուտակ,noun,['ruby.'],Etymology needs research,
սուրալ,verb,"['to run swiftly, to rush, to dash, to hasten, to gallop, to spring forth, to dart.']",Etymology needs research,
սպանել,verb,['to kill; to murder; to assassinate.'],Etymology needs research,
սպառել,verb,"['to consume, to squander, to waste, to spend, to consummate, to use, to absorb, to swallow up, to exhaust, to finish.']",Etymology needs research,
սպառիլ,verb,"['to be consumed, to decay, to waste away, to be exhausted, to expire, to finish, to dry up, to be used up.']",Etymology needs research,
սպրդիլ,verb,['To slip in secretly; to enter stealthily; to sneak in; To slip out of one’s hand; to slide away; to escape one’s grasp; To slip in accidentally or unnoticed; to escape notice.'],Etymology needs research,
ստախօս,noun,"['false-speaking, lying, deceitful; a person who speaks falsehoods; one who lies or is deceitful; liar.']",Etymology needs research,
ստորեւ,adverb,"['lower part, bottom; below.']",Etymology needs research,
ստորոտ,noun,['foot of a mountain; skirt of a gown; train of a gown; lower part.'],Etymology needs research,
սրտցաւ,adjective,['compassionate.'],Etymology needs research,
սփիւռք,noun,['diaspora; dispersion.'],Etymology needs research,
վախկոտ,adj,"['cowardly, faint-hearted.', 'coward.']",Etymology needs research,
վաղուց,adv,"['a long time ago, long ago.']",Etymology needs research,
վայելք,noun,"['enjoyment, pleasure, delight.']",Etymology needs research,
վայրագ,adj,"['ferocious, fierce, wild, savage, inhuman, cruel, barbaric.']",Etymology needs research,
վանկել,verb,"['to syllabify, to syllabicate, to syllabize.', '(archaic) to syllabify, to syllabicate, to syllabize.']",Etymology needs research,
վաստակ,noun,"['work, labour, toil; pains, trouble.', 'profit, gain, earnings from labour.', 'merit, desert; services.', 'pay for labour.']",Etymology needs research,
վար,adj,"['the act of ploughing.', 'ploughed area, land.', 'down.', 'bottom, lower part.', 'under, beneath, below.', '(Western Armenian) less than.', 'low, lower.', '(figuratively) low-quality, cheap.']",Etymology needs research,
վարանք,noun,"['doubt, hesitation.']",Etymology needs research,
վարկած,noun,"['hypothesis, version, conjecture.']",Etymology needs research,
վարձել,verb,"['to rent to take a lease of premises in exchange for rent.', 'to rent (to take a lease of premises in exchange for rent).', 'to employ, to hire.']",Etymology needs research,
վարպետ,adj,"['skilled craftsman.', 'skillful.']",Etymology needs research,
վեթինգ,noun,"['neologism vetting.', '(neologism) vetting.']",Etymology needs research,
վեհ,adj,"['valuable, precious, prized.', 'amazing, awesome, sublime.', 'lofty, elevated, high.', 'noble, exalted, high-minded.', '(religious) His Holiness (epithet given to the Catholicos of All Armenians).']",Etymology needs research,
վեճ,noun,"['argument, argumentation, controversy; dispute.']",Etymology needs research,
վեվ,noun,"['the name of the Armenian letter վ.', 'the name of the Armenian letter վ (v).']",Etymology needs research,
վերելք,noun,"['ascent, rise, uplift.']",Etymology needs research,
վէճ,noun,"['quarrel, discussion, dispute, debate, contestation, controversy, litigation, difference, legal dispute.']",Etymology needs research,
վէպ,noun,"['novel, fiction, story, tale, falsehood, romance, recital, narration.']",Etymology needs research,
վիզ,noun,"[', tentatively suggests a common substrate origin for , , dialectal , and .', 'neck.', '(rare) isthmus.']",Etymology needs research,
վիհ,noun,"['abyss, hell, unfathomable depth, precipice, chasm; whirlpool, chaos.']",Etymology needs research,
վիքենդ,noun,['weekend.'],Etymology needs research,
վկայել,verb,"['transitive to testify, witness.', '(transitive) to testify, witness.']",Etymology needs research,
վհատել,verb,"['intransitive to be discouraged, to be dispirited (to lose hope).', '(intransitive) to be discouraged, to be dispirited (to lose hope).']",Etymology needs research,
վոհմակ,noun,"['herd (of beasts), pack, troop, band, crew, gang.']",Etymology needs research,
վռնտել,verb,"['to expel, to banish, to turn out, to send away, to discharge, to drive away, to dismiss.']",Etymology needs research,
վրաերթ,noun,"['running-down accident, road/traffic accident where someone gets run down.']",Etymology needs research,
վրացիք,noun,['nominative plural of վրացի (vracʻi).'],Etymology needs research,
վրիպակ,noun,"['typo, misprint a spelling or typographical error.', 'typo, misprint (a spelling or typographical error).']",Etymology needs research,
վրիպիլ,verb,"['to deviate from the direct path or target; to miss; to go astray, to wander from the right path, to sin; to make a mistake; to be wrong; to err; to fail, be deceived, or let down in expectations; to escape notice, to be overlooked or missed.']",Etymology needs research,
տագնապ,noun,"['alarm, alert.', 'anxiety, anguish, distress.']",Etymology needs research,
տաժանք,noun,"['great fatigue, pain, toil, much labour, trouble, hardship, weariness, affliction, grief, uneasiness.']",Etymology needs research,
տակ,noun,"['under, beneath, below.', 'bottom, lower part.', '(Istanbul) buttocks, rear, fundament.', '(Van) root (of a plant).', '(dialectal) beetroot, beet.', '(Tbilisi) race, offspring.']",Etymology needs research,
տանջել,verb,"['transitive to torment, to torture.', '(transitive) to torment, to torture.']",Etymology needs research,
տանտալ,noun,['tantalum.'],Etymology needs research,
տափ,noun,"['plain, flat country or district.', 'earth.', 'arable land.']",Etymology needs research,
տաքդեղ,noun,"['pepper plant of the family.', 'pepper (plant of the family Piperaceae).', 'pepper (plant of the genus Capsicum).']",Etymology needs research,
տելուր,noun,['tellurium.'],Etymology needs research,
տեղանք,noun,"['locality, district, place; terrain.']",Etymology needs research,
տեղեակ,adjective,"['informed, aware, well-informed; familiar with the matter or circumstances; skilled or knowledgeable.']",Etymology needs research,
տեղյակ,adj,"['knowing, informed.']",Etymology needs research,
տենչալ,verb,"['poetic to desire, to wish.', '(poetic) to desire, to wish.']",Etymology needs research,
տեսնել,verb,"['to see; to notice; to look at, to examine.', 'to meet, to come across.', 'to visit, to go to see.', 'to understand, to see, to realize.', 'to know, to experience.']",Etymology needs research,
տեսուչ,noun,"['inspector.', '(archaic) principal, director.']",Etymology needs research,
տետրակ,noun,"['copybook, notebook, pamphlet, stitched-book, tablet.']",Etymology needs research,
տիպ,noun,"['impression, stamp, imprint.', 'type.', 'sticker.', '(derogatory) type, character; jerk.', '(biology, taxonomy) phylum.']",Etymology needs research,
տիվ,noun,"['daytime.', 'light.']",Etymology needs research,
տնգվել,verb,['mediopassive of տնգել (tngel).'],Etymology needs research,
տնկվել,verb,['mediopassive of տնկել (tnkel).'],Etymology needs research,
տոթ,adj,"['oppressive heat, stuffy heat.', 'torrid, stuffy, sultry.']",Etymology needs research,
տոհմիկ,adjective,"['noble, of a good family, highborn; clannish.']",Etymology needs research,
տող,noun,"[', connects with and considers both to be borrowed from an unidentified third source.', '(grammar) line (in a text).']",Etymology needs research,
տոմսակ,noun,"['note, letter, billet, ticket.']",Etymology needs research,
տուեալ,adjective,['that which is given; datum; notion.'],Etymology needs research,
տուժել,verb,"['to be penalised, punished, fined.', 'to suffer; to be hurt, harmed, injured.']",Etymology needs research,
տպուիլ,verb,"['to be printed, published, pressed, impressed, stamped, to go to press.']",Etymology needs research,
տրոհել,verb,"['to separate, to break up, to disunite.', 'to single out, to isolate.']",Etymology needs research,
տրուիլ,verb,"[""to be given; to give one's self up, to render one's self.""]",Etymology needs research,
ցած,adj,"['low.', 'lower part; bottom part.', 'down; downwards.']",Etymology needs research,
ցամքիլ,verb,"['To lose moisture; to become dry; For dampness or wetness to disappear — to evaporate, to dry off; To atrophy or shrink (of limbs, skin, face, etc.); (Of profit or advantage) To stop, disappear, or be cut off; To disappear, perish, cease to exist — to fade away, to vanish completely.']",Etymology needs research,
ցասկոտ,adj,"['inclined to anger, irascible.']",Etymology needs research,
ցավ,noun,"['pain, ache.', '(colloquial) illness, sickness.', '(figuratively) grief, sorrow; woe.', '(figuratively) anxiety, concern.', '(figuratively) misfortune, disaster.']",Etymology needs research,
ցեծ,noun,['ibis.'],Etymology needs research,
ցիռ,noun,"[', unknown origin.', 'onager, wild ass.']",Etymology needs research,
ցնորիլ,verb,"['to go mad, to hallucinate, to rave; to lose one’s mind; to go insane, become deranged or foolish; to fall into delusions or fantasies; to daydream or imagine unreal things; to rave or ramble deliriously; to speak nonsense (especially due to illness).']",Etymology needs research,
ցնցուղ,noun,"['shower device for bathing.', 'shower (device for bathing).', 'watering can.', 'jet, spurt of water.', '(anatomy, archaic) bronchus.', '(anatomy, archaic) milk duct, lactiferous duct.', '(dialectal) dawn.']",Etymology needs research,
ցցուիլ,verb,"['To be thrust or driven into something like a stake; to be stuck upright; To be made to stand erect; to be planted upright; To stand motionless like a spike or stake; to stand upright and still; to be planted firmly; To rise, to stand up, to elevate oneself; To jut upward or rise sharply with a pointed or narrow tip.']",Etymology needs research,
փախնել,verb,"['somewhat, informal alternative form of փախչել.', '(somewhat informal) alternative form of փախչել (pʻaxčʻel).']",Etymology needs research,
փախչել,verb,"['intransitive to run away, to escape, to flee.', '(intransitive) to run away, to escape, to flee.']",Etymology needs research,
փակ,adj,"['closed, shut; locked.', 'lock, padlock.']",Etymology needs research,
փաղանգ,noun,"['historical phalanx military unit.', '(historical) phalanx (military unit).', '(figuratively) rank; file.', 'sun spider, camel spider, wind scorpion, solifuge, any member of Solifugae.']",Etymology needs research,
փայլակ,noun,"['the light emitted by lightning.', '(figuratively) glitter, brilliance, radiance.', '(figuratively) spark, sparkle.', '(figuratively) lightning.']",Etymology needs research,
փայլել,verb,"['to shine, to glitter, to sparkle, to glisten.', '(figuratively) to shine (with), to be conspicuous (by).']",Etymology needs research,
փայլիլ,verb,"['to shine, to sparkle, to twinkle, to glitter, to glisten, to irradiate, to radiate.']",Etymology needs research,
փայտյա,adj,['wooden.'],Etymology needs research,
փաստել,verb,"['to prove, to establish, to determine.']",Etymology needs research,
փարաջա,noun,"['cassock, soutane, habit, cowl, frock worn by the clergy.', 'cassock, soutane, habit, cowl, frock (worn by the clergy).']",Etymology needs research,
փարվել,verb,"['intransitive to embrace, to hug, to hold.', '(intransitive) to embrace, to hug, to hold.', '(intransitive) to clutch, to clasp, to latch on.', '(intransitive, figuratively) to envelop, to encircle, to surround.', '(intransitive) to touch, to feel.', '(intransitive) to be locked in an embrace, to hug one another.']",Etymology needs research,
փետուր,noun,"['dialectal forms recorded in dialectological notation.', 'feather.']",Etymology needs research,
փետրել,verb,"['transitive to pluck the feathers.', '(transitive) to pluck the feathers.']",Etymology needs research,
փճանալ,verb,"['to become useless; to decay, to perish, to be annihilated, to be destroyed; to be spoiled; to come to nothing; to be massacred.']",Etymology needs research,
փշալար,noun,['barbed wire.'],Etymology needs research,
փշրանք,noun,['crumb.'],Etymology needs research,
փոխ,noun,"['In compounds the word has also the meaning of “exchange” in general, not just “money exchange”.', 'loan, borrowing.']",Etymology needs research,
փորձել,verb,"['to try, to attempt.', 'to check, to inspect.', 'to test, to experiment.', 'to put to the test.', 'to try on (e.g., clothes).', 'to try, to taste (of food or drink).', '(archaic) to confound, to confuse.', 'to plague, to bedevil (to subject to misfortune).', '(in imperative) used as a threat or warning.']",Etymology needs research,
փութալ,verb,"['intransitive to hurry.', '(intransitive) to hurry.']",Etymology needs research,
փոքրիկ,adj,"['tiny, small.', 'small child, baby.']",Etymology needs research,
փսփսալ,verb,['to whisper.'],Etymology needs research,
փրկանք,noun,['ransom.'],Etymology needs research,
փրփրալ,verb,"['alternative form of փրփրել.', 'alternative form of փրփրել (pʻrpʻrel).']",Etymology needs research,
փրփրել,verb,"['intransitive to foam, to froth, to lather.', '(intransitive) to foam, to froth, to lather.', '(of the sea, intransitive) to spume, to foam, to froth.', '(figuratively, intransitive) to foam, to be angry, to see red.', '(figuratively, intransitive) to charge out, to career, to stampede.', '(figuratively, intransitive) to feel peeved, irritated, irked.']",Etymology needs research,
քահանա,noun,"['priest, religious minister.']",Etymology needs research,
քաղցել,verb,['to be hungry.'],Etymology needs research,
քայլել,verb,['to walk; to step; to pace; to go.'],Etymology needs research,
քանդել,verb,"['transitive to demolish, to break up.', '(transitive) to demolish, to break up.']",Etymology needs research,
քաշ,noun,"['alternative form of քարշ.', 'alternative form of քարշ (kʻarš).', '(colloquial) weight.']",Etymology needs research,
քաջ,adj,"['brave, courageous.', 'good; excellent.', 'man of courage.', 'excellently; perfectly (well).']",Etymology needs research,
քառյակ,noun,"['group of four.', 'quartet.', '(poetry) quatrain.']",Etymology needs research,
քառորդ,noun,"['quarter, fourth, quadrant.', 'school term, quarter.', '(astronomy) quarter, crescent (phase of the moon).']",Etymology needs research,
քարայր,noun,"['cave, cavern, grotto.']",Etymology needs research,
քարճիկ,noun,"['gizzard.', '(Bulanık) kidney.']",Etymology needs research,
քարտեզ,noun,['map.'],Etymology needs research,
քաք,noun,"['vulgar shit, crap.', '(vulgar) shit, crap.']",Etymology needs research,
քերծել,verb,['to scratch.'],Etymology needs research,
քթախոտ,noun,"['snuff tobacco product.', 'snuff (tobacco product).']",Etymology needs research,
քիլ,noun,"['archaic the distance between the tips of the spread out thumb and forefinger, about 18 cm.', '(archaic) the distance between the tips of the spread out thumb and forefinger, about 18 cm.']",Etymology needs research,
քիչ,adj,"['few.', 'small, little.', 'little.', 'the little.']",Etymology needs research,
քմահաճ,adjective,"['arbitrary, optional, inquisitorial, capricious, fantastic, whimsical.']",Etymology needs research,
քյաբաբ,noun,['kebab.'],Etymology needs research,
քշուիլ,verb,"['To be driven / moved; To be carried or pushed along; To work and move forward; To be removed, depart; To be expelled or driven out; To be exiled; To be sold (of goods).']",Etymology needs research,
քող,noun,"['Kurdish:.', 'veil.', '(figuratively) veil, cover, disguise.']",Etymology needs research,
քոմենթ,noun,"['colloquial comment on an Internet site, story, page, etc.', '(colloquial) comment (on an Internet site, story, page, etc.).']",Etymology needs research,
քոր,noun,"['itch, itching.']",Etymology needs research,
քութեշ,noun,"['scarlet fever, scarlatina.']",Etymology needs research,
քունել,verb,"['Due to a false friend with the similar-sounding verb , non-native speakers (and even native speakers with poor command of Armenian) may mistakenly translate this word as ""to sleep"" instead of its actual vulgar meaning ""to fuck"".', '(vulgar, transitive) to fuck.']",Etymology needs research,
քուռակ,noun,"['young of a horse or a donkey, colt, foal.', '(derogatory) a generic mild insult.']",Etymology needs research,
քվազար,noun,"['astronomy quasar.', '(astronomy) quasar.']",Etymology needs research,
քրտնել,verb,"['to sweat, to perspire.', '(figuratively) to toil.', '(figuratively) to be shy, ashamed.']",Etymology needs research,
քրտնիլ,verb,"['to sweat, to perspire, to toil, to drudge.']",Etymology needs research,
քրքրել,verb,"['transitive to stir, turn upside down, rake, rummage.', '(transitive) to stir, turn upside down, rake, rummage.', '(transitive) to wear out, use up, fray.']",Etymology needs research,
օգտվել,verb,"['intransitive to use, utilize; to take advantage of; to enjoy.', '(intransitive) to use, utilize; to take advantage of; to enjoy.']",Etymology needs research,
օդանաւ,noun,"['airplane, airship.']",Etymology needs research,
օդաչու,adj,"['pilot controller of aircraft.', 'pilot (controller of aircraft).', '(rare) traveling through the air.']",Etymology needs research,
օժտվել,verb,['mediopassive of օժտել (ōžtel).'],Etymology needs research,
օրեցօր,adv,"['day by day, one day at a time.', 'day by day, gradually.']",Etymology needs research,
օրհնել,verb,"['to bless.', 'to praise, to extol, to exalt.', 'to pay homage to, to give thanks to.']",Etymology needs research,
օրորել,verb,"['transitive to rock to move gently back and forth.', '(transitive) to rock (to move gently back and forth).']",Etymology needs research,
օրօրել,verb,"['to rock, to rock to sleep, to lull, to cradle, to swing.']",Etymology needs research,
ակ,noun,"['spring, fountain, source of water.', '(botany) bud.', '(dialectal) eye; sight.', '(figuratively) origin, source.', 'gem, jewel, precious stone.', 'wheel.']",Etymology needs research,
աճ,noun,"['increase; rise; growth.', 'development.']",Etymology needs research,
աջ,adj,"['of direction right, not left.', '(of direction) right, not left.', 'right, the right side.', 'the right hand.', 'to the right (of).']",Etymology needs research,
բա,intj,"['what about (something someone had not considered).', 'exclamation of approval or surprise.', 'of course, naturally.']",Etymology needs research,
դա,noun,"['the name of the Armenian letter դ.', 'the name of the Armenian letter դ (d).', 'that.', 'it.']",Etymology needs research,
ետ,adv,"['back, backward.']",Etymology needs research,
էգ,adj,"['female of animals.', 'female (of animals).', 'female animal.', '(derogatory) woman.']",Etymology needs research,
էշ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",Etymology needs research,
էր,verb,['third-person singular imperfect of եմ (em).'],Etymology needs research,
թև,noun,"['wing.', 'arm of a human.', 'fin of a fish.', '(military) wing, flank.', '(politics) wing.', 'side.', '(dialectal) the place for the watchdog to lay and guard the flock when it stays outside.']",Etymology needs research,
իմ,pron,"['possessive my.', '(possessive) my.']",Etymology needs research,
կա,verb,['third-person singular present indicative of կամ (kam).'],Etymology needs research,
ձև,noun,"['form; shape; pattern.', 'way, method.', '(grammar) form.']",Etymology needs research,
նա,pron,"['as “she”}}.', '(personal) he, she.', '(demonstrative) that.']",Etymology needs research,
որ,conj,"['who, which, that (relative pronoun) singular.', 'who, which, that (relative pronoun) (singular).', 'which? (interrogative determiner).', 'which (relative determiner).', 'that.', 'in order to, so that.', 'if, since.', 'when.']",Etymology needs research,
չէ,adv,"['informal no.', '(informal) no.', 'negative form of է (ē).']",Etymology needs research,
