title,part_of_speech,definition,suggested_etymology,source,notes
խտղտել,verb,"['transitive to tickle.', '(transitive) to tickle.']",,,
խրամատ,noun,"['military trench, entrenchment.', '(military) trench, entrenchment.']",,,
խրոխտալ,verb,"['literary to threaten.', '(literary) to threaten.', 'to inflate, to fill with pride.', 'to become proud, pleased, satisfied (with oneself).', '(figuratively) to soar up, to reign over.']",,,
խրոխտանք,noun,['synonym of խրոխտություն (xroxtutʻyun).'],,,
խրտնել,verb,"['intransitive, of a horse to shy.', '(intransitive, of a horse) to shy.']",,,
ծագ,noun,"['extremity, end, top.']",,,
ծալ,noun,"['fold, pleat, crease.', 'bedding that is stacked each morning to make space in the living quarters.', 'act of folding.']",,,
ծախ,noun,"['sale, selling.']",,,
ծախծխել,verb,"[""frequentative to sell out, to sell all of one's possessions quickly and cheaply."", ""(frequentative) to sell out, to sell all of one's possessions quickly and cheaply.""]",,,
ծախսել,verb,"['to spend.', 'to expend.', 'to waste, to squander.', 'to use, to use up.', '(figuratively) to sacrifice.']",,,
ծածանել,verb,"['transitive to wave, flap; to cause to flutter.', '(transitive) to wave, flap; to cause to flutter.']",,,
ծածկել,verb,"['to cover.', 'to shut, to close.']",,,
ծաղարար,noun,"['rare pastry chef.', '(rare) pastry chef.']",,,
ծաղրածու,noun,"['clown; mime, buffoon.', '(dialectal) mystery, riddle.']",,,
ծաղրել,verb,"['to deride, mock, ridicule, laugh at.']",,,
ծամել,verb,"['to chew.', '(figuratively) to crumble.', '(figuratively) to repeat something with tiresome monotony.']",,,
ծանուցել,verb,"['to notify formally.', 'to notify (formally).', 'to inform.']",,,
ծանրոց,noun,"['parcel a package wrapped for shipment.', 'parcel (a package wrapped for shipment).']",,,
ծառայել,verb,['to serve.'],,,
ծավալել,verb,"['transitive to expand.', '(transitive) to expand.', '(transitive) to spread out, to spread.', '(transitive, figuratively) to improve, to raise, to enhance.', '(transitive, figuratively) to fill.', '(intransitive, archaic) to be expanded, to be spread.']",,,
ծարավել,verb,"['intransitive to thirst, to be thirsty.', '(intransitive) to thirst, to be thirsty.']",,,
ծեծել,verb,"['to beat; to whip, lash; to thrash.', 'to pound, to grind.', 'to forge.', 'to knock on (door).']",,,
ծերանալ,verb,"['intransitive to grow old, to age.', '(intransitive) to grow old, to age.']",,,
ծերտ,noun,"['poop, dung, dropping of birds.', 'poop, dung, dropping (of birds).', '(Kharberd) rheum, sleep, eye gunk, eye booger.']",,,
ծիծաղել,verb,['to laugh.'],,,
ծիծեռնակ,noun,"['swallow bird.', 'swallow (bird).']",,,
ծխանելիք,noun,['incense.'],,,
ծծումբ,noun,['sulfur.'],,,
ծնոտ,noun,['jaw.'],,,
ծնունդ,noun,"['birth the act of being born.', 'birth (the act of being born).', 'delivery (the act of giving birth).', 'the newborn.', '(figuratively) origin, conception.', '(colloquial) birthday.', '(colloquial) birthday party.']",,,
ծոծորակ,noun,"['archaic alternative form of ծոծրակ.', '(archaic) alternative form of ծոծրակ (cocrak).']",,,
ծոծրակ,noun,"['(dialectal).', 'nape of the neck.', 'occiput, back of the head.']",,,
ծովագնաց,noun,['seafarer.'],,,
ծործորակ,noun,"['dialectal alternative form of ծոծրակ.', '(dialectal) alternative form of ծոծրակ (cocrak).']",,,
ծոց,noun,"[""bosom the space between a person's clothing and their chest."", ""bosom (the space between a person's clothing and their chest)."", 'embrace, arms.', '(geography) gulf, bay.']",,,
ծունկ,noun,"['knee.', ""name for one of the khazes in Hampartsoum Limondjian's notation, indicating a note one eighth of a beat long.""]",,,
ծռել,verb,"['transitive to bend, to curve.', '(transitive) to bend, to curve.']",,,
ծրագրել,verb,"['transitive to plan.', '(transitive) to plan.']",,,
ծփալ,verb,"['intransitive to sway, to wave, to flutter, to undulate.', '(intransitive) to sway, to wave, to flutter, to undulate.']",,,
կազմել,verb,"['to compose, form, put together.', 'to bind (a book).']",,,
կաթել,verb,"['intransitive to drip, to fall one drop at a time.', '(intransitive) to drip, to fall one drop at a time.']",,,
կալանք,noun,['arrest.'],,,
կալնել,verb,"['to hold, to keep.', 'to stop up (with); to plug.', 'to seize.', 'to encase.']",,,
կախարդել,verb,"['to bewitch, to enchant.', '(figuratively) to charm, to attract, to dazzle, to captivate.']",,,
կախել,verb,"['transitive to hang.', '(transitive) to hang.']",,,
կահույր,noun,"['archaic pitcher, pot, jug, jar.', '(archaic) pitcher, pot, jug, jar.']",,,
կամել,verb,"['dated alternative form of կամենալ.', '(dated) alternative form of կամենալ (kamenal).']",,,
կամենալ,verb,"['to wish, to want, to desire.', 'to aspire to, to strive for (to feel a desire or need to achieve or produce).', '(dialectal) to be a matchmaker.']",,,
կամք,noun,"['will.', 'wish, desire.', 'desire, drive, determination.', 'goodwill, benevolence, grace.', 'intention, purpose, aim.', 'whim, impulse, caprice.']",,,
կայանալ,verb,"['to take place, to occur, to happen.', 'to consist (of).', 'to establish oneself.']",,,
կայծակ,noun,['lightning.'],,,
կայծառ,noun,['blacksmith’s tongs.'],,,
կայծքար,noun,['flint.'],,,
կանանոց,noun,"['harem.', ""gynaeceum (the women's quarters in a household).""]",,,
կանգառ,noun,"['stop, station.']",,,
կանգնել,verb,"['to stand.', 'to stand up, to rise.', 'to stop (working, etc.).']",,,
կանթեղ,noun,"['dialectal forms recorded in dialectological notation.', 'lamp; oil lamp.', 'chandelier.', '(figuratively) luminosity, light.']",,,
կանխել,verb,"['to arrive beforehand, to anticipate.', 'to prevent, to avert, to hinder.', '(archaic) to hurry, to rush.']",,,
կանչել,verb,"['to call, to summon.', 'to cry out.', '(colloquial) to invite.', 'to name, to call.']",,,
կաշառել,verb,"['transitive to bribe.', '(transitive) to bribe.']",,,
կաշկանդ,noun,"['proscribed.', '(proscribed) synonym of կաշկանդվածություն (kaškandvacutʻyun).']",,,
կապակցել,verb,"['transitive to tie, to bind, to unite, to join together.', '(transitive) to tie, to bind, to unite, to join together.']",,,
կապանք,noun,"['fetter, shackle, chain.', '(figuratively) captivity, confinement, restriction.']",,,
կառափնատ,noun,['guillotine.'],,,
կառույց,noun,"['structure.', 'building.']",,,
կառչել,verb,['to clutch (at); to cling (to); to grasp (at).'],,,
կասեցնել,verb,"['to suspend, stop.', 'causative of կասել (kasel).']",,,
կասկած,noun,['doubt.'],,,
կասկածել,verb,"['to doubt, to question.', 'to suspect of wrongdoing or a crime.', '(archaic) to portend, to forebode (to foretell the occurrence of a bad omen).']",,,
կասկարա,noun,"['trivet, tripod put under a cooking pot or kettle.']",,,
կավ,noun,['clay.'],,,
կավագործ,noun,['potter.'],,,
կավառ,noun,"['narrow brook, canal.', 'the point on a canal, whence the water is separated and directed towards the land to be irrigated.']",,,
կատակել,verb,"['to joke (to tell jokes).', '(archaic) to ridicule, to mock.', 'to disregard, to scoff (to ignore or not take seriously).']",,,
կատաղել,verb,"['to rage, to be furious.', '(of an animal) to become rabid.']",,,
կատարել,verb,"['transitive to do, perform, execute.', '(transitive) to do, perform, execute.', '(transitive) to complete, realize, fulfill, carry out.']",,,
կարամ,verb,"['colloquial, Eastern can, to be able to.', '(colloquial, Eastern Armenian) can, to be able to.']",,,
կարեկցել,verb,"['to sympathize, to empathize.', 'to pity, to commiserate, to feel for.']",,,
կարենալ,verb,"['dialectal, colloquial to be able.', '(dialectal, colloquial) to be able.']",,,
կարիչ,noun,['stapler.'],,,
կարծել,verb,"['to believe, think, judge, consider, suppose.']",,,
կարծիք,noun,['opinion.'],,,
կարկաչել,verb,"['to purl, to babble, to sough of water.', 'to purl, to babble, to sough (of water).', 'to chirrup, to twitter, to chirp (of birds).', '(figuratively) to laugh boisterously, to cackle, to guffaw.', '(figuratively) to resound, to reverberate.', 'to chatter (of teeth).']",,,
կարմրել,verb,"['intransitive to turn red, to become red, to redden.', '(intransitive) to turn red, to become red, to redden.', '(intransitive) to flush; to turn red in the face; to blush.']",,,
կարոտել,verb,"['to miss, yearn, long for someone or something.']",,,
կափարիչ,noun,"['lid, cover, cap.']",,,
կեղ,noun,"['medicine ulcer, sore.', '(medicine) ulcer, sore.', 'scab.', '(figuratively) sore, evil, pest.']",,,
կեղծել,verb,"['transitive to falsify, to fake, to forge.', '(transitive) to falsify, to fake, to forge.']",,,
կեղծիք,noun,"['falsification, forgery, imitation, counterfeit; fake.', 'lie, falsehood.']",,,
կեղտոտել,verb,"['to soil, to sully, to dirty.', 'to soil, to poop (especially of a young child).', ""to besmirch, to tarnish (someone's name or reputation).""]",,,
կեռնեխ,noun,"["", rejecting Petersson's etymology and leaving the origin open."", 'thrush, Turdus (gen. et spp.).']",,,
կերակրել,verb,"['to feed, to nourish.', 'to breastfeed, to nurse.', '(figuratively) to support.']",,,
կերցավ,noun,"['gangrene.', '(dated or Western Armenian) cancer or a cancerous growth.']",,,
կզակ,noun,"['dialectal forms recorded in dialectological notation.', 'chin.', '(dialectal, Vozm) soft palate, velum.']",,,
կթխա,noun,"['glass, cup, especially a small glass for liquor, a рюмка.', 'glass, cup, especially a small glass for liquor, a рюмка (rjumka).']",,,
կիճ,noun,"['dialectal the sting of scorpions, bees, serpents, etc.', '(dialectal) the sting of scorpions, bees, serpents, etc.']",,,
կինաբար,noun,"['cinnabar mineral.', 'cinnabar (mineral).']",,,
կինճ,noun,"['wild boar, <ref></ref>.', 'wild boar, Sus scrofa.']",,,
կինոնկար,noun,['motion picture.'],,,
կիսել,verb,"['to halve, to divide.', 'to share, to split (with somebody).']",,,
կիրառել,verb,"['to apply, to employ, to use.', 'to impose, to give (e.g., a fine or sentence).']",,,
կիրարկել,verb,"['to apply, to employ, to use.']",,,
կլայեկ,noun,"['tin.', 'tinning (a covering or lining of tin).']",,,
կլանել,verb,"['to absorb.', 'to devour.']",,,
կլիր,noun,"['dialectal forms recorded in dialectological notation.', '(vulgar, taboo) dick, cock, penis.']",,,
կծել,verb,"['to bite.', 'to bite off.', 'to tingle, to prick.', 'to sting.']",,,
կծոխուր,noun,"[', recorded as kutzachur.', 'barberry, Berberis, especially common barberry, Berberis vulgaris (plant and berry).']",,,
կղկղանք,noun,"['formal excrements, faeces.', '(formal) excrements, faeces.']",,,
կնքահայր,noun,['godfather.'],,,
կնքել,verb,"['to seal, to affix a seal.', 'to seal up, to close.', 'to conclude, to confirm.', 'to conclude, to finish.', 'to baptize, to christen.']",,,
կշտանալ,verb,"[""intransitive to eat one's fill; to be full after eating."", ""(intransitive) to eat one's fill; to be full (after eating).""]",,,
կոբալտ,noun,['cobalt.'],,,
կոթ,noun,"['handle, hilt, grip, haft.', 'plant stem.']",,,
կոխել,verb,"['to trample, to tread.', '(colloquial) to plunge, to shove into, to insert.', '(slang, vulgar) to fuck.']",,,
կող,noun,"['rib.', 'side, flank.']",,,
կողոպտել,verb,"['to rob, to burgle, to steal.', 'to loot.']",,,
կողպել,verb,"['transitive to lock.', '(transitive) to lock.']",,,
կոճ,noun,"['reel, bobbin.', '(textile) spool.', '(electricity) coil.', '(anatomy) ankle.']",,,
կոճղ,noun,"['tree stump, stub.', 'block, log, large piece of wood.', 'stocks (punishment device).']",,,
կոմբալ,noun,"['alternative form of կոպալ.', 'Yerevan, Karabakh, and Tbilisi form of կոպալ (kopal).']",,,
կոմկուս,noun,['Communist party.'],,,
կոշիկ,noun,['shoe.'],,,
կոշկոճել,verb,"['archaic, poetic to torment, to harass, to vex.', '(archaic, poetic) to torment, to harass, to vex.']",,,
կոչունք,noun,"['invitation; feast, banquet.']",,,
կովադիաց,noun,"['In the Bible, translates .', 'a kind of green lizard.']",,,
կոտորած,noun,"['massacre, slaughter.']",,,
կոտորել,verb,"['to slaughter, to massacre.']",,,
կործել,verb,"['transitive to turn over and empty a vessel.', '(transitive) to turn over and empty a vessel.', '(transitive) to pour liquid from one vessel into another.']",,,
կորնչել,verb,"['archaic alternative form of կորչել.', '(archaic) alternative form of կորչել (korčʻel).']",,,
կորուստ,noun,"['loss.', 'disappearance.', 'destruction, ruin; death.', '(figuratively) misfortune.']",,,
կուտակել,verb,"['to gather.', 'to stack.', 'to consolidate, to bring together.', 'to store.', 'to accumulate, to amass.']",,,
կռահել,verb,"['to conjecture, to infer, to guess.', 'to notice, to remark, to observe.', 'to construe, to interpret, to understand.']",,,
կռուփ,noun,['fist.'],,,
կտակել,verb,"['to bequeath, to leave by will.']",,,
կտղել,verb,"['of animals to rut, to be in heat to burn with sexual desire.', '(of animals) to rut, to be in heat (to burn with sexual desire).']",,,
կտնառք,noun,"['anatomy crop, craw.', '(anatomy) crop, craw.']",,,
կտուց,noun,"[', tentatively compares to and suspects a borrowing; for this word see.', 'beak, bill.']",,,
կտտանք,noun,['torture.'],,,
կրակել,verb,"['to shoot, to fire.']",,,
կրել,verb,"['to carry; to transport; to bear (to carry or have within oneself).', '(figuratively) to take on, to assume (e.g., responsibility).', '(figuratively) to be subjected to.', '(figuratively) to accept, to receive (e.g., a blow).', '(of clothes) to wear, to have on.', '(colloquial) to win, to beat, to defeat.']",,,
կրկնել,verb,"['to repeat.', '(dialectal) to return (of the illness).', '(dialectal) to roll up one’s sleeve or the hem of the skirt.', '(dialectal) to be suffocated.']",,,
կցել,verb,"['to join, to unite.', 'to attach; to annex; to enclose.']",,,
հագեցնել,verb,"['to satiate, to satisfy; to quench, to slake.', 'causative of հագենալ (hagenal).', 'to saturate, to imbue.', '(figuratively) to soak, to steep.', '(figuratively) to envelop, to enwrap, to surround.', 'to provide with equipment, to equip.']",,,
հագնել,verb,"['to put on clothes or shoes.', 'to wear clothes or shoes.', '(slang) to quarrel, fight.']",,,
հազ,noun,"['cough.', 'pleasure, delight, enjoyment.']",,,
հազել,verb,"['transitive, literary to immolate, offer up, sacrifice to idols.', '(transitive, literary) to immolate, offer up, sacrifice to idols.']",,,
հալածանք,noun,"['persecution, pursuit.', 'oppression; harassment; persecution, victimization.']",,,
հալածել,verb,"['to pursue, to chase, to run after.', 'to chase away, to drive away.', 'to persecute, to harass, to oppress.', '(figuratively) to blow away, to dispel.', '(figuratively) to scatter, to strew, to disperse.', '(figuratively) to bother, to annoy, to vex.', '(figuratively) to struggle, to strive, to contend.']",,,
հալավ,noun,"['garment.', 'undergarment, tunic.', 'wedding dress.', 'the clothes brought by the bride as a dowry.', 'piece of cloth for menstruation.', '(transferred sense) menstruation.', 'piece of cloth used as a spinning wheel cover.', 'slough (the skin shed by a snake).']",,,
հալվե,noun,"['aloe plant.', 'aloe (plant).', 'aloeswood, agarwood, agalloch.']",,,
հակինթ,noun,"['ruby, sapphire.', 'hyacinth (flower).']",,,
հաղթանակ,noun,['victory; win.'],,,
հաղորդել,verb,"['to communicate, to transmit; to inform; to impart.', '(radio, television) to transmit.', '(physics) to conduct.']",,,
հաճախել,verb,"['to frequent.', '(archaic) to increase, to grow, to multiply.']",,,
հաճույք,noun,['pleasure.'],,,
համալրել,verb,"['transitive to fill, replenish.', '(transitive) to fill, replenish.']",,,
համախոհ,noun,"['supporter, partisan, ally.']",,,
համակարգ,noun,['system.'],,,
համացանց,noun,"['somewhat, formal Internet.', '(somewhat formal) Internet.']",,,
համբավ,noun,"['reputation, repute, name, fame.', 'news, information.']",,,
համբերել,verb,"[""to be patient, to keep one's patience.""]",,,
համբույր,noun,"['somewhat, formal kiss.', '(somewhat formal) kiss.']",,,
համենալ,verb,"['intransitive to delay, to retard, to defer, to remain, to procrastinate.', '(intransitive) to delay, to retard, to defer, to remain, to procrastinate.', '(intransitive) to tarry, to stay, to dally, to loiter, to lag, to while.', '(intransitive) to continue doing something.']",,,
համոզել,verb,"['transitive to convince, to persuade.', '(transitive) to convince, to persuade.']",,,
համրել,verb,"['chiefly, Western Armenian to count, to enumerate.', '(chiefly Western Armenian) to count, to enumerate.']",,,
համք,noun,"['rare sexual organ.', '(rare) sexual organ.']",,,
հայացք,noun,"['look, glance, gaze.', 'view, opinion.']",,,
հայտնել,verb,"['to make public, known.', 'to inform.']",,,
հայրենիք,noun,"[""one's country, native land, fatherland, motherland.""]",,,
հանգույց,noun,"['knot.', 'knot (on a rope, thread, etc.).', 'junction.', '(linguistics) copula.']",,,
հանգչել,verb,"['to stop burning or giving light, to go out.', 'to rest, to repose.', 'to stop, to halt; to cease, to end.', 'to die.']",,,
հանդբոլ,noun,['synonym of ձեռնագնդակ (jeṙnagndak).'],,,
հանել,verb,"['to pull out, to extract.', 'to take off a cloth.', 'to remove, to displace.', 'to withdraw.', '(arithmetics) to subtract.']",,,
հանձնել,verb,"['transitive to pass over, to give, to transfer; to commit.', '(transitive) to pass over, to give, to transfer; to commit.', '(transitive) to surrender.']",,,
հանճար,noun,"['genius (extraordinary mental capacity).', 'genius (person).']",,,
հանցանք,noun,['crime; offense.'],,,
հաշիվ,noun,"['reckoning; computation; calculation; enumeration; account.', '(accounting) account (a registry of pecuniary transactions).', 'account (a reason, grounds, consideration, motive).', 'bill; invoice; check.']",,,
հաշմել,verb,"['transitive to maim.', '(transitive) to maim.']",,,
հաշվարկ,noun,"['count, reckoning.']",,,
հաչել,verb,"['of a dog to bark.', '(of a dog) to bark.']",,,
հապաղանք,noun,['synonym of հապաղում (hapaġum).'],,,
հապաղել,verb,"['intransitive to be late, to fall behind, to slow down.', '(intransitive) to be late, to fall behind, to slow down.']",,,
հառաչանք,noun,"['sigh, moan, groan.']",,,
հառաչել,verb,"['to sigh, to moan, to groan.']",,,
հասկանալ,verb,"['to understand.', 'to realize.']",,,
հասմիկ,noun,"['jasmine flower.', 'jasmine (flower).']",,,
հասնել,verb,"['to reach.', 'to attain, to achieve.', 'to ripen, to mature.']",,,
հաստել,verb,"['archaic, poetic to affirm, to assert, to make hard, to create.', '(archaic, poetic) to affirm, to assert, to make hard, to create.']",,,
հաստիչ,noun,"['archaic creator, producer.', '(archaic) creator, producer.']",,,
հասցնել,verb,"['to deliver, to bring.', 'causative of հասնել (hasnel).', 'to be in time (for).']",,,
հավա,noun,['weather.'],,,
հավանել,verb,"['to agree, to accept.', 'to like.']",,,
հավատք,noun,"['alternative form of հավատ.', 'alternative form of հավատ (havat).']",,,
հավաքել,verb,"['to gather, to collect.', 'to clean.']",,,
հավելել,verb,['to add.'],,,
հավկիթ,noun,"['Western Armenian, formal, in, Eastern Armenian egg.', '(Western Armenian, formal in Eastern Armenian) egg.']",,,
հատ,noun,"['piece.', 'grain, seed.']",,,
հատիկ,noun,"['grain.', 'granule.']",,,
հատնել,verb,"['intransitive to come to an end, to expire.', '(intransitive) to come to an end, to expire.']",,,
հատոր,noun,"['volume, tome of a series of books, periodicals.', 'volume, tome (of a series of books, periodicals).']",,,
հատուցել,verb,"['to reckon, compensate, settle.']",,,
հատված,noun,"['section, sector.', 'excerpt, fragment (of writing).', '(geometry) line segment.']",,,
հարավ,noun,['south.'],,,
հարբենալ,verb,"['alternative form of հարբել.', 'alternative form of հարբել (harbel).']",,,
հարգանք,noun,"['respect, esteem.']",,,
հարգել,verb,"['to respect, to esteem, to honour.', 'to hold in respect.', 'to pay homage.']",,,
հարդարել,verb,"['transitive to put in order, to fix up; to style; to trim.', '(transitive) to put in order, to fix up; to style; to trim.']",,,
հարիւր,noun,"['hundred.', 'traditional orthography spelling of հարյուր (haryur).']",,,
հարկել,verb,"['transitive to tax.', '(transitive) to tax.']",,,
հարնչել,verb,"['archaic to be close to something, to adjoin.', '(archaic) to be close to something, to adjoin.']",,,
հարս,noun,"['fiancée.', 'bride.', 'a newlywed woman.', ""daughter-in-law, sister-in-law (the woman in relation to her husband's family).""]",,,
հարսանիթ,noun,['measles.'],,,
հարսանիք,noun,['wedding.'],,,
հարված,noun,"['blow, stroke.', 'beat.', 'push.', 'jolt, bump, jerk.', 'stab.', 'lash, slash.', 'punch, cuff.', '(military) thrust.']",,,
հարվածել,verb,"['somewhat, formal to hit, to strike.', '(somewhat formal) to hit, to strike.']",,,
հարց,noun,"['question.', 'question, issue; problem.', 'matter (of), question (of).']",,,
հարցնել,verb,"['to ask (somebody about something); to inquire (of somebody, about, after, for something).', 'to ask (for), to want (to see); to desire to speak (to).']",,,
հաց,noun,"['bread.', '(by extension) meal, food, table.', '(figuratively) living, means of subsistence.', 'honey with honeycomb.', 'grain.', 'grain field (usually wheat or barley).']",,,
հացագործ,noun,['baker.'],,,
հացուտ,noun,['ash forest.'],,,
հեգնել,verb,"['to mock, to ridicule.']",,,
հեթանոս,noun,"['heathen, pagan.']",,,
հեծեծել,verb,"['to moan, to groan, to bewail, to mourn.']",,,
հեծնել,verb,"['to mount, to ride a horse, a pack animal.', 'to mount, to ride (a horse, a pack animal).']",,,
հեշթեգ,noun,"['Internet hashtag.', '(Internet) hashtag.']",,,
հեռագիր,noun,"['telegraph.', 'telegram, wire, cable.']",,,
հեռանալ,verb,"['intransitive to move off, move away (from).', '(intransitive) to move off, move away (from).', '(intransitive) to depart, leave.']",,,
հեռացնել,verb,"['to remove.', 'causative of հեռանալ (heṙanal).']",,,
հեռել,verb,"['transitive, archaic to set, to mount, to enchase, to stud; to fit in.', '(transitive, archaic) to set, to mount, to enchase, to stud; to fit in.']",,,
հետնորդ,noun,"['successor, descendant, scion.']",,,
հետույք,noun,"['buttocks, butt, ass.']",,,
հետևանք,noun,['consequence.'],,,
հետևորդ,noun,"['follower one who adheres to the opinions, teachings, or ideas of another, a movement, etc.', 'follower (one who adheres to the opinions, teachings, or ideas of another, a movement, etc.).', '(archaic) companion, one who accompanies another.', '(Internet) follower on social media.']",,,
հերթ,noun,"[', derives from.', 'turn.', '(games) turn, move.', 'queue, line.']",,,
հերիքել,verb,"['to suffice, last.']",,,
հերկ,noun,"['ploughing, tillage, tilth.', 'ploughed land left fallow.']",,,
հերքել,verb,"['to deny, to repudiate, to refute, to disclaim (to deny accusations, to counter inaccuracies or untruths).']",,,
հեց,noun,['felloe.'],,,
հեքիաթ,noun,"['fairy tale, tale.', '(chiefly Western Armenian) story.']",,,
հիանալ,verb,"['to admire, to marvel at.']",,,
հիմք,noun,"['Kurdish:.', 'base; basis; foundation.', 'grounds, reason.', '(construction) foundation, base.', '(chemistry) base.', '(geometry) base.', '(linguistics) stem.']",,,
հիշեցնել,verb,"['to remind.', 'causative of հիշել (hišel).']",,,
հիստերիա,noun,"['hysteria behavior exhibiting excessive or uncontrollable emotion.', 'hysteria (behavior exhibiting excessive or uncontrollable emotion).']",,,
հիրել,verb,"['archaic to join together.', '(archaic) to join together.', '(archaic) to stretch out, to hold out.']",,,
հմայել,verb,"['to charm, to put or cast a spell on.', '(figuratively) to attract, to fascinate, to charm.']",,,
հյուլե,noun,"['obsolete, physics atom.', '(obsolete, physics) atom.', '(figuratively) the smallest part of something, element.']",,,
հյուսել,verb,"['to plait, to braid.']",,,
հյուսիս,noun,['north.'],,,
հյուր,noun,"['guest, visitor.']",,,
հնանալ,verb,"['to grow old, age of inanimate objects.', 'to grow old, age (of inanimate objects).', 'to go out of date; to become obsolete.']",,,
հնացնել,verb,"['to age, mature, season.', 'causative of հնանալ (hnanal).']",,,
հնոց,noun,['furnace.'],,,
հոգալ,verb,['to take care (of).'],,,
հոգնել,verb,"['intransitive to become tired, exhausted.', '(intransitive) to become tired, exhausted.']",,,
հոդված,noun,"['article.', '(law) article; clause; paragraph; section.', '(accounting) item.']",,,
հոժարել,verb,"['to agree, to like.']",,,
հողաթափ,noun,['slipper (shoe).'],,,
հոպնակ,noun,"['wheelbarrow, barrow.']",,,
հոսանք,noun,"['current, stream.', 'flow.', '(electricity) current.']",,,
հոսել,verb,"['intransitive to flow.', '(intransitive) to flow.']",,,
հոսք,noun,"['flow, stream.']",,,
հովազ,noun,"['leopard.', 'leopard, Panthera pardus.']",,,
հոտ,noun,"['smell, odor; scent good or bad.', 'smell, odor; scent (good or bad).', 'flock of sheep.', 'flock or herd of other animals.', '(Christianity) flock, parishioners.']",,,
հոտոտել,verb,"['transitive to smell, to sniff at something/someone repeatedly.', '(transitive) to smell, to sniff at something/someone repeatedly.']",,,
հոր,noun,"['pit, hole.', '(rare) synonym of փեսա (pʻesa).', 'dative singular of հայր (hayr).']",,,
հորդել,verb,"['of water to overflow, to abound.', '(of water) to overflow, to abound.']",,,
հորդորակ,noun,"['rare exhortation.', '(rare) exhortation.']",,,
հորդորել,verb,"['to admonish, exhort, persuade, convince.', 'to encourage.']",,,
հորթ,noun,['calf.'],,,
հորթուկ,noun,['diminutive of հորթ (hortʻ).'],,,
հորջորջ,noun,['synonym of հորջորջանք (horǰorǰankʻ).'],,,
հու,noun,"['rare purulent blood.', '(rare) purulent blood.']",,,
հուզել,verb,"['to move, to affect, to touch (of the emotions).', 'to bewilder, to confuse, to fluster.', 'to excite, to stir, to agitate.']",,,
հույլք,noun,"['alternative form of հույլ.', 'alternative form of հույլ (huyl).']",,,
հուշարար,noun,"['theater prompter.', '(theater) prompter.']",,,
հուռութ,noun,"['magic, charm, enchantment.', 'charm, talisman, amulet.']",,,
հուռութք,noun,"['alternative form of հուռութ.', 'alternative form of հուռութ (huṙutʻ).']",,,
հուսալ,verb,['to hope.'],,,
հրաձգել,verb,"['transitive, rare to shoot a firearm.', '(transitive, rare) to shoot a firearm.']",,,
հրապույր,noun,"['charm, enticement, attraction.']",,,
հրասախ,noun,['parasang.'],,,
հրավառել,verb,"['transitive to illuminate.', '(transitive) to illuminate.']",,,
հրավիրել,verb,"['transitive to invite.', '(transitive) to invite.']",,,
հրկիզել,verb,"['transitive to set on fire, to burn, to incinerate.', '(transitive) to set on fire, to burn, to incinerate.']",,,
հրճվանք,noun,"['joy, delight, exultation.', 'pleasure, enjoyment.']",,,
հրճվել,verb,"['to rejoice, to delight, to revel.']",,,
ձաղ,noun,"['archaic derision, mockery.', '(archaic) derision, mockery.']",,,
ձայնորդ,noun,"['phonetics sonorant.', '(phonetics) sonorant.']",,,
ձավար,noun,"['Kurdish:.', 'cracked wheat groats (raw or cooked).']",,,
ձարխոտ,noun,"['lady fern <ref name=""Bus""></ref><ref name=""Ghandilyan""></ref>.', 'lady fern (Athyrium).']",,,
ձեթ,noun,['vegetable oil.'],,,
ձեռ,noun,"['colloquial, dialectal alternative form of ձեռք.', '(colloquial, dialectal) alternative form of ձեռք (jeṙkʻ).']",,,
ձեռնածու,noun,"['juggler, conjurer.']",,,
ձեռնարկ,noun,"['manual, handbook, guide.', 'enterprise.']",,,
ձեռնոց,noun,['glove.'],,,
ձիագող,noun,['horse thief.'],,,
ձիաուժ,noun,['horsepower.'],,,
ձիաստաց,noun,"['hornet.', 'hornet, Vespa crabro.']",,,
ձիթայուղ,noun,['olive oil.'],,,
ձկնկուլ,noun,"['cormorant.', 'cormorant, Phalacrocorax.']",,,
ձկնորս,noun,"['fisher, fisherman.']",,,
ձմեռ,noun,['winter.'],,,
ձմեռել,verb,"['to winter, to spend the winter.']",,,
ձմերուկ,noun,"['watermelon, plant and fruit.', 'watermelon, Citrullus lanatus (plant and fruit).']",,,
ձյութ,noun,"['pitch a dark, extremely viscous material remaining in still after distilling crude oil and tar.', 'pitch (a dark, extremely viscous material remaining in still after distilling crude oil and tar).', '(Hamshen) pitch, sap, resin (sticky, gummy substance secreted by trees).', '(dialectal) chewing gum.']",,,
ձոր,noun,"['gorge, ravine; canyon.']",,,
ձուլել,verb,"['to cast, to mould, to found, to smelt.', '(figuratively, transitive) to assimilate.']",,,
ձուկ,noun,"['fish.', '(anatomy) calf muscle (triceps surae).', '(dialectal) a lightning flashing far on the horizon.']",,,
ձվածեղ,noun,"['omelette.', 'fried egg.']",,,
ձվաձեղ,noun,"['dialectal, colloquial alternative form of ձվածեղ.', '(dialectal, colloquial) alternative form of ձվածեղ (jvaceġ).']",,,
ձևավորել,verb,"['transitive to form, mould, shape.', '(transitive) to form, mould, shape.']",,,
ղալմաղալ,noun,"['noise, confusion, tumult, uproar.']",,,
ղանձիլ,noun,"['In the territory of the Republic of Armenia encountered in Lori and Tavush provinces.', 'ramsons, Allium ursinum.']",,,
