title,part_of_speech,definition,current_etymology,priority
լեռ,noun,"['mountain, mount.', '(dialectal) hard stone.']",,1
լերկամորթ,adj,"['of fish having scaleless skin.', '(of fish) having scaleless skin.']",,3
լիազորել,verb,"['to authorize, to empower.']",,2
լիակատար,adj,"['complete, total, perfect.']",,2
լիարժեք,adj,"['of full value, valuable, full-fledged, complete, full.']",,2
լիբրացիա,noun,"['astronomy libration.', '(astronomy) libration.']",,2
լիմոնադ,noun,['lemonade.'],,2
լիքը,adj,"['full.', 'fat, plump.', '(colloquial) many, a lot of.']",,1
լիֆչիկ,noun,"['bra, brassiere.']",,2
լիֆտ,noun,"['colloquial elevator, lift.', '(colloquial) elevator, lift.']",,1
լկստել,verb,"['transitive, informal to spoil, coddle, pamper.', '(transitive, informal) to spoil, coddle, pamper.",,2
լոկոմոտիվ,noun,['locomotive.'],,3
լող,noun,['swimming.'],,1
լոմ,noun,['crowbar.'],,1
լորամարգ,noun,"['a quail-like bird.', 'synonym of լոր (lor).']",,2
լորտու,noun,"['grass snake.', 'grass snake (Natrix natrix).', '(dialectal) slug (gastropod mollusk having no shel",,2
լուծարել,verb,"['transitive to liquidate, dissolve.', '(transitive) to liquidate, dissolve.']",,2
լույծ,adj,['watery.'],,1
լույս,noun,"['light.', 'dawn, daybreak.', '(colloquial) electricity, power.']",,1
լուսանկար,noun,['photograph.'],,3
լուսանկարել,verb,['to photograph.'],,3
լուսատարի,noun,"['astronomy light year.', '(astronomy) light year.']",,3
լուսնկա,adj,"['moon.', 'moonlight.', 'moonshined.', 'moon-like.']",,2
լուցկի,noun,"['match.', '(dated) tinder.']",,2
լպստել,verb,['to lick.'],,2
լռելյայն,adj,"['silently, in silence.', '(computing) by default.', '(computing) default.']",,2
լռության րոպե,,['moment of silence.'],,3
լրատու,adj,"['someone or something giving information.', 'information-giving, informing.']",,2
լրջանալ,verb,['to become serious.'],,2
լրջություն,noun,['seriousness.'],,3
խազ,noun,"[', argues for an borrowing, ultimately going back to , sigmatic aorist of ; compare , .', 'line; no",,1
խազել,verb,['to draw a line; to scratch.'],,1
խաթաբալա,noun,"['misfortune, setback, troubles.']",,2
խալիար,noun,"['ramsons.', 'ramsons, Allium ursinum.']",,2
խալխ,noun,"['people.', 'crowd, multitude (mixed crowd).', 'others, other people who are not relatives, stranger",,1
խակ,adj,"['Kurdish:.', 'unripe.', '(figuratively, of a person) unfledged, callow, young; immature, childish, ",,1
խահ,noun,"['archaic food, victuals.', '(archaic) food, victuals.']",,1
խաղ,noun,"['game, play.', '(theater, film) acting, performing.', '(dialectal) song, tune.', 'dance.', 'prank; ",,1
խաղադաշտ,noun,['playing field.'],,2
խաղաղ,adj,"['peaceful.', 'quiet.']",,1
խայտաբղետ,adj,"['variegated, motley, having many colours.', 'motley, heterogeneous, comprising greatly varied eleme",,3
խանգարել,verb,"['transitive to disrupt, hinder, get in the way, impede, prevent, interfere.', '(transitive) to disr",,2
խաշար,noun,"['pole, stick for supporting.', 'pole, stick for supporting climbing plants.']",,1
խաչ,noun,"['cross geometrical figure.', 'cross (geometrical figure).', '(Christianity) the cross.', '(figurati",,1
խառնել,verb,"['to stir, to mix.', 'to mix up, to confuse with.', 'to entangle, to intertwine.', 'to confuse.', 't",,2
խավար,adj,"['dark, darkness.', '(figuratively) ignorance.', 'dark, obscure, gloomy.', '(figuratively) ignorant.",,1
խատիֆէ,noun,"['dialectal velvet.', '(dialectal) velvet.', '(dialectal) marigold (flower of the genus Tagetes).']",,2
խարակիրի,noun,['hara-kiri.'],,2
խարբալել,verb,"['transitive, literary to sift.', '(transitive, literary) to sift.', '(transitive, literary, figurat",,2
խարզա,noun,"['yellow-throated marten.', 'yellow-throated marten (Martes flavigula).']",,1
խարխափել,verb,"[""intransitive to feel or grope about to find a thing or one's way, like a blind man."", ""(intransiti",,2
խարշել,verb,"['alternative form of խաշել.', 'alternative form of խաշել (xašel).']",,2
խափանել,verb,"['transitive to upset, to wreck, to spoil, to frustrate, to thwart, to bring to naught.', '(transiti",,2
խելագարանոց,noun,['mental hospital.'],,3
խելագարություն,noun,"['madness, insanity.']",,3
խելախոս,noun,"['jocular smartphone.', '(humorous) smartphone.']",,2
խելառ,,"['crazy, insane, mad, demented.']",,1
խեղաթյուրել,verb,"['to distort, to falsify, to misrepresent the truth.', 'to cripple, to maim, to disable.', 'to trans",,3
խեղճ,adj,"['pitiful, wretched, deserving pity.', 'poor.', '(figurative) clumsy, weak, powerless, inept.']",,1
խենթ,adj,"['<ref></ref>.', 'crazy, mad, foolish.']",,1
խերխի,noun,['a kind of larger saw for cutting logs into boards.'],,1
խթանել,verb,"['to spur.', 'to prod, to poke, to goad.', '(figuratively) to stimulate, to prompt.', '(figuratively",,2
խիթալ,verb,"['to fear, to be afraid of.', 'to doubt, to suspect, to disbelieve, to distrust.', 'to look at with ",,1
խլել,verb,"['transitive to seize, snatch, steal, take away.', '(transitive) to seize, snatch, steal, take away.",,1
խմբագրել,verb,['to edit.'],,2
խմել,verb,"['to drink.', 'to get drunk, to grow tipsy.', 'to swallow (a pill).']",,1
խնդալ,verb,['to laugh.'],,1
խնդրել,verb,"['transitive to request, to ask.', '(transitive) to request, to ask.', '(transitive) to invite.', '(",,2
խնջույք,noun,"['feast, banquet.']",,2
խոզանուկ,noun,"['foxtail.', 'bristle grass, foxtail, Setaria.']",,2
խոկ,noun,['thought.'],,1
խոհարար,noun,"['cook, chef.']",,2
խողովակ,noun,"['pipe, tube.']",,2
խոշ,adj,"['nice, pleasant, pleasing.']",,1
խոշտանգել,verb,"['transitive, formal to torture, torment.', '(transitive, formal) to torture, torment.']",,3
խոչընդոտել,verb,"['to hinder, to impede, to obstruct.']",,3
խոսել,verb,"['to speak.', 'to talk.']",,1
խոսք,noun,"['speech.', 'word.', 'talk, conversation.', 'word, promise.', '(in the plural) lyrics of a song.']",,1
խոտակեր,adj,"['herbivorous.', 'herbivore.']",,2
խորանարդ,adj,"['geometry cube.', '(geometry) cube.', '(mathematics) cubic.']",,2
խորդ,noun,"['archaic.', '(archaic) synonym of կռունկ (kṙunk).']",,1
խորթ,adj,"['unrelated, step.', 'unrelated, step-.', 'alien, foreign.', '(dialectal) orphan.', '(dialectal) cou",,1
խորխել,verb,"['to expectorate, to cough up sputum.']",,2
խորհել,verb,"['to consider, to weigh, to deliberate.', 'to think about, to contemplate, to ponder.', 'to worry.',",,2
խորհուրդ,noun,"['The is not pronounced.', 'advice, counsel, recommendation.', 'council, meeting, conference.', '(co",,2
խորհրդանշել,verb,"['to symbolize, to typify, to stand for.', 'to express, to represent, to demonstrate, to mean.']",,3
խորշակ,noun,"['In Deuteronomy, translates .', 'hot wind, parching wind.']",,2
խորշոմ,noun,"['wrinkle, furrow (of the face and body).', '(figuratively) (geology) fold.', '(figuratively) ripple",,2
խորտակել,verb,"['transitive to wreck, ruin.', '(transitive) to wreck, ruin.', '(transitive) to sink.']",,2
խուզել,verb,"['to cut, to clip hair.', 'to cut, to clip (hair).', 'to shear, to fleece (an animal).']",,2
խուլիգան,noun,['hooligan.'],,2
խուճապ,noun,['panic.'],,2
խուճուճ,adj,"['curly.', 'curly (of hair).']",,2
խուռնա,noun,['basin in a bath.'],,2
խուրդա,noun,"['small thing(s).', 'small change.']",,2
խուփ,adj,"['lid, cover of a jar, vessel, container.', 'lid, cover (of a jar, vessel, container).', 'closed, sh",,1
խռիվ,adj,"['brushwood.', '(of hair) tousled, disheveled, untidy.', 'confused, disorderly.']",,1
խռուկ,noun,"[', offers a fanciful etymology.', 'whitetop (Lepidium draba) or clasping pepperweed (Lepidium perfo",,1
խռպոտ,adj,"['of a voice hoarse, raucous.', '(of a voice) hoarse, raucous.']",,1
խրախուսել,verb,"['to encourage, to spur on, to hearten.', 'to stimulate, to commend, to incite.']",,3
խրամատ,noun,"['military trench, entrenchment.', '(military) trench, entrenchment.']",,2
խրամուլի,noun,"['khramulya.', 'khramulya (Capoeta).']",,2
խրիզոպրազ,noun,"['mineral chrysoprase (a variety of light-green translucent quartz).', '(mineralogy) chrysoprase (a ",,3
խրոխտ,adj,"[', connecting with the family of , which is from.', 'proud, pleased, satisfied (with oneself).', 'b",,1
խցանակաղնի,noun,"['cork oak.', 'cork oak (Quercus suber).']",,3
ծագ,noun,"['extremity, end, top.']",,1
ծախծխել,verb,"[""frequentative to sell out, to sell all of one's possessions quickly and cheaply."", ""(frequentative",,2
ծախծխոտել,verb,"['frequentative.', '(frequentative) synonym of ծախծխել (caxcxel).']",,3
ծախսել,verb,"['to spend.', 'to expend.', 'to waste, to squander.', 'to use, to use up.', '(figuratively) to sacri",,2
ծածանել,verb,"['transitive to wave, flap; to cause to flutter.', '(transitive) to wave, flap; to cause to flutter.",,2
ծաղարար,noun,"['rare pastry chef.', '(rare) pastry chef.']",,2
ծաղկեփունջ,noun,['bouquet of flowers.'],,3
ծամել,verb,"['to chew.', '(figuratively) to crumble.', '(figuratively) to repeat something with tiresome monoton",,1
ծայրահեղ,adj,"['extreme, utmost.']",,2
ծանրություն,noun,"['weight.', 'heaviness.', 'load, weight.', '(figuratively) difficulty.', '(figuratively) seriousness",,3
ծարավ,adj,['thirsty.'],,1
ծարավել,verb,"['intransitive to thirst, to be thirsty.', '(intransitive) to thirst, to be thirsty.']",,2
ծափահարել,verb,"['to applaud, to clap.', 'to clap (e.g., to the beat of a song or piece of music).', 'to commend, to",,3
ծեծել,verb,"['to beat; to whip, lash; to thrash.', 'to pound, to grind.', 'to forge.', 'to knock on (door).']",,1
ծես,noun,"['ritual, rite, ceremony.']",,1
ծերտ,noun,"['poop, dung, dropping of birds.', 'poop, dung, dropping (of birds).', '(Kharberd) rheum, sleep, eye",,1
ծիծաղել,verb,['to laugh.'],,2
ծին,noun,"['the act of giving birth, delivery of animals.', 'the act of giving birth, delivery (of animals).',",,1
ծխածածկույթ,noun,['smokescreen.'],,3
ծխնելույզ,noun,['chimney.'],,3
ծնոտ,noun,['jaw.'],,1
ծնունդ,noun,"['birth the act of being born.', 'birth (the act of being born).', 'delivery (the act of giving birt",,2
ծովագնաց,noun,['seafarer.'],,2
ծովախոզուկ,noun,['guinea pig.'],,3
ծունկ,noun,"['knee.', ""name for one of the khazes in Hampartsoum Limondjian's notation, indicating a note one ei",,1
ծռել,verb,"['transitive to bend, to curve.', '(transitive) to bend, to curve.']",,1
ծրագրային ապահովում,,['computing software encoded computer instructions.'],,3
ծրագրել,verb,"['transitive to plan.', '(transitive) to plan.']",,2
ծփալ,verb,"['intransitive to sway, to wave, to flutter, to undulate.', '(intransitive) to sway, to wave, to flu",,1
կազարմա,noun,"['military, colloquial barracks building for soldiers.', '(military, colloquial) barracks (building ",,2
կազմակերպված հանցավորություն,,['organized crime.'],,3
կազմություն,noun,"['structure.', 'making, formation, compositing.', '(totality of constituents) composition; structure",,3
կաթել,verb,"['intransitive to drip, to fall one drop at a time.', '(intransitive) to drip, to fall one drop at a",,1
կալանավորել,verb,"['transitive to jail, to imprison.', '(transitive) to jail, to imprison.']",,3
կախել,verb,"['transitive to hang.', '(transitive) to hang.']",,1
կակազություն,noun,"['stammering, stuttering.']",,3
կակաո,noun,"['cacao tree.', 'cacao tree (Theobroma cacao).', 'cocoa (hot drink).']",,1
կաղնի,noun,"[', recorded as kagni.', 'oak, Quercus.']",,1
կամավոր,adj,"['voluntary, free-will.', 'volunteer.']",,2
կամաց-կամաց,adv,"['little by little, slowly but surely, step by step.']",,3
կամել,verb,"['dated alternative form of կամենալ.', '(dated) alternative form of կամենալ (kamenal).']",,1
կամենալ,verb,"['to wish, to want, to desire.', 'to aspire to, to strive for (to feel a desire or need to achieve o",,2
կամք,noun,"['will.', 'wish, desire.', 'desire, drive, determination.', 'goodwill, benevolence, grace.', 'intent",,1
կայծառ,noun,['blacksmith’s tongs.'],,2
կանաչ,adj,"['green.', 'verdant.', 'green (color).', 'verdure.']",,1
կանգառ,noun,"['stop, station.']",,2
կանխատեսել,verb,"['transitive to predict, foresee.', '(transitive) to predict, foresee.']",,3
կանչել,verb,"['to call, to summon.', 'to cry out.', '(colloquial) to invite.', 'to name, to call.']",,2
կաշալոտ,noun,"['cachalot, sperm whale.', '(figuratively) glutton.']",,2
կաշկանդ,noun,"['proscribed.', '(proscribed) synonym of կաշկանդվածություն (kaškandvacutʻyun).']",,2
կապակցություն,noun,"['connectedness, coherence.', 'connection.', 'combination.']",,3
կապենք,noun,"['dated price of prostitution.', '(dated) price of prostitution.']",,2
կառափնատ,noun,['guillotine.'],,2
կառույց,noun,"['structure.', 'building.']",,2
կառուցանել,verb,"['dated alternative form of կառուցել.', '(dated) alternative form of կառուցել (kaṙucʻel).']",,3
կասկած,noun,['doubt.'],,2
կավառ,noun,"['narrow brook, canal.', 'the point on a canal, whence the water is separated and directed towards t",,1
կատաղել,verb,"['to rage, to be furious.', '(of an animal) to become rabid.']",,2
կատաստրոֆա,noun,"['obsolete catastrophe, disaster.', '(obsolete) catastrophe, disaster.']",,3
կատարել,verb,"['transitive to do, perform, execute.', '(transitive) to do, perform, execute.', '(transitive) to co",,2
կատարելագործել,verb,"['transitive to improve, to perfect.', '(transitive) to improve, to perfect.']",,3
կատեգորիա,noun,['category.'],,3
կատիոն,noun,"['physics cation.', '(physics) cation.']",,2
կարամ,verb,"['colloquial, Eastern can, to be able to.', '(colloquial, Eastern Armenian) can, to be able to.']",,1
կարգաբանել,verb,['to classify (in taxonomy or systematics).'],,3
կարիերա,noun,['career.'],,2
կարիչ,noun,['stapler.'],,1
կարծել,verb,"['to believe, think, judge, consider, suppose.']",,2
կարծիք,noun,['opinion.'],,2
կարծրատիպ,noun,"['stereotype conventional, formulaic, and oversimplified conception, opinion, or image.', 'stereotyp",,3
կարկանդակ,noun,"['formal pie.', '(formal) pie.', '(formal) pirozhki.', '(formal, Western Armenian) cake.']",,3
կարճամետրաժ,adj,"['short, short-length.', '(cinematography) short, short-length.']",,3
կարմիրիմսի,adj,['reddish.'],,3
կացնահարել,verb,"['to axe.', '(figuratively) to kill, to murder, to end.']",,3
կափարիչ,noun,"['lid, cover, cap.']",,2
կեղ,noun,"['medicine ulcer, sore.', '(medicine) ulcer, sore.', 'scab.', '(figuratively) sore, evil, pest.']",,1
կեղակարծ,adj,"['dated doubtful.', '(dated) doubtful.']",,2
կեղծել,verb,"['transitive to falsify, to fake, to forge.', '(transitive) to falsify, to fake, to forge.']",,2
կեղտոտել,verb,"['to soil, to sully, to dirty.', 'to soil, to poop (especially of a young child).', ""to besmirch, to",,2
կենսաբազմազանություն,noun,"['ecology biodiversity.', '(ecology) biodiversity.']",,3
կենսաբան,noun,['biologist.'],,2
կենսոլորտ,noun,"['ecology biosphere.', '(ecology) biosphere.']",,3
կեպկա,noun,"['soft, billed hat (usually for a male).']",,1
կեռ,adj,"['curved, crooked.', 'hook, crook.']",,1
կեռնեխ,noun,"["", rejecting Petersson's etymology and leaving the origin open."", 'thrush, Turdus (gen. et spp.).']",,2
կերոսին,noun,['kerosene.'],,2
կերցավ,noun,"['gangrene.', '(dated or Western Armenian) cancer or a cancerous growth.']",,2
կզակ,noun,"['dialectal forms recorded in dialectological notation.', 'chin.', '(dialectal, Vozm) soft palate, v",,1
կթխա,noun,"['glass, cup, especially a small glass for liquor, a рюмка.', 'glass, cup, especially a small glass ",,1
կիբեռնետիկա,noun,['cybernetics.'],,3
կիլո,noun,"['colloquial kilogram, kilo.', '(colloquial) kilogram, kilo.']",,1
կիլոգրամ,noun,['kilogram.'],,2
կիճ,noun,"['dialectal the sting of scorpions, bees, serpents, etc.', '(dialectal) the sting of scorpions, bees",,1
կիմչի,noun,['kimchi.'],,1
կիմրերեն,adj,['synonym of վալլիերեն (vallieren).'],,2
կինաբար,noun,"['cinnabar mineral.', 'cinnabar (mineral).']",,2
կինամոն,noun,"['cinnamon spice.', 'cinnamon (spice).']",,2
կինճ,noun,"['wild boar, <ref></ref>.', 'wild boar, Sus scrofa.']",,1
կինոթատրոն,noun,"['cinema, movie theatre.']",,3
կինոնկար,noun,['motion picture.'],,2
կինոռեժիսոր,noun,['film director.'],,3
կինոֆիլմ,noun,"['motion picture, film, movie.']",,2
կիսակայարան,noun,"['rail transport halt.', '(rail transport) halt.']",,3
կիսապաշտպան,noun,"['football midfielder.', '(soccer) midfielder.']",,3
կիսապաշտպանություն,noun,"['soccer the midfield the collective group of midfielders.', '(soccer) the midfield (the collective ",,3
կիսաֆաբրիկատ,noun,"['semi-finished product.', 'convenience food.']",,3
կիսել,verb,"['to halve, to divide.', 'to share, to split (with somebody).']",,1
կիվի,noun,['kiwi fruit.'],,1
կիրառել,verb,"['to apply, to employ, to use.', 'to impose, to give (e.g., a fine or sentence).']",,2
կլայեկ,noun,"['tin.', 'tinning (a covering or lining of tin).']",,2
կլարնետ,noun,"['musical instruments clarinet.', '(music) clarinet.']",,2
կլիր,noun,"['dialectal forms recorded in dialectological notation.', '(vulgar, taboo) dick, cock, penis.']",,1
կլուբնիկ,noun,['strawberry.'],,2
կծել,verb,"['to bite.', 'to bite off.', 'to tingle, to prick.', 'to sting.']",,1
կղկղանք,noun,"['formal excrements, faeces.', '(formal) excrements, faeces.']",,2
կնգմենի,noun,['ermine fur.'],,2
կնձնի,noun,"['elm (any tree of the genus ).', 'elm (any tree of the genus Ulmus).']",,1
կնքել,verb,"['to seal, to affix a seal.', 'to seal up, to close.', 'to conclude, to confirm.', 'to conclude, to ",,1
կոալիցիա,noun,['coalition.'],,2
կոլա,noun,"['informal Coca-Cola.', '(informal) Coca-Cola.', '(rare) cola (any cola-based soft drink).']",,1
կոլաժ,noun,['collage.'],,1
կոխել,verb,"['to trample, to tread.', '(colloquial) to plunge, to shove into, to insert.', '(slang, vulgar) to f",,1
կոկորդիլոս,noun,['crocodile.'],,3
կոճղ,noun,"['tree stump, stub.', 'block, log, large piece of wood.', 'stocks (punishment device).']",,1
կոմիտե,noun,"['committee, commission.']",,2
կոմկուս,noun,['Communist party.'],,2
կոմկուսակցություն,noun,"['dated Communist party.', '(dated) Communist party.']",,3
կոմոդ,noun,"['chest of drawers, bureau, dresser, commode.']",,1
կոմունիստ,noun,['communist.'],,3
կոմպարտիա,noun,"['dated Communist party.', '(dated) Communist party.']",,3
կոնյակ,noun,"['brandy, cognac.']",,2
կոնտեյներ,noun,"['container a very large, typically metal, box used for transporting goods.', 'container (a very lar",,3
կոնֆերենցիա,noun,"['obsolete conference.', '(obsolete) conference.']",,3
կոնֆիդենցիալ,,['confidential.'],,3
կոնֆլիկտ,noun,['conflict.'],,2
կոշիկ,noun,['shoe.'],,1
կոշկոճել,verb,"['archaic, poetic to torment, to harass, to vex.', '(archaic, poetic) to torment, to harass, to vex.",,2
կոչում,noun,"['rank, title, status, degree.', 'vocation, calling; mission.', 'destination, purpose, predestinatio",,2
կոռեկտ,adj,"['polite, courteous, proper, correct.']",,2
կոռուպցիա,noun,"['corruption, corrupt practices.']",,3
կոսմոպոլիտ,noun,"['cosmopolite, cosmopolitan.']",,3
կոսմոպոլիտիզմ,noun,['cosmopolitanism.'],,3
կոստյում,noun,"['suit (formal wear, usually jacket and pants or jacket and skirt).', 'costume (dress in the perform",,2
կով,noun,['cow.'],,1
կոտեմ,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'peppergrass, pepperwort, Lepid",,1
կոտոր,adj,"['rare morsel, piece, fragment.', '(rare) morsel, piece, fragment.', 'broken.']",,1
կոտորել,verb,"['to slaughter, to massacre.']",,2
կորնչել,verb,"['archaic alternative form of կորչել.', '(archaic) alternative form of կորչել (korčʻel).']",,2
կորուսանել,verb,['to lose.'],,3
կորպուս,noun,"['corps.', 'building.']",,2
կուլտուրա,noun,['culture.'],,3
կուխնի,noun,['kitchen.'],,2
կուսաչկա,noun,"['(cutting) pliers, nippers, wire cutter.', 'nail clipper.']",,2
կուրտկա,noun,['jacket.'],,2
կռիշ,noun,"['roof.', '(slang) protection; someone who provides protection in a protection racket.']",,1
կռիս,noun,"['rat.', '(figuratively, derogatory) mean, base, roguish person, scoundrel.']",,1
կռուփ,noun,['fist.'],,1
կտակել,verb,"['to bequeath, to leave by will.']",,2
կտղել,verb,"['of animals to rut, to be in heat to burn with sexual desire.', '(of animals) to rut, to be in heat",,1
կտուց,noun,"[', tentatively compares to and suspects a borrowing; for this word see.', 'beak, bill.']",,1
կտտանք,noun,['torture.'],,2
կրակել,verb,"['to shoot, to fire.']",,2
կրակմարիչ,noun,['fire extinguisher.'],,3
կրել,verb,"['to carry; to transport; to bear (to carry or have within oneself).', '(figuratively) to take on, t",,1
կրեսլո,noun,['armchair.'],,2
կրիկետ,noun,['cricket.'],,2
կրծքանշան,noun,['badge.'],,3
կրկնակ,adj,"['duplicate an identical copy.', 'duplicate (an identical copy).', 'lookalike, doppelganger.', '(lin",,2
կրկնակզակ,noun,['double chin.'],,3
կցել,verb,"['to join, to unite.', 'to attach; to annex; to enclose.']",,1
հագնել,verb,"['to put on clothes or shoes.', 'to wear clothes or shoes.', '(slang) to quarrel, fight.']",,2
հազել,verb,"['transitive, literary to immolate, offer up, sacrifice to idols.', '(transitive, literary) to immol",,1
հալալ,adj,"['honest, righteous, just.', 'directly related by blood, own.', 'exactly, precisely.']",,1
հալած պանիր,,['processed cheese.'],,3
հալածել,verb,"['to pursue, to chase, to run after.', 'to chase away, to drive away.', 'to persecute, to harass, to",,2
հալավ,noun,"['garment.', 'undergarment, tunic.', 'wedding dress.', 'the clothes brought by the bride as a dowry.",,1
հալվե,noun,"['aloe plant.', 'aloe (plant).', 'aloeswood, agarwood, agalloch.']",,1
հակահարձակում,noun,['counter-attack.'],,3
հակառակ,adj,"['opposite, contrary.', 'against.']",,2
հակառեյտինգ,noun,"['sociology disapproval rating.', '(sociology) disapproval rating.']",,3
հակաօդային,adj,['anti-aircraft.'],,3
հակինթ,noun,"['ruby, sapphire.', 'hyacinth (flower).']",,2
հակիրճ,adj,"['concise, brief, short, summarized.', 'concisely, briefly, shortly.']",,2
հաղագս,prep,"['for, for the sake of.', 'because of.', 'about.']",,2
հաղթ,adj,"['strong; powerful, mighty.', 'victorious.', '(proscribed) victory.']",,1
հաճո,adj,"['archaic pleasant, pleasing (to), agreeable.', '(archaic) pleasant, pleasing (to), agreeable.']",,1
համալրել,verb,"['transitive to fill, replenish.', '(transitive) to fill, replenish.']",,2
համակարգել,verb,"['to systematize.', 'to coordinate.']",,3
համակարգիչ,noun,['computer.'],,3
համաձայն,adj,"['in agreement with, concordant with.', 'in agreement (with), concordant (with).', 'according to; in",,2
համապատասխան,adj,"['appropriate, proper.', 'corresponding.']",,3
համապատասխանել,verb,"['to correspond.', 'to match, fit.']",,3
համասեռամոլություն,noun,['homosexuality.'],,3
համատեղ,adj,"['joint, shared done by two or more people or organisations working together.', 'joint, shared (done",,2
համացանց,noun,"['somewhat, formal Internet.', '(somewhat formal) Internet.']",,2
համբավ,noun,"['reputation, repute, name, fame.', 'news, information.']",,2
համբույր,noun,"['somewhat, formal kiss.', '(somewhat formal) kiss.']",,2
համեմատ,adj,"['corresponding to or befitting one another.', 'identical, equal; similar.', 'according to.']",,2
համեմատություն,noun,['comparison.'],,3
համեստ,adj,"['modest; humble.', 'modest, not big; frugal.', 'modest, unassuming, unpretentious.']",,2
համեստություն,noun,['modesty.'],,3
համըմբռնում,noun,"['figure of speech synecdoche.', '(rhetoric) synecdoche.']",,3
համոզել,verb,"['transitive to convince, to persuade.', '(transitive) to convince, to persuade.']",,2
համր,adj,"['dumb, speechless, mute.', 'silent, without sound.', 'dumb, speechless, mute person.']",,1
համրել,verb,"['chiefly, Western Armenian to count, to enumerate.', '(chiefly Western Armenian) to count, to enume",,2
համք,noun,"['rare sexual organ.', '(rare) sexual organ.']",,1
հայելի,noun,"['mirror, looking glass.']",,2
հայթայթել,verb,"['to procure, to get, to obtain.']",,3
հայորդի,noun,"['poetic Armenian, son of an Armenian.', '(poetic) Armenian, son of an Armenian.']",,2
հայտարարել,verb,"['to announce, to declare.']",,3
հայտարարություն,noun,"['declaration, announcement.']",,3
հայտէ,intj,"[""dialectal come on!, let's go! (urging to move or act)."", ""(dialectal) come on!, let's go! (urging ",,1
հայրատ,adj,"['archaic impudent, immodest, wanton, unchaste, lecherous, lascivious, lustful, lewd, obscene.', '(a",,2
հայրեն,noun,['poetry An Armenian kind of poem consisting of quatrains in which each line has fifteen syllables a,,2
հանգույց,noun,"['knot.', 'knot (on a rope, thread, etc.).', 'junction.', '(linguistics) copula.']",,2
հանգստապատառ,noun,['Turkish delight.'],,3
հանդուրժել,verb,"['transitive to tolerate.', '(transitive) to tolerate.']",,3
հանել,verb,"['to pull out, to extract.', 'to take off a cloth.', 'to remove, to displace.', 'to withdraw.', '(ar",,1
հանձնել,verb,"['transitive to pass over, to give, to transfer; to commit.', '(transitive) to pass over, to give, t",,2
հանում,noun,"['subtraction, withdrawal, drawing out.', '(arithmetic) subtraction.']",,2
հանրախանութ,noun,['department store.'],,3
հանրակացարան,noun,"['hostel , dormitory.', 'hostel (UK), dormitory (US).']",,3
հաշիվ,noun,"['reckoning; computation; calculation; enumeration; account.', '(accounting) account (a registry of ",,1
հաշմանդամ,adj,"['disabled, crippled.', 'disabled person, invalid.']",,3
հաշմել,verb,"['transitive to maim.', '(transitive) to maim.']",,2
հաշվարկ,noun,"['count, reckoning.']",,2
հաշտություն,noun,"['a state of peacefulness or harmony and absence of discord; concord.', 'return to a state of peace ",,3
հաչել,verb,"['of a dog to bark.', '(of a dog) to bark.']",,1
հապաղել,verb,"['intransitive to be late, to fall behind, to slow down.', '(intransitive) to be late, to fall behin",,2
հասմիկ,noun,"['jasmine flower.', 'jasmine (flower).']",,2
հասնել,verb,"['to reach.', 'to attain, to achieve.', 'to ripen, to mature.']",,2
հասուն,adj,['mature; adult; ripe.'],,2
հաստատում,noun,"['confirmation, affirmation.', 'assertion.']",,3
հաստատուն,adj,"['certain, sure, definite.', 'unchanging, stable.']",,3
հասցեական,adj,"['selective, targeted.']",,3
հավա,noun,['weather.'],,1
հավալուսն,noun,['pelican.'],,3
հավասարապես,adv,"['equally, evenly.']",,3
հավատարմագրել,verb,"['diplomacy to accredit.', '(diplomacy) to accredit.']",,3
հավաք,adj,"['gathering, assembly.', 'gathered, assembled.', '(figuratively) precise, accurate, self-disciplined",,1
հավաքել,verb,"['to gather, to collect.', 'to clean.']",,2
հավելում,noun,['addition.'],,2
հավետ,adj,"['constantly, perpetually, forever.', 'always, constant, perpetual.']",,1
հավերժ,adj,"['perpetual, eternal, undying.', 'perpetually, eternally.']",,2
հավերժություն,noun,['eternity.'],,3
հավուր պատշաճի,,"['appropriate for the current circumstances, meeting the needs of the day.']",,3
հատ,noun,"['piece.', 'grain, seed.']",,1
հատիկ,noun,"['grain.', 'granule.']",,1
հատկապես,adv,['especially.'],,2
հատոր,noun,"['volume, tome of a series of books, periodicals.', 'volume, tome (of a series of books, periodicals",,1
հատուկ,adj,['special.'],,2
հատուկենտ,adj,"['few, scarce, sporadic.']",,3
հարակարծություն,noun,"['dated paradox.', '(dated) paradox.']",,3
հարամ,adj,"['religion profane, forbidden (according to religious precepts).', '(religion) profane, forbidden (a",,1
հարավ,noun,['south.'],,1
հարբենալ,verb,"['alternative form of հարբել.', 'alternative form of հարբել (harbel).']",,2
հարգել,verb,"['to respect, to esteem, to honour.', 'to hold in respect.', 'to pay homage.']",,2
հարդարել,verb,"['transitive to put in order, to fix up; to style; to trim.', '(transitive) to put in order, to fix ",,2
հարթ,adj,"['smooth, even.', 'flat.', 'sleek.', '(rare) lowland, plain.']",,1
հարթուկել,verb,"['to press, to iron, to pass an iron over.']",,3
հարիւր,noun,"['hundred.', 'traditional orthography spelling of հարյուր (haryur).']",,2
հարկադրել,verb,"['transitive to oblige, to force, to compel.', '(transitive) to oblige, to force, to compel.']",,3
