Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6	POS_7	Definition_7	POS_8	Definition_8	POS_9	Definition_9	POS_10	Definition_10	POS_11	Definition_11	POS_12	Definition_12	POS_13	Definition_13	POS_14	Definition_14	POS_15	Definition_15	POS_16	Definition_16
ԲՂԽԵՑՈՒՑԱՆԵՄ			cf. ԲՂԽԵՄ																														
ԲՂՋԱԽՈՀ			Ցանկասէր		Չարախորհ; չարամիտ																												
ԲՄԲԻՒՆ			cf. ԲՈՄԲԻՒՆ																														
ԲՆԱԲԱՆ			Ղիր																														
ԲՆԱԲԱՆԱԿԱՆ			Բնախօս																														
ԲՆԱԲԱՆԱԿԱՆՆ			cf. ԲՆԱԲԱՆՈՒԹԻՒՆ																														
ԲՆԱԲԱՆԵՄ			cf. ԲՆԱԽՕՍԵՄ																														
ԲՆԱԲԱՆՈՒԹԻՒՆ			Բնախօսութիւն																														
ԲՆԱԲԱՐ			Ի բնէ; բնականաբար; բնաւորապէս; բնաւորական; բնական; բուն; հարազատ; ընդաբոյս; սովորական																														
ԲՆԱԲԱՐՁ			cf. ԲՆԱՋԻՆՋ																														
ԲՆԱԲՆԱԿ			Հայրենի; բնիկ; բուն; սեպհական																														
ԲՆԱԲՈՒՆ			Բնածին; ընդաբոյս																														
ԲՆԱԳԱՒԱՌ			Հայրենիք																														
ԲՆԱԴԻՐ			cf. ԲԱՆԱԿ																														
ԲՆԱԽՕՍ			Բարոյախօս; փիւսկեան		ճշմարտախօս																												
ԲՆԱԽՕՍԵՄ			Բարոյախօսեմ		ճշմարտախօսեմ; ճշգրտաբանեմ																												
ԲՆԱԽՕՍՈՒԹԻՒՆ			Բարեգիտութիւն; բնաբանութիւն; քննախօսութիւն																														
ԲՆԱԾԻՆ			Բարոյածին; բնական; բնակակիր; ընդաբոյս																														
ԲՆԱԿ			Բուն; Հարազատ; իսկական		Տեւական; մնացական		Բնիկ		Բնակարան; յարկ																								
ԲՆԱԿԱԿԻՐ			ԲՆԱԾԻՆ																														
ԲՆԱԿԱԿԻՑ			Համաբնակ; Համաբնակից; յարկակից; կենակից		Բնակից; ազգակից; Համաբուն; տնկակից; ընդաբոյս; նման																												
ԲՆԱԿԱՆ			Բնաւորական; բնութիւնական; բնածին		Բնիկ; բնաւոր; իւրական; սեպհական; Հարազատ		Բնախօս																										
ԲՆԱԿԱՆԱԲԱՐ			Բնականապէս; բնաւորապէս; ի բնէ		Ի դէպ; յարմարապէս		Ընտանեբար																										
ԲՆԱԿԱՆԱՄ			Բնակեմ		Ընտանենամ; բնաւորեմ																												
ԲՆԱԿԱՆԱՊԷՍ			cf. ԲՆԱԿԱՆԱԲԱՐ																														
ԲՆԱԿԱՆՈՒԹԻՒՆ			Ազգականութիւն; ազգակցութիւն																														
ԲՆԱԿԱՍՆՈՒՆԴ			Անուցող																														
ԲՆԱԿԱՐԱՆ			Բնակետղ; բնակութիւն; օթարան		Ընդունարան																												
ԲՆԱԿԱՐԾԻՔ			Կանխակալութիւն; կանխամուտ սովորութիւն																														
ԲՆԱԿԱՒՈՐ			Մնացական		Բնիկ; բնական																												
ԲՆԱԿԱՓՈԽՈՒԹԻՒՆ			Տեղափոխութիւն; վտարանդութիւն; պանդխտութիւն; գաղթականութիւն																														
ԲՆԱԿԵՄ			Բնականամ; բունեմ; որջանամ; տաղաւարեմ; դադարեմ; զետեղիմ; հանգչիմ; օթեւանեմ; կալ մնալ																														
ԲՆԱԿԵՏՂ			cf. ԲՆԱԿԱՐԱՆ																														
ԲՆԱԿԵՑՈՒՑԻՉ			Բնակեցուցող; Հիմնադիր																														
ԲՆԱԿԵՑՈՒՑՈՂ			cf. ԲՆԱԿԵՑՈՒՑԻՉ																														
ԲՆԱԿԷՏ			ԱՒԱՐՏԱԿԷՏ																														
ԲՆԱԿԻՉ			Բնակ		cf. ԲՆԱԿԵՑՈՒՑԻՉ																												
ԲՆԱԿԻՑ			Ընդակից; ընդաբոյս; բնաւոր; Համաբնակ; տնկակից		Բնութենակից; Համաբնակից; էակից; Համագոյակից																												
ԲՆԱԿՈՒԹԻՒՆ			Բնակետղ; բնակարան																														
ԲՆԱԿՑԱԲԱՐ			Բնականաբար; բնաւորապէս		Ազգակցապէս		Ի դէպ; յարմարապէս																										
ԲՆԱԿՑԱՊԷՍ			cf. ԲՆԱԿՑԱԲԱՐ																														
ԲՆԱԿՑԻՄ			Բնաւորիմ; ընտանենամ																														
ԲՆԱԿՑՈՒԹԻՒՆ			Բնութիւնակցութիւն; Համագոյութիւն; միասնականութիւն		Ազգակցութիւն; ընտանութիւն																												
ԲՆԱՆԱՄ			cf. ԲՆԱՒՈՐԻՄ																														
ԲՆԱՇԽԱՐՀ			Հայրենիք																														
ԲՆԱՇԽԱՐՀԻԿ			Հայրենի; Հայրենական																														
ԲՆԱՋԻՆՋ			Բնաբարձ																														
ԲՆԱՒ			Բոլոր; ամէն; բովանդակ; ամենայն; համայն; Հանուր; Համօրէն		Բոլորովին; ամենեւին; ամենեւիմբ; բնաւիմբ; ամենայնիւ; իսպառ; գլխովին		Ապաքէն; արդեօք; իսկ; միթէ; իւիք; անգամ																										
ԲՆԱՒԱՊԷՍ			cf. ԲՆԱՒ																														
ԲՆԱՒԻՄԲ			cf. ԲՆԱՒ																														
ԲՆԱՒԻՆ			cf. ԲՆԱՒ																														
ԲՆԱՒՈՐ			Բնական; բնիկ; րնդարոյս; սեպհական; տնկակից																														
ԲՆԱՒՈՐԱԲԱՐ			cf. ԲՆԱՒՈՐԱՊԷՍ																														
ԲՆԱՒՈՐԱԿԱՆ			cf. ԲՆԱԿԱՆ																														
ԲՆԱՒՈՐԱԿԱՆԱՊԷՍ			cf. ԲՆԱՒՈՐԱՊԷՍ																														
ԲՆԱՒՈՐԱԿԻՑ			cf. ԲՆԱԿԻՑ																														
ԲՆԱՒՈՐԱՊԷՍ			Բնաւորարար; բնականաբար; էապէս; իսկապէս		Յարմարապէս; ի դէպ																												
ԲՆԱՒՈՐԵՄ			Բնաւորեցուցանեմ; բուսուցանեմ; արմատացուցանեմ; պտղաբերեմ; արտադրեմ																														
ԲՆԱՒՈՐԻՄ			Բուսանիմ; ծնանիմ; գոյանամ; Հնարիմ; Հաստիմ; եղանիմ; ծագիմ; գտանիմ																														
ԲՆԱՒՈՐԵՑՈՒՑԱՆԵՄ			cf. ԲՆԱՒՈՐԵՄ																														
ԲՆԴԵՌՆ			Բնդիռն; փնդեռն; կոյադնդիռ																														
ԲՆԴԻՌՆ			cf. ԲՆԴԵՌՆ																														
ԲՆԻ			Բնիկ; բուն; հարազատ; նոյն ինքն																														
ԲՆԻկ			Բնի; բուն; բնաւոր; Հարազատ; սեպհական; Հայրենի; վաղեմի		Նահապետ; ցեղապետ																												
ԲՆԻՈՆ			cf. ԼՈՒՄԱՅ																														
ԲՆՈՒԹԵՆԱԿԻՑ			cf. ԲՆԻՒԹԻՒՆԱԿԻՑ																														
ԲՆՈՒԹԻՒՆ			էութիւն; գոյացութիւն; իսկութիւն		էակ; արարած; գոյակ		Տարր		Բարք; սովորութիւն		դիտաւորութիւն; նպատակ		Ենթակայութիւն; ինքնութիւն; անձնաւորութիւն; անձն; դէմ		Ամօթոյք																		
ԲՆՈՒԹԻՒՆԱԲԱՐ			cf. ԲՆՈՒԹԵԱՄԲ																														
ԲՆՈՒԹԻՒՆԱԿԱՆ			cf. ԲՆԱԿԱՆ																														
ԲՆՈՒԹԻՒՆԱԿԻՑ			Բնութենակից; Համաբնակից; Համագոյ; Համագոյակից; էակից																														
ԲՆՈՒԹԻՒՆԱԿՑՈՒԹԻՒՆ			cf. ՀԱՄԱԳՈՅՈՒԹԻՒՆ																														
ԲՆՈՒՍՏ			Ի բնէ; բնութեամբ; անդստին; ինքնին																														
ԲՆՉԵՄ			cf. ԲԱՌԱՉԵՄ																														
ԲՈԲՈՂՈՆ			cf. ԳՈՄԷՇ																														
ԲՈԶ			Պոռնիկ; վարձկան; վարձակ																														
ԲՈԶԱԲԱՐ			Պոռնկապէս																														
ԲՈԶԱԲՈՅԾ			Բոզահոմանի; բոզանոց; սեղեխ																														
ԲՈԶԱՀՈՄԱՆԻ			cf. ԲՈԶԱԲՈՅԾ																														
ԲՈԶԱՆՈՑ			Պոռնկանոց; պոռնկատուն		cf. ԲՈԶԱԲՈՅԾ																												
ԲՈԶՈՐԴԻ			Պոռնկորդի																														
ԲՈԶՈՒԹԻՒՆ			Պոռնկութիւն																														
ԲՈԼՈՐ			Ամբողջ; բովանդակ; Համօրէն; Հանուր; Համակ; ամենայն		Բոլորակ; բոլորշի; գնդաձեւ		Ամէն		Շրջան		Բեւեռ		Կոկոն																				
ԲՈԼՈՐԱԲՈՒԽ			Յորդաբուղխ; առատաբուղխ; բազմապտուղ																														
ԲՈԼՈՐԱԳՈՅՆ			Միագոյն																														
ԲՈԼՈՐԱԳՈՒԼ			Բոլորաձեւ																														
ԲՈԼՈՐԱԼՈՅՍ			cf. ԲՈԼՈՐԱՓԱՅԼ																														
ԲՈԼՈՐԱԾԻՐ			Ծիր; շրջանակ																														
ԲՈԼՈՐԱԿ			Բոլորաձեւ; բոլորշի; գնդաձեւ		Բոլոր; ամբողջ; ողջ		Գունդ; շրջանակ		Շրջան																								
ԲՈԼՈՐԱԿԱԲԱՐ			Շուրջանակի; շուրջանակաւ; բոլորակապէս																														
ԲՈԼՈՐԱԿԱԾԻՐ			Բոլորաձեւ; բոլորշի																														
ԲՈԼՈՐԱԿԱՄ			Միակամ; Համակամ																														
ԲՈԼՈՐԱԿԱՆԱԳՈՅՆ			Ընդհանրականագոյն																														
ԲՈԼՈՐԱԿԱՊԷՍ			cf. ԲՈԼՈՐԱԿԱԲԱՐ																														
ԲՈԼՈՐԱԿԱՏԱՐ			Անթերի; ողջ; ամբողջ; բոլոր; բովանդակ		Բոլորովին; ամենայնիւ; ամբողջապէս																												
ԲՈԼՈՐԱԿԱՏԵՍԱԿՈՒԹԻՒՆ			Բոլորակութիւն																														
ԲՈԼՈՐԱԿԵՐՊ			Ամենատեսակ; Համօրէն																														
ԲՈԼՈՐԱԿԵՐՏ			Բոլորաշէն		Համօրէն																												
ԲՈԼՈՐԱԿԵՐՏԵՄ			Ստեղծանեմ; յօրինեմ																														
ԲՈԼՈՐԱԿԻ			Շուրջանակի																														
ԲՈԼՈՐԱԿՈՒԹԻՒՆ			Շրջարկութիւն		Բոլորութիւն; բոլորումն; շրջան																												
ԲՈԼՈՐԱԿՑՈՒԹԻՒՆ			Բոլորումն; լրումն; բովանդակութիւն																														
ԲՈԼՈՐԱՀԵՇՏ			cf. ԱՄԵՆԱՀԵՇՏ																														
ԲՈԼՈՐԱՀՈՎԻՏ			Համատարած																														
ԲՈԼՈՐԱՁԵՒ			Բոլորշի; բոլորատես; բոլորատեսակ																														
ԲՈԼՈՐԱՁՈՅԼ			Միաձոյլ; բոլորաձեւ																														
ԲՈԼՈԲԱՄԱՍՆ			Կատարեալ; բոլորակատար																														
ԲՈԼՈՐԱՄԻՏ			Ողջամիտ; կատարեալ																														
ԲՈԼՈՐԱՅԱՐՄԱՐ			cf. ԱՄԵՆԱՅԱՐՄԱՐ																														
ԲՈԼՈՐԱՇԷՆ			cf. ԲՈԼՈՐԱԿԵՐՏ																														
ԲՈԼՈՐԱՊԷՍ			Բոլորովին; բովանդակապէս; ամբողջապէս		Ընդհանրականապէս		Բոլորակապէս		Շուրջանակաւ																								
ԲՈԼՈՐԱՊՏՈՒՂ			Ողջակէզ																														
ԲՈԼՈՐԱՍԵՐ			Անխառն; անարատ																														
ԲՈԼՈՐԱՎԻՃԱԿ			cf. ԲՈԼՈՐԱԿԱՏԱՐ																														
ԲՈԼՈՐԱՏԵՍ			cf. ԲՈԼՈՐԱՁԵՒ																														
ԲՈԼՈՐԱՏԵՍԱԿ			cf. ԲՈԼՈՐԱՁԵՒ																														
ԲՈԼՈՐԱՒԷՏ			Համայն; բովանդակ; լիուլի; անթերի; բոլորամասն																														
ԲՈԼՈՐԱՓԱՅԼ			Բոլորալոյս; ամենապայծառ; մշտափայլ; մշտապայծառ																														
ԲՈԼՈՐԵԱԿ			Տիեզերք																														
ԲՈԼՈՐԵՄ			Հիւսեմ		"<a href=""./?s=Շուրջ"">Շուրջ պատել</a>"		Հաւաքեմ; խմբեմ; ամփոփեմ; բովանդակեմ		"<a href=""./?s=Շրջան"">Շրջան առնուլ</a>"																								
ԲՈԼՈՐԵՔԵԱՆ			Ամենեքեան; ամենեքին																														
ԲՈԼՈՐԵՔԻՆ			Ամենեքեան; ամենեքին																														
ԲՈԼՈՐԻՄԲ			cf. ԲՈԼՈՐՈՎԻՄԲ																														
ԲՈԼՈՐՇԻ			Բոլորաձեւ; բոլորակ																														
ԲՈԼՈՐՈՎԻՄԲ			Ամենայնիւ; ամենեւիմբ; ամենեւին; ամբողջապէս; բովանդակապէս; բնաւ; բնաւիմբ; պարունակաբար; գլխովին; գլխովիմբ; իսպառ		Համօրէն; բոլոր; ամբողջ; ամենայն; բովանդակ																												
ԲՈԼՈՐՈՎԻՆ			Ամենայնիւ; ամենեւիմբ; ամենեւին; ամբողջապէս; բովանդակապէս; բնաւ; բնաւիմբ; պարունակաբար; գլխովին; գլխովիմբ; իսպառ		Ամենայնիւ; բոլորապէս; բովանդակապէս; իսպառ		Համօրէն; բոլոր; ամբողջ; ամենայն; բովանդակ																										
ԲՈԼՈՐՈՒԹԻՒՆ			Բովանդակութիւն; լրութիւն		Բոլորակութիւն; բոլորումն; շրջան																												
ԲՈԼՈՐՈՒՄՆ			Շրշան; դարձուած; շրջադարձ		Բոլորութիւն; բովանդակութիւն; լրութիւն																												
ԲՈԿ			Բոկոտն; մերկոտն; բոկանի; բոկ եւ հետի																														
ԲՈԿԱՆԻ			cf. ԲՈԿ																														
ԲՈԿՈՏՆ			cf. ԲՈԿ																														
ԲՈՀՄՈՒՆՔ			Սպառնալիք; երկիւղ; սոսկումն; ահ																														
ԲՈՂԲՈՋ			Ընձիւղ; Տիղ; բուղխ; պտուկ; կոկոն		Ծնունդ; զարմ; սերունդ; շառաւիղ																												
ԲՈՂԲՈՋԱԶԱՐԴ			Բողբոջախիտ																														
ԲՈՂԲՈՋԱԽԻՏ			cf. ԲՈՂԲՈՋԱԶԱՐԴ																														
ԲՈՂԲՈՋԱՆԱՄ			cf. ԲՈՂԲՈՋԵՄ																														
ԲՈՂԲՈՋԵՄ			Բողբոջանամ; պտկեմ; շաքլեմ; ցցուեմ		Ծաղկեմ; փթթեմ		Զուարճանամ																										
ԲՈՂԿՈՒԿ			Եղջիւր																														
ԲՈՂՈՆ			cf. ԱՂԱԲՈՂՈՆ																														
ԲՈՂՈՔ			Գանգատ; բողոքումն; դատախազութիւն																														
ԲՈՂՈՔԵՄ			"Գանգատեմ; դատախազեմ; <a href=""./?s=Դատախազ"">Դատախազ լինել</a>"																														
ԲՈՂՈՔԻՉ			Դատախազ																														
ԲՈՂՈՔՈՒՄՆ			Բողոք																														
ԲՈՂՋԱԽՈՀՈՒԹԻՒՆ			Չարախոհութիւն																														
ԲՈՄԲԻՒԼՈՍ			cf. ՇԵՐԱՍ																														
ԲՈՄԲԻՒՆ			Թնդիւն; դղրդիւն; դղորդ		Հնչիւն; ձայն																												
ԲՈՅԹ			cf. ԲՈՅԹՆ																														
ԲՈՅԹՆ			Բոյթ																														
ԲՈՅԺ			Բուժումն; բուժանք; դեղ																														
ԲՈՅԼ			Հոյլք; խումբ; ժողով; երամ; ջոկ; գունդ																														
ԲՈՅՆ			Դադարք		որջ; բայոց		Խրճիթ		Խորշ; ծակ																								
ԲՈՅՍ			Տունկ		Սերունդ; զարմ																												
ԲՈՆՈՍՈՍ			Ցուլ																														
ԲՈՇԽՆԵՄ			cf. ԸՄԲՈՇԽՆԵՄ																														
ԲՈՌ			Իշամեղու; բրէտ; անգործ մեղու																														
ԲՈՍՈՐ			Արիւնագոյն; ծիրանի; ծիրանագոյն; կարմրագոյն; շառագոյն																														
ԲՈՍՈՐԱԲՈՒՂԽ			Արիւնաբուղխ																														
ԲՈՍՈՐԱՅԻՆ			Բոսորերանգեան; կարմրագոյն; արիւնագոյն																														
ԲՈՍՈՐԵՐԱՆԳԿԱՆ			cf. ԲՈՍՈՐԱՅԻՆ																														
ԲՈՎ			Հնոց; Հալոց; քուրայ		cf. ԲՈՒՐՈՒԱՌ		Հալումն; զտումն; ձուլումն		Փորձ; քննութիւն		Բովք; մետաղք																						
ԲՈՎԱԿԱՆ			cf. ԲԱՒԱԿԱՆ																														
ԲՈՎԱԿԱՆՈՒԹԻՒՆ			cf. ԲԱՒԱԿԱՆՈՒԹԻՒՆ																														
ԲՈՎԱՆԴԱԿ			Բոլոր; ողջոյն; ամբողջ; համայն; կատարեալ; Համօրէն		Բաւական; Հերիք; բազում; շատ		Կարող; Հասու		Բովանդակաբար; բովանդակապէս; ամբողջապէս; կատարելապէս; բոլորովին; ամենեւին; բնաւին; լիով; իսպառ; առ Հասարակ																								
ԲՈՎԱՆԴԱԿԱԲԱՐ			cf. ԲՈՎԱՆԴԱԿ																														
ԲՈՎԱՆԴԱԿԱՆԱՄ			Բաւականանամ; Հերիքանամ																														
ԲՈՎԱՆԴԱԿԱՊԷՍ			cf. ԲՈՎԱՆԴԱԿ																														
ԲՈՎԱՆԴԱԿԵՄ			Ամփոփեմ; պարփակեմ; պարագրեմ; պարունակեմ		Հաւաքեմ; ժողովեմ; գումարեմ; Համախմբեմ		"<a href=""./?s=Գլուխ"">Ի գլուխ հանել</a>; գլխաւորեմ; յանգեմ; կատարեմ; աւարտեմ"		Բաւականանամ; բաւեմ; զօրեմ																								
ԲՈՎԱՆԴԱԿԻՉ			Պարառու																														
ԲՈՎԱՆԴԱԿՈՒԱԾ			Բովանդակումն; լրումն; աւարտ; վերջ																														
ԲՈՎԱՆԴԱԿՈՒԹԻՒՆ			Պարփակումն; պարագրութիւն; պարունականութիւն		Կատարելութիւն; ամբողութիւն; լրութիւն		Սահման; ծայր; աւարտ; վերջ																										
ԲՈՎԱՆԴԱԿՈՒՄՆ			Լրումն; կատարումն																														
ԲՈՎԵՄ			"Բաւեմ; <a href=""./?s=Ձեռնհաս"">ձեռնհաս լինել</a>"		Հանդուրժեմ; տոկամ; Համբերեմ; տանիմ																												
ԲՈՏՈՏ			Որդն; ճճի; ուտիճ; ցեց																														
ԲՈՏՈՏԱԿԵՐ			Բոտոտակերեալ; որդնահար; ճճեկեր; ուտճահալ																														
ԲՈՏՈՏԱԿԵՐԵԱԼ			cf. ԲՈՏՈՏԱԿԵՐ																														
ԲՈՐԱԿ			Մաքրական տեսակ																														
ԲՈՐԲՈՐԻՏ			Բորբորիտոն; վաւաշ; վաւաշոտ; ցանկասէր; անառակ; պիղծ																														
ԲՈՐԲՈՐԻՏՈՆ			cf. ԲՈՐԲՈՐԻՏ																														
ԲՈՐԲՈՔ			Վառումն; լուցումն; բոց		Վառ; լուցեալ																												
ԲՈՐԲՈՔԱԽԱՌՆ			Բոցախառն																														
ԲՈՐԲՈՔԵՄ			Վառեմ; լուցանեմ; բոցակիզեմ; այրեմ; տոչորեմ		Գրգռեմ; յուզեմ																												
ԲՈՐԲՈՔԵՑՈՒՑԱՆԵՄ			cf. ԲՈՐԲՈՔԵՄ																														
ԲՈՐԲՈՔՈՒԹԻՒՆ			cf. ԲՈՐԲՈՔՈՒՄՆ																														
ԲՈՐԲՈՔՈՒՄՆ			Բորբոքութիւն																														
ԲՈՐԵԱՆ			cf. ԲՈՐԵՆԻ																														
ԲՈՐԵՆԻ			Բորեան; բորէ																														
ԲՈՐԷ			cf. ԲՈՐԵՆԻ																														
ԲՈՐԿՈՆԻՄ			Տատասկ																														
ԲՈՐՈՏ			Ուրուկ; պիսակոտ; գոդի; քոսոտ																														
ԲՈՐՈՏԱՆԱՄ			cf. ԲՈՐՈՏԻՄ																														
ԲՈՐՈՏԻՄ			Բորոտանամ; ուրկանամ; քոսոտիմ																														
ԲՈՐՈՏՈՒԹԻՒՆ			Ուրկութիւն; պիսակութիւն; գոդութիւն; քոսութիւն																														
ԲՈՑ			Կրակ		Պայծառութիւն		Եռանդն; աւիւն		Բոցեղէն																								
ԲՈՑԱԳՈՅՆ			Հրագոյն; բոցատեսիլ; բոցակերպ																														
ԲՈՑԱԴԷԶ			Բազմաբոց; Հրադէզ																														
ԲՈՑԱԶԱՐԴ			Բոցափայլ																														
ԲՈՑԱԶԳԵՍՏ			Բոցեղէն; հրակերպ																														
ԲՈՑԱԼՈՅՍ			Պայծառ																														
ԲՈՑԱԽԱՌՆ			Հրախառն; տոչորիչ; այրիչ																														
ԲՈՑԱԾԱԳՈՒՄՆ			Հրափայլութիւն																														
ԲՈՑԱԿԵՐՊ			cf. ԲՈՑԱՏԵՍԻԼ																														
ԲՈՑԱԿԷԶ			Տապագին; տօթագին																														
ԲՈՑԱԿԻԶԵՄ			"<a href=""./?s=Բոցակէզ"">Բոցակէզ առնել</a>; տոչորեմ; այրեմ; փաղաղեմ; խանձողեմ"																														
ԲՈՑԱԿԻԾ			Կսկծեցուցանող; կսկծեցուցիչ; մարմաջողական																														
ԲՈՑԱԿՆԱԳՈՅՆ			cf. ՀՐԱՉԵԱՅ																														
ԲՈՑԱՁԵՒ			cf. ԲՈՑԱՏԵՍԻԼ																														
ԲՈՑԱՃԱՃԱՆՉ			Բոցանիշ; բոցանշան; բոցափայլ; լուսաւոր; պայծառ																														
ԲՈՑԱՅԻՆ			cf. ԲՈՑԵՂԷՆ																														
ԲՈՑԱՆԻՇ			cf. ԲՈՑԱՃԱՃԱՆՉ																														
ԲՈՑԱՆԻՒԹ			Բոցեղէն; Հրեղէն; Հրանիւթ; Հրակերպ; լուսեղէն																														
ԲՈՑԱՆՇԱՆ			Բոցանիշ; բոցաճաճանչ																														
ԲՈՑԱՆՇՈՅԼ			Բոցաճաճանչ; բոցափայլ; փայլակնացայտ																														
ԲՈՑԱՇՈՒՆՉ			Հրաշունչ; տօթագին; տապախառն																														
ԲՈՑԱՎԱՌԵԱԼ			Հրաբորբոք																														
ԲՈՑԱՏԵՍ			cf. ԲՈՑԱՏԵՍԻԼ																														
ԲՈՑԱՏԵՍԱԿ			cf. ԲՈՑԱՏԵՍԻԼ																														
ԲՈՑԱՏԵՍԻԼ			Բոցակերպ; բոցատիպ; բոցաձեւ; բոցեղէն																														
ԲՈՑԱՏԻՊ			cf. ԲՈՑԱՏԵՍԻԼ																														
ԲՈՑԱՓԱՅԼ			Հրափայլ; բոցաճաճանչ																														
ԲՈՑԱՓԱՅԼԵՄ			Լուսափայլեմ; պայծառանամ; շողշողեմ																														
ԲՈՑԵՂԷՆ			Բոցանիւթ; բոցային; հրեղէն; լուսեղէն																														
ԲՈՒ			Բուէճ																														
ԲՈՒԷՃ			cf. ԲՈՒ																														
ԲՈՒԺԱԿ			Բուժիչ; բժշկիչ																														
ԲՈՒԺԱԿԱՆ			Բուժիչ; բժշկիչ; բժշկական		Դեղ																												
ԲՈՒԺԱՆՔ			Բուժումն; դեղ; դարման																														
ԲՈՒԺԵՄ			Բժշկեմ; ապաքինեմ; առողջացուցանեմ		Ապրեցուցանեմ; զերծուցանեմ; փրկեմ; ազատեմ; փրծուցանեմ																												
ԲՈՒԺԻՉ			Բժշկիչ; բուժական; առողջացուցիչ; ապրեցուցիչ; փրկիչ																														
ԲՈՒԺԿՈՒԹԻՒՆ			Բժշկութիւն		Ազատութիւն; փրկութիւն																												
ԲՈՒԺՈՒՄՆ			Բժշկութիւն; ազատութիւն																														
ԲՈՒԾ			cf. ԳԱՌՆ		cf. ՈՒԼ																												
ԲՈՒԾԱՆԵՄ			Սնուցեմ; դարմանեմ; տածեմ; պարարեմ; բտեմ																														
ԲՈՒԾԵՄ			cf. ԲՈՒԾԱՆԵՄ																														
ԲՈՒԾԻՆ			cf. ՊԱՏՐՈՅԳ																														
ԲՈՒԾՈՒՄՆ			Դարման; սնունդ																														
ԲՈՒՂԽ			cf. ԲՈՂԲՈՋ																														
ԲՈՒՆ			Ատեղն		Ձող; նիզակաբուն; տիգաբուն		Բնութիւն; իսկութիւն		Սկիզբն; արմատ; պատճառ; հիմն; աղբիւր; ծայր; գլուխ		Բանակ		Նախնիք		Բնիկ; բնաւոր; բնական; Հիմնական; էական; իսկ; իսկական; Հարազատ; ճշմարիտ; ճշգրիտ																		
ԲՈՒՆԱՆԱՄ			cf. ԲՈՒՆԵՄ																														
ԲՈՒՆԱՒՈԲԻՄ			cf. ԲՈՒՆԵՄ																														
ԲՈՒՆԵՄ			Բունանամ; բունաւորեմ; բնանամ; բնակեմ; որջանամ; բնականամ																														
ԲՈՒՆԻԿ			Բոյն																														
ԲՈՒՇՏ			cf. ՓԱՄՓՈՒՇՏ																														
ԲՈՒՌ			Կիր		Նօթ																												
ԲՈՒՌԿԱՆԻԱ			Հրաբուղխք																														
ԲՈՒՌՆ			Ափ; ագուռ		Ձեռն; իշխանութիւն; կարողութիւն		Բռնութիւն; Հարստահարութիւն; զրկանք		Ուժգին; սաստիկ; խիստ		Հզօր; զօրեղ; կորովի; ուժեղ		Իշխան; բռնաւոր; բռնակալ; ինքնակալ; թագաւոր		Բռնաբար; ուժգնաբար; դժուարաւ; Հազիւ																		
ԲՈՒՌՆԱԼԻՐ			Լիաբուռն; առատ																														
ԲՈՒՍԱԲԵՐ			Բուսարձակ; բուսուցիչ		Բուսածին																												
ԲՈՒՍԱԾԻՆ			Բուսաբեր																														
ԲՈՒՍԱԿ			Բուսուկ																														
ԲՈՒՍԱԿԱՆ			Տնկական		Բոյս																												
ԲՈՒՍԱԿԻՑ			Տնկակից; բնակից																														
ԲՈՒՍԱՆԻՄ			Ընձիւղիմ; բողրոջիմ		Յառաջագայիմ; ծնանիմ; ծագիմ; երեւիմ; յերեւան գալ; սերիմ; աճիմ																												
ԲՈՒՍԱՐՁԱԿ			Բուսաբեր; յուռթի; բերրի																														
ԲՈՒՍՈՂ			Բուսուցիչ; ծնօղ																														
ԲՈՒՍՈՒԿ			cf. ԲՈՒՍԱԿ																														
ԲՈՒՍՈՒՑԻՉ			Բուսող																														
ԲՈՒՏ			ճարակ; կեր; կերակուր																														
ԲՈՒՐԱՆՈՑ			cf. ԲՈՒՐՈՒԱՌ																														
ԲՈՒՐԱՍՏԱՆ			Պարտէզ; դրախտ; Հոտարան		Մարգ		Արուարձան																										
ԲՈՒՐԱՍՏԱՆԵԱՅՔ			Բուրաստանք; պարտէզք																														
ԲՈՒՐԱՑՈՒՑԱՆԵՄ			cf. ԲՈՒՐԵՑՈՒՑԱՆԵՄ																														
ԲՈՒՐԳՆ			Աշտարակ		Պիւրամիդ; յոբելիկ																												
ԲՈՒՐԴ			Գեղմն; ասր; գզաթ; կիզն																														
ԲՈՒՐԵՄ			"<a href=""./?s=Հոտ"">Հոտ հարկանել</a>; բուրեցուցանեմ; Հոտեմ"																														
ԲՈՒՐԵՑՈՒՑԱՆԵՄ			Բուրացուցանեմ; բուրեմ																														
ԲՈՒՐԻԶ			Ծխիչ																														
ԲՈՒՐՈՒԱՌ			Բուրանոց; բով; ծխանոց; խնկանոց; կրակակալ																														
ԲՈՒՔ			Ձիւնաբեր; ձիւնաբերութիւն																														
ԲՉԵՄ			cf. ԲԱՌԱՉԵՄ																														
ԲՉԻՒՆ			cf. ԲԱՌԱՉ																														
ԲՉՈՒՄՆ			cf. ԲԱՌԱՉ																														
ԲՋԻՋՔ			Գուբք																														
ԲՌԵՄ			cf. ԾԵՓԵՄ																														
ԲՌՆԱԲԱՐ			Բռնազբօսաբար; բռնի; բռնիւ		Առ Հարկի; ակամայ																												
ԲՌՆԱԲԱՐԵՄ			Հարստահարեմ; բռնադատեմ																														
