title,part_of_speech,definition,suggested_etymology,source,notes,likely_origin
համք,noun,"['rare sexual organ.', '(rare) sexual organ.']",,,,Unknown
հայացք,noun,"['look, glance, gaze.', 'view, opinion.']",,,,Unknown
հայտնել,verb,"['to make public, known.', 'to inform.']",,,,Unknown
հայրենիք,noun,"[""one's country, native land, fatherland, motherland.""]",From Old Armenian հայրենիք,,,Armenian
հանգույց,noun,"['knot.', 'knot (on a rope, thread, etc.).', 'junction.', '(linguistics) copula.']",,,,Unknown
հանգչել,verb,"['to stop burning or giving light, to go out.', 'to rest, to repose.', 'to stop, to halt; to cease, to end.', 'to die.']",,,,Unknown
հանդբոլ,noun,['synonym of ձեռնագնդակ (jeṙnagndak).'],,,,Unknown
հանել,verb,"['to pull out, to extract.', 'to take off a cloth.', 'to remove, to displace.', 'to withdraw.', '(arithmetics) to subtract.']",,,,Unknown
հանձնել,verb,"['transitive to pass over, to give, to transfer; to commit.', '(transitive) to pass over, to give, to transfer; to commit.', '(transitive) to surrender.']",,,,Unknown
հանճար,noun,"['genius (extraordinary mental capacity).', 'genius (person).']",,,,Unknown
հանցանք,noun,['crime; offense.'],,,,Unknown
հաշիվ,noun,"['reckoning; computation; calculation; enumeration; account.', '(accounting) account (a registry of pecuniary transactions).', 'account (a reason, grounds, consideration, motive).', 'bill; invoice; check.']",,,,Unknown
հաշմել,verb,"['transitive to maim.', '(transitive) to maim.']",,,,Unknown
հաշվարկ,noun,"['count, reckoning.']",,,,Unknown
հաչել,verb,"['of a dog to bark.', '(of a dog) to bark.']",,,,Unknown
հապաղանք,noun,['synonym of հապաղում (hapaġum).'],,,,Unknown
հապաղել,verb,"['intransitive to be late, to fall behind, to slow down.', '(intransitive) to be late, to fall behind, to slow down.']",,,,Unknown
հառաչանք,noun,"['sigh, moan, groan.']",,,,Unknown
հառաչել,verb,"['to sigh, to moan, to groan.']",,,,Unknown
հասկանալ,verb,"['to understand.', 'to realize.']",,,,Unknown
հասմիկ,noun,"['jasmine flower.', 'jasmine (flower).']",,,,Unknown
հասնել,verb,"['to reach.', 'to attain, to achieve.', 'to ripen, to mature.']",,,,Unknown
հաստել,verb,"['archaic, poetic to affirm, to assert, to make hard, to create.', '(archaic, poetic) to affirm, to assert, to make hard, to create.']",,,,Unknown
հաստիչ,noun,"['archaic creator, producer.', '(archaic) creator, producer.']",,,,Unknown
հասցնել,verb,"['to deliver, to bring.', 'causative of հասնել (hasnel).', 'to be in time (for).']",,,,Unknown
հավա,noun,['weather.'],,,,Unknown
հավանել,verb,"['to agree, to accept.', 'to like.']",,,,Unknown
հավատք,noun,"['alternative form of հավատ.', 'alternative form of հավատ (havat).']",From Old Armenian հավատք,,,Armenian
հավաքել,verb,"['to gather, to collect.', 'to clean.']",,,,Unknown
հավելել,verb,['to add.'],,,,Unknown
հավկիթ,noun,"['Western Armenian, formal, in, Eastern Armenian egg.', '(Western Armenian, formal in Eastern Armenian) egg.']",From Old Armenian հավկիթ,,,Armenian
հատ,noun,"['piece.', 'grain, seed.']",,,,Unknown
հատիկ,noun,"['grain.', 'granule.']",,,,Unknown
հատնել,verb,"['intransitive to come to an end, to expire.', '(intransitive) to come to an end, to expire.']",,,,Unknown
հատոր,noun,"['volume, tome of a series of books, periodicals.', 'volume, tome (of a series of books, periodicals).']",,,,Unknown
հատուցել,verb,"['to reckon, compensate, settle.']",,,,Unknown
հատված,noun,"['section, sector.', 'excerpt, fragment (of writing).', '(geometry) line segment.']",,,,Unknown
հարավ,noun,['south.'],,,,Unknown
հարբենալ,verb,"['alternative form of հարբել.', 'alternative form of հարբել (harbel).']",From Old Armenian հարբենալ,,,Armenian
հարգանք,noun,"['respect, esteem.']",,,,Unknown
հարգել,verb,"['to respect, to esteem, to honour.', 'to hold in respect.', 'to pay homage.']",,,,Unknown
հարդարել,verb,"['transitive to put in order, to fix up; to style; to trim.', '(transitive) to put in order, to fix up; to style; to trim.']",,,,Unknown
հարիւր,noun,"['hundred.', 'traditional orthography spelling of հարյուր (haryur).']",,,,Unknown
հարկել,verb,"['transitive to tax.', '(transitive) to tax.']",,,,Unknown
հարնչել,verb,"['archaic to be close to something, to adjoin.', '(archaic) to be close to something, to adjoin.']",,,,Unknown
հարս,noun,"['fiancée.', 'bride.', 'a newlywed woman.', ""daughter-in-law, sister-in-law (the woman in relation to her husband's family).""]",,,,Unknown
հարսանիթ,noun,['measles.'],,,,Unknown
հարսանիք,noun,['wedding.'],,,,Unknown
հարված,noun,"['blow, stroke.', 'beat.', 'push.', 'jolt, bump, jerk.', 'stab.', 'lash, slash.', 'punch, cuff.', '(military) thrust.']",,,,Unknown
հարվածել,verb,"['somewhat, formal to hit, to strike.', '(somewhat formal) to hit, to strike.']",,,,Unknown
հարց,noun,"['question.', 'question, issue; problem.', 'matter (of), question (of).']",,,,Unknown
հարցնել,verb,"['to ask (somebody about something); to inquire (of somebody, about, after, for something).', 'to ask (for), to want (to see); to desire to speak (to).']",,,,Unknown
հաց,noun,"['bread.', '(by extension) meal, food, table.', '(figuratively) living, means of subsistence.', 'honey with honeycomb.', 'grain.', 'grain field (usually wheat or barley).']",,,,Unknown
հացագործ,noun,['baker.'],,,,Unknown
հացուտ,noun,['ash forest.'],,,,Unknown
հեգնել,verb,"['to mock, to ridicule.']",,,,Unknown
հեթանոս,noun,"['heathen, pagan.']",,,,Unknown
հեծեծել,verb,"['to moan, to groan, to bewail, to mourn.']",,,,Unknown
հեծնել,verb,"['to mount, to ride a horse, a pack animal.', 'to mount, to ride (a horse, a pack animal).']",,,,Unknown
հեշթեգ,noun,"['Internet hashtag.', '(Internet) hashtag.']",,,,Unknown
հեռագիր,noun,"['telegraph.', 'telegram, wire, cable.']",,,,Unknown
հեռանալ,verb,"['intransitive to move off, move away (from).', '(intransitive) to move off, move away (from).', '(intransitive) to depart, leave.']",,,,Unknown
հեռացնել,verb,"['to remove.', 'causative of հեռանալ (heṙanal).']",,,,Unknown
հեռել,verb,"['transitive, archaic to set, to mount, to enchase, to stud; to fit in.', '(transitive, archaic) to set, to mount, to enchase, to stud; to fit in.']",,,,Unknown
հետնորդ,noun,"['successor, descendant, scion.']",,,,Unknown
հետույք,noun,"['buttocks, butt, ass.']",,,,Unknown
հետևանք,noun,['consequence.'],,,,Unknown
հետևորդ,noun,"['follower one who adheres to the opinions, teachings, or ideas of another, a movement, etc.', 'follower (one who adheres to the opinions, teachings, or ideas of another, a movement, etc.).', '(archaic) companion, one who accompanies another.', '(Internet) follower on social media.']",,,,Unknown
հերթ,noun,"[', derives from.', 'turn.', '(games) turn, move.', 'queue, line.']",,,,Unknown
հերիքել,verb,"['to suffice, last.']",,,,Unknown
հերկ,noun,"['ploughing, tillage, tilth.', 'ploughed land left fallow.']",,,,Unknown
հերքել,verb,"['to deny, to repudiate, to refute, to disclaim (to deny accusations, to counter inaccuracies or untruths).']",,,,Unknown
հեց,noun,['felloe.'],,,,Unknown
հեքիաթ,noun,"['fairy tale, tale.', '(chiefly Western Armenian) story.']",From Old Armenian հեքիաթ,,,Armenian
հիանալ,verb,"['to admire, to marvel at.']",,,,Unknown
հիմք,noun,"['Kurdish:.', 'base; basis; foundation.', 'grounds, reason.', '(construction) foundation, base.', '(chemistry) base.', '(geometry) base.', '(linguistics) stem.']",,,,Unknown
հիշեցնել,verb,"['to remind.', 'causative of հիշել (hišel).']",,,,Unknown
հիստերիա,noun,"['hysteria behavior exhibiting excessive or uncontrollable emotion.', 'hysteria (behavior exhibiting excessive or uncontrollable emotion).']",,,,Unknown
հիրել,verb,"['archaic to join together.', '(archaic) to join together.', '(archaic) to stretch out, to hold out.']",,,,Unknown
հմայել,verb,"['to charm, to put or cast a spell on.', '(figuratively) to attract, to fascinate, to charm.']",,,,Unknown
հյուլե,noun,"['obsolete, physics atom.', '(obsolete, physics) atom.', '(figuratively) the smallest part of something, element.']",,,,Unknown
հյուսել,verb,"['to plait, to braid.']",,,,Unknown
հյուսիս,noun,['north.'],,,,Unknown
հյուր,noun,"['guest, visitor.']",,,,Unknown
հնանալ,verb,"['to grow old, age of inanimate objects.', 'to grow old, age (of inanimate objects).', 'to go out of date; to become obsolete.']",,,,Unknown
հնացնել,verb,"['to age, mature, season.', 'causative of հնանալ (hnanal).']",,,,Unknown
հնոց,noun,['furnace.'],,,,Unknown
հոգալ,verb,['to take care (of).'],,,,Unknown
հոգնել,verb,"['intransitive to become tired, exhausted.', '(intransitive) to become tired, exhausted.']",,,,Unknown
հոդված,noun,"['article.', '(law) article; clause; paragraph; section.', '(accounting) item.']",,,,Unknown
հոժարել,verb,"['to agree, to like.']",,,,Unknown
հողաթափ,noun,['slipper (shoe).'],,,,Unknown
հոպնակ,noun,"['wheelbarrow, barrow.']",,,,Unknown
հոսանք,noun,"['current, stream.', 'flow.', '(electricity) current.']",,,,Unknown
հոսել,verb,"['intransitive to flow.', '(intransitive) to flow.']",,,,Unknown
հոսք,noun,"['flow, stream.']",,,,Unknown
հովազ,noun,"['leopard.', 'leopard, Panthera pardus.']",,,,Unknown
հոտ,noun,"['smell, odor; scent good or bad.', 'smell, odor; scent (good or bad).', 'flock of sheep.', 'flock or herd of other animals.', '(Christianity) flock, parishioners.']",,,,Unknown
հոտոտել,verb,"['transitive to smell, to sniff at something/someone repeatedly.', '(transitive) to smell, to sniff at something/someone repeatedly.']",,,,Unknown
հոր,noun,"['pit, hole.', '(rare) synonym of փեսա (pʻesa).', 'dative singular of հայր (hayr).']",From Old Armenian հոր,,,Armenian
հորդել,verb,"['of water to overflow, to abound.', '(of water) to overflow, to abound.']",,,,Unknown
հորդորակ,noun,"['rare exhortation.', '(rare) exhortation.']",,,,Unknown
հորդորել,verb,"['to admonish, exhort, persuade, convince.', 'to encourage.']",,,,Unknown
հորթ,noun,['calf.'],,,,Unknown
հորթուկ,noun,['diminutive of հորթ (hortʻ).'],,,,Unknown
հորջորջ,noun,['synonym of հորջորջանք (horǰorǰankʻ).'],,,,Unknown
հու,noun,"['rare purulent blood.', '(rare) purulent blood.']",,,,Unknown
հուզել,verb,"['to move, to affect, to touch (of the emotions).', 'to bewilder, to confuse, to fluster.', 'to excite, to stir, to agitate.']",,,,Unknown
հույլք,noun,"['alternative form of հույլ.', 'alternative form of հույլ (huyl).']",From Old Armenian հույլք,,,Armenian
հուշարար,noun,"['theater prompter.', '(theater) prompter.']",,,,Unknown
հուռութ,noun,"['magic, charm, enchantment.', 'charm, talisman, amulet.']",,,,Unknown
հուռութք,noun,"['alternative form of հուռութ.', 'alternative form of հուռութ (huṙutʻ).']",From Old Armenian հուռութք,,,Armenian
հուսալ,verb,['to hope.'],,,,Unknown
հրաձգել,verb,"['transitive, rare to shoot a firearm.', '(transitive, rare) to shoot a firearm.']",,,,Unknown
հրապույր,noun,"['charm, enticement, attraction.']",,,,Unknown
հրասախ,noun,['parasang.'],,,,Unknown
հրավառել,verb,"['transitive to illuminate.', '(transitive) to illuminate.']",,,,Unknown
հրավիրել,verb,"['transitive to invite.', '(transitive) to invite.']",,,,Unknown
հրկիզել,verb,"['transitive to set on fire, to burn, to incinerate.', '(transitive) to set on fire, to burn, to incinerate.']",,,,Unknown
հրճվանք,noun,"['joy, delight, exultation.', 'pleasure, enjoyment.']",,,,Unknown
հրճվել,verb,"['to rejoice, to delight, to revel.']",,,,Unknown
ձաղ,noun,"['archaic derision, mockery.', '(archaic) derision, mockery.']",,,,Unknown
ձայնորդ,noun,"['phonetics sonorant.', '(phonetics) sonorant.']",,,,Unknown
ձավար,noun,"['Kurdish:.', 'cracked wheat groats (raw or cooked).']",,,,Unknown
ձարխոտ,noun,"['lady fern <ref name=""Bus""></ref><ref name=""Ghandilyan""></ref>.', 'lady fern (Athyrium).']",,,,Unknown
ձեթ,noun,['vegetable oil.'],,,,Unknown
ձեռ,noun,"['colloquial, dialectal alternative form of ձեռք.', '(colloquial, dialectal) alternative form of ձեռք (jeṙkʻ).']",From Old Armenian ձեռ,,,Armenian
ձեռնածու,noun,"['juggler, conjurer.']",,,,Unknown
ձեռնարկ,noun,"['manual, handbook, guide.', 'enterprise.']",,,,Unknown
ձեռնոց,noun,['glove.'],,,,Unknown
ձիագող,noun,['horse thief.'],,,,Unknown
ձիաուժ,noun,['horsepower.'],,,,Unknown
ձիաստաց,noun,"['hornet.', 'hornet, Vespa crabro.']",,,,Unknown
ձիթայուղ,noun,['olive oil.'],,,,Unknown
ձկնկուլ,noun,"['cormorant.', 'cormorant, Phalacrocorax.']",,,,Unknown
ձկնորս,noun,"['fisher, fisherman.']",,,,Unknown
ձմեռ,noun,['winter.'],,,,Unknown
ձմեռել,verb,"['to winter, to spend the winter.']",,,,Unknown
ձմերուկ,noun,"['watermelon, plant and fruit.', 'watermelon, Citrullus lanatus (plant and fruit).']",,,,Unknown
ձյութ,noun,"['pitch a dark, extremely viscous material remaining in still after distilling crude oil and tar.', 'pitch (a dark, extremely viscous material remaining in still after distilling crude oil and tar).', '(Hamshen) pitch, sap, resin (sticky, gummy substance secreted by trees).', '(dialectal) chewing gum.']",,,,Unknown
ձոր,noun,"['gorge, ravine; canyon.']",,,,Unknown
ձուլել,verb,"['to cast, to mould, to found, to smelt.', '(figuratively, transitive) to assimilate.']",,,,Unknown
ձուկ,noun,"['fish.', '(anatomy) calf muscle (triceps surae).', '(dialectal) a lightning flashing far on the horizon.']",,,,Unknown
ձվածեղ,noun,"['omelette.', 'fried egg.']",,,,Unknown
ձվաձեղ,noun,"['dialectal, colloquial alternative form of ձվածեղ.', '(dialectal, colloquial) alternative form of ձվածեղ (jvaceġ).']",From Old Armenian ձվաձեղ,,,Armenian
ձևավորել,verb,"['transitive to form, mould, shape.', '(transitive) to form, mould, shape.']",,,,Unknown
ղալմաղալ,noun,"['noise, confusion, tumult, uproar.']",,,,Unknown
ղանձիլ,noun,"['In the territory of the Republic of Armenia encountered in Lori and Tavush provinces.', 'ramsons, Allium ursinum.']",,,,Unknown
ղատ,noun,"['the name of the Armenian letter ղ.', 'the name of the Armenian letter ղ (ġ).']",From Old Armenian ղատ,,,Armenian
ղեկավար,noun,"['leader; manager; chief; head; director.', '(nautical, rare) steersman, helmsman.']",,,,Unknown
ղզլբաշ,noun,['Qizilbash.'],,,,Unknown
ղրկել,verb,"['alternative form of ուղարկել.', 'Western Armenian and dialectal form of ուղարկել (uġarkel).']",From Old Armenian ղրկել,,,Armenian
ճախրել,verb,"['to hover in the air as of a bird or plane: to soar, to glide, to drift.', 'to hover in the air (as of a bird or plane): to soar, to glide, to drift.', 'to go around in circles in the air: to circle, to wheel, to gyrate.', 'to fly without an engine: to glide, to skim, to float.', '(figuratively) to take wing, to rise, to fly.', '(figuratively) to flutter, to glow, and to vanish: to vanish, to disappear, to evanesce.']",,,,Unknown
ճահիճ,noun,"['swamp, marsh.', '(figuratively) stagnation.']",,,,Unknown
ճահուկ,noun,"['archaic group, pack, flock of animals.', '(archaic) group, pack, flock (of animals).']",,,,Unknown
ճամպրուկ,noun,['suitcase; trunk.'],,,,Unknown
ճամփել,verb,"['to send, to dispatch.', 'to see off, to send off.', '(figuratively) to set free, to liberate.']",,,,Unknown
ճայ,noun,"['Eurasian jay.', 'Eurasian jay (Garrulus glandarius).', 'seagull, gull (Larus).']",,,,Unknown
ճանաչել,verb,"['to know someone, to be acquainted with.', 'to be aware (of something).', 'to become acquainted with, to get to know.', 'to recognize, to know.', 'to admit, to acknowledge.']",,,,Unknown
ճառագայթ,noun,"['ray, beam.', '(geometry) ray.', '(physics) ray, beam.', '(botany) ray.', '(zoology) ray.', '(figuratively) ray.']",,,,Unknown
ճարել,verb,"['to procure, obtain, get usually with difficulty.', 'to procure, obtain, get (usually with difficulty).']",,,,Unknown
ճարմանդ,noun,"['buckle, clasp.', 'cufflink.']",,,,Unknown
ճաքել,verb,"['intransitive to crack, to split.', '(intransitive) to crack, to split.', '(intransitive, slang) to crack up, to laugh.']",,,,Unknown
ճգնավոր,noun,"['hermit, anchorite, ascetic.']",,,,Unknown
ճեղքել,verb,"['to crack.', 'to split, to divide.', 'to cut through, to pass through, to break through.', '(figuratively) to split up, to disunite, to disjoin.']",,,,Unknown
ճեմել,verb,"['to stroll, to saunter.']",,,,Unknown
ճիգ,noun,"['effort.', 'endeavour.']",,,,Unknown
ճիչ,noun,"['screech, scream, cry.']",,,,Unknown
ճկույթ,noun,"['anatomy little finger, little toe.', '(anatomy) little finger, little toe.']",,,,Unknown
ճնճղուկ,noun,['sparrow.'],,,,Unknown
ճողոպրել,verb,"['to escape, to run away, to flee.', 'to dodge, to evade, to slip away.']",,,,Unknown
ճոճանակ,noun,"['pendulum.', 'swing.']",,,,Unknown
ճռճռալ,verb,"['to squeak, creak.']",,,,Unknown
մագլցել,verb,"['to climb as with claws or talons, like birds and cats.', 'to climb (as with claws or talons, like birds and cats).', 'to climb (as of plants).', '(figuratively) to slide up, to glide up.', '(figuratively) to climb, to scale (often carrying something).', '(figuratively) to ascend, to reach.']",,,,Unknown
մագնիս,noun,['magnet.'],,,,Unknown
մազկապ,noun,"['hair tie, hairband.']",,,,Unknown
մաթրիքս,noun,"['alternative form of մատրիցա.', 'alternative form of մատրիցա (matricʻa).']",From Old Armenian մաթրիքս,,,Armenian
մալ,noun,"['dialectal property, possession.', '(dialectal) property, possession.', '(dialectal) cattle, livestock.']",,,,Unknown
մալուխ,noun,['cable.'],,,,Unknown
մածվել,verb,"['intransitive to be glued, to stick or cling to, to adhere.', '(intransitive) to be glued, to stick or cling to, to adhere.', '(intransitive) to curdle, to coagulate, to clot, to congeal.']",,,,Unknown
մակդիր,noun,"['epithet.', 'nickname.', '(Western Armenian) last name, family name.']",From Old Armenian մակդիր,,,Armenian
մակույկ,noun,['boat.'],,,,Unknown
մահ,noun,['death.'],,,,Unknown
մահանալ,verb,['to die.'],,,,Unknown
մահջոնգ,noun,['mahjong.'],,,,Unknown
մաղ,noun,['sieve.'],,,,Unknown
մաղթանք,noun,"['wish, desire.', '(ecclesiastical) prayer.']",,,,Unknown
մաղթել,verb,['to wish something to someone.'],,,,Unknown
մամ,noun,"['dialectal grandmother.', '(dialectal) grandmother.', '(dialectal) mother.']",,,,Unknown
մամուռ,noun,['moss.'],,,,Unknown
մայրեհավ,noun,"['grouse bird of the subfamily<ref></ref>.', 'grouse (bird of the subfamily Tetraoninae).']",,,,Unknown
մանաթ,noun,"['manat currency of Azerbaijan.', 'manat (currency of Azerbaijan).']",,,,Unknown
մանանա,noun,['manna.'],,,,Unknown
մանիշակ,noun,"['alternative form of մանուշակ.', 'alternative form of մանուշակ (manušak).']",From Old Armenian մանիշակ,,,Armenian
մանկանալ,verb,"['to become young.', 'to regress to childhood.']",,,,Unknown
մանուկ,noun,"['baby, infant; child.']",,,,Unknown
մաշարա,noun,"['archaic.', '(archaic) synonym of թոքախտ (tʻokʻaxt).']",,,,Unknown
մառախուղ,noun,"['fog, mist.']",,,,Unknown
մաս,noun,"['part, piece; bit, morsel.', 'share, lot, portion.', '(Christianity) holy or hallowed bread, communion bread.']",,,,Unknown
մասնիկ,noun,"['particle, small part.', '(physics) particle.', '(grammar) affix.']",,,,Unknown
մասուր,noun,"[', comparing to ; comparing also to , dialectal , , for the sense development comparing , recalling that rosehip is used as haemorrhoids cure in folk medicine and also noting.', 'rose, Rosa, especially dog rose, Rosa canina (the plant and especially its fruit – the rosehip).']",,,,Unknown
մատնել,verb,"['to inform on, to report, to denounce.', 'to betray, to sell.', 'to expose, to disclose, to reveal.', 'to subject, to expose, to subjugate.', 'used to form verb phrases with abstract nouns.']",,,,Unknown
մատնոց,noun,['thimble.'],,,,Unknown
մատույց,noun,"['approach, access.', 'environs.']",,,,Unknown
մատուտակ,noun,"['licorice, gen. et spp.', 'licorice, Glycyrrhiza gen. et spp.']",,,,Unknown
մատուցել,verb,"['to give.', 'to serve.']",,,,Unknown
մատչել,verb,"['archaic to approach, to draw near.', '(archaic) to approach, to draw near.', '(computing) to access.']",,,,Unknown
մար,noun,"['Mede, inhabitant of historical Media.', '(obsolete, nonstandard) Kurd.']",,,,Unknown
մարաջախտ,noun,"['historical marshal, chief commander.', '(historical) marshal, chief commander.']",,,,Unknown
մարգ,noun,"['meadow, field.', 'plot, bed (in a garden).']",,,,Unknown
մարգարե,noun,['prophet.'],,,,Unknown
մարզիկ,noun,"['sportsman, athlete.']",,,,Unknown
մարզիչ,noun,"['coach, trainer.']",,,,Unknown
մարթել,verb,"['archaic, poetic to be able to.', '(archaic, poetic) to be able to.']",,,,Unknown
մարտիրոս,noun,['martyr.'],,,,Unknown
մարտկոց,noun,"['military battery coordinated group of artillery.', '(military) battery (coordinated group of artillery).', '(electricity) battery (device for storing electricity).']",,,,Unknown
մաքառել,verb,"['somewhat, formal to fight, to struggle, to clash.', '(somewhat formal) to fight, to struggle, to clash.', '(somewhat formal) to oppose, to withstand, to resist.']",,,,Unknown
մաքոք,noun,"[""weaver's shuttle.""]",,,,Unknown
մաքրել,verb,"['to clean.', 'to brush.', 'to scrub.', 'to peel.']",,,,Unknown
մեգ,noun,"['fog, haze.']",,,,Unknown
մեխ,noun,['nail.'],,,,Unknown
մեծանալ,verb,"['intransitive to grow, to rise, to increase in stature, size, age, etc.', '(intransitive) to grow, to rise, to increase (in stature, size, age, etc.).']",,,,Unknown
մեծարանք,noun,"['homage, honouring.']",,,,Unknown
մեծացնել,verb,"['to increase, to enlarge, to amplify, to magnify.', 'to raise, to rear.', 'causative of մեծանալ (mecanal).']",,,,Unknown
մեկնարկ,noun,"['start, starting point beginning point of a distance race or a process.', 'start, starting point (beginning point of a distance race or a process).']",,,,Unknown
մեհևանդ,noun,"['bracelet, armlet, bangle.']",Borrowed from English մեհևանդ,,,English
մեղ,noun,"['sin, crime.', 'rare form of մեղք (meġkʻ).']",,,,Unknown
մեղադրել,verb,"['to accuse.', 'to blame.']",,,,Unknown
մեղանչել,verb,"['to sin, to transgress.']",,,,Unknown
մեղեխ,noun,"['archaic, literary handle of an axe, adze or a similar tool.', '(archaic, literary) handle of an axe, adze or a similar tool.', '(archaic, literary) mace (weapon).']",,,,Unknown
մեղու,noun,['bee.'],,,,Unknown
մեղր,noun,['honey.'],,,,Unknown
մենամարտ,noun,['duel.'],,,,Unknown
մեջ,noun,"['in, inside.', 'among, amid.', 'the inside.']",,,,Unknown
մեռնել,verb,['to die.'],,,,Unknown
մերկանալ,verb,"['intransitive to undress oneself, to strip, to strip naked.', '(intransitive) to undress oneself, to strip, to strip naked.']",,,,Unknown
մեքսիկ,noun,"['non-standard, informal Latino, Hispanic.', '(nonstandard, informal) Latino, Hispanic.']",,,,Unknown
մըշըղուլ,noun,"[', without an etymology and glossing as “mouse-like animal”.', 'weasel.']",,,,Unknown
մթերանոց,noun,"['pantry, shed, storeroom.']",,,,Unknown
մժղուկ,noun,['diminutive of մժեղ (mžeġ).'],,,,Unknown
միանալ,verb,"['intransitive to unite.', '(intransitive) to unite.', '(intransitive) to connect to, to join.', '(intransitive) to be turned on, to go on (about appliances).']",,,,Unknown
միացնել,verb,"['transitive to join, to unite, to connect.', 'causative of միանալ (mianal).', '(transitive) to join, to unite, to connect.', '(transitive) to switch on, to power up, to enable (to put a device, system or mechanism into operation).']",,,,Unknown
միզուկ,noun,"['anatomy urethra.', '(anatomy) urethra.']",,,,Unknown
մինարեթ,noun,['minaret.'],,,,Unknown
միջակետ,noun,"['the name of the <․> sign, used as a semicolon in Armenian and also for marking abbreviations.']",From Old Armenian միջակետ,,,Armenian
միջամտել,verb,"['transitive to interfere, intervene, meddle.', '(transitive) to interfere, intervene, meddle.']",,,,Unknown
միջուկ,noun,"['nucleus.', 'kernel, core.', '(figuratively) essence, core.']",,,,Unknown
միս,noun,"['meat; flesh.', '(figuratively) pulp (of the fruits).']",,,,Unknown
միտ,noun,"['alternative form of միտք.', 'alternative form of միտք (mitkʻ).']",From Old Armenian միտ,,,Armenian
միրգ,noun,['fruit.'],,,,Unknown
մլաղաց,noun,"['archaic miller.', '(archaic) miller.']",,,,Unknown
մխալ,verb,"['intransitive to give off smoke, to emit smoke.', '(intransitive) to give off smoke, to emit smoke.']",,,,Unknown
մխել,verb,"['transitive to drive in, thrust, force into.', '(transitive) to drive in, thrust, force into.', '(transitive, metallurgy) to quench (to dip metal in water for hardening).', '(transitive, dialectal) to hurt, to cause emotional pain.', '(transitive, dialectal) to hit.']",,,,Unknown
մխիթար,noun,"['rare comfort, consolation, solace.', '(rare) comfort, consolation, solace.']",,,,Unknown
մխիթարել,verb,"['to console, to comfort, to soothe.', 'to encourage, to hearten.', 'to cheer, to uplift, to make happy.']",,,,Unknown
մխրճել,verb,"['transitive to bury, to thrust.', '(transitive) to bury, to thrust.', '(transitive, figuratively) to shove, to squeeze in, to push in.']",,,,Unknown
մկնականջ,noun,"['pimpernel, <ref name=Busanun></ref>.', 'pimpernel, Anagallis.', 'forget-me-not, Myosotis.']",,,,Unknown
մկնաքիս,noun,['an unclean animal variously translated as field mouse or shrewmouse.'],,,,Unknown
մշակել,verb,"['to treat, process, develop.', 'to cultivate, farm, till.']",,,,Unknown
մոլախոտ,noun,"['weed any plant unwanted at the place where and at the time when it is growing.', 'weed (any plant unwanted at the place where and at the time when it is growing).']",,,,Unknown
մոլեգնել,verb,"['intransitive to be angered, enraged, infuriated.', '(intransitive) to be angered, enraged, infuriated.', '(intransitive, figuratively) to be exacerbate, aggravated, exasperated.', '(intransitive, figuratively) to be irritated, annoyed, bothered.', '(intransitive, dated) to be overcome by compulsion or obsession.']",,,,Unknown
մոլորակ,noun,"['astronomy planet.', '(astronomy) planet.']",,,,Unknown
մոլորվել,verb,"[""to become lost, to get lost, to lose one's way."", 'to become confused, to get confused.', '(figuratively) to go the wrong way, to follow the wrong path.']",,,,Unknown
մոմ,noun,"['wax.', 'candle.']",,,,Unknown
մոշ,noun,"[', recorded as masch.', 'blackberry, dewberry, bramble, Rubus gen. et spp. (berry and shrub).']",,,,Unknown
մորթել,verb,"['to slaughter, butcher.']",,,,Unknown
մորմոք,noun,"['grief, sorrow.', 'bitterness, grief.', 'sharp pain.']",,,,Unknown
մորուք,noun,['beard.'],,,,Unknown
մուծել,verb,"['transitive to put in.', '(transitive) to put in.', '(transitive) to pay.']",,,,Unknown
մուկ,noun,"['dialectal forms recorded in dialectological notation.', 'mouse.']",,,,Unknown
մուղամ,noun,['mugham.'],,,,Unknown
մույուք,noun,"['dialectal alternative form of մորուք.', '(dialectal) alternative form of մորուք (morukʻ).']",From Old Armenian մույուք,,,Armenian
մուրալ,verb,"['to beg, to mendicate, to ask alms.']",,,,Unknown
մսագործ,noun,['butcher.'],,,,Unknown
մտագրոհ,noun,"['neologism brainstorming.', '(neologism) brainstorming.']",,,,Unknown
մտադրել,verb,"['to be intent on doing, to have the intention of doing.']",,,,Unknown
մտածել,verb,"['to think.', 'to contemplate, to reflect upon.', 'to think, to believe.', 'to intend, to plan.', 'to worry, to be anxious.', 'to have an idea.']",,,,Unknown
մտահոգել,verb,"['transitive to cause anxiety, to disquiet, to worry.', '(transitive) to cause anxiety, to disquiet, to worry.']",,,,Unknown
մտապահել,verb,"['to remember, to memorize.']",,,,Unknown
մտրուկ,noun,"['colt, young male horse.', 'male horse in general.']",,,,Unknown
մտցնել,verb,"['to introduce, bring.', 'causative of մտնել (mtnel).', 'to include/insert (in).', 'to put/fix (into, in).', 'to poke, thrust, shove, squeeze into.']",,,,Unknown
մրմունջ,noun,"['low utterance, whisper.', 'whispered lamentation.']",,,,Unknown
մրջնոց,noun,['anthill.'],,,,Unknown
մրրկել,verb,"['to storm.', '(figuratively) to worry, to be moved, to be agitated.']",,,,Unknown
յաղութ,noun,['ruby.'],,,,Unknown
